"Station Name","ADDENBROKE ISLAND"
"Province","BRITISH COLUMBIA"
"Latitude","51.60"
"Longitude","-127.86"
"Elevation","21.30"
"Climate Identifier","1060080"
"WMO Identifier",""
"TC Identifier","WCZ"

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2003-01-01","2003","01","01","","10.0","","4.5","","7.3","","10.7","","0.0","","16.4","","0.0","","16.4","","0","","","","",""
"2003-01-02","2003","01","02","","14.0","","5.0","","9.5","","8.5","","0.0","","17.0","","0.0","","17.0","","0","","","","",""
"2003-01-03","2003","01","03","","15.0","","5.0","","10.0","","8.0","","0.0","","7.4","","0.0","","7.4","","0","","","","",""
"2003-01-04","2003","01","04","","14.0","","7.0","","10.5","","7.5","","0.0","","12.6","","0.0","","12.6","","0","","","","",""
"2003-01-05","2003","01","05","","15.5","","6.5","","11.0","","7.0","","0.0","","0.4","","0.0","","0.4","","0","","","","",""
"2003-01-06","2003","01","06","","15.0","","9.5","","12.3","","5.7","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2003-01-07","2003","01","07","","11.5","","7.0","","9.3","","8.7","","0.0","","0.4","","0.0","","0.4","","0","","","","",""
"2003-01-08","2003","01","08","","9.0","","3.0","","6.0","","12.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2003-01-09","2003","01","09","","11.0","","3.0","","7.0","","11.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2003-01-10","2003","01","10","","9.0","","2.0","","5.5","","12.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2003-01-11","2003","01","11","","7.5","","3.0","","5.3","","12.7","","0.0","","11.2","","0.0","","11.2","","0","","","","",""
"2003-01-12","2003","01","12","","9.0","","3.0","","6.0","","12.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2003-01-13","2003","01","13","","8.5","","0.0","","4.3","","13.7","","0.0","","18.0","","0.0","","18.0","","0","","","","",""
"2003-01-14","2003","01","14","","6.5","","3.0","","4.8","","13.2","","0.0","","6.8","","0.0","","6.8","","0","","","","",""
"2003-01-15","2003","01","15","","8.0","","4.5","","6.3","","11.7","","0.0","","1.4","","0.0","","1.4","","0","","","","",""
"2003-01-16","2003","01","16","","9.0","","5.0","","7.0","","11.0","","0.0","","3.4","","0.0","","3.4","","0","","","","",""
"2003-01-17","2003","01","17","","9.0","","4.5","","6.8","","11.2","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2003-01-18","2003","01","18","","11.5","","3.5","","7.5","","10.5","","0.0","","0.6","","0.0","","0.6","","0","","","","",""
"2003-01-19","2003","01","19","","8.5","","4.5","","6.5","","11.5","","0.0","","5.0","","0.0","","5.0","","0","","","","",""
"2003-01-20","2003","01","20","","9.0","","2.0","","5.5","","12.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2003-01-21","2003","01","21","","6.5","","1.0","","3.8","","14.2","","0.0","","1.4","","0.0","","1.4","","0","","","","",""
"2003-01-22","2003","01","22","","8.5","","3.0","","5.8","","12.2","","0.0","","47.2","","0.0","","47.2","","0","","","","",""
"2003-01-23","2003","01","23","","12.0","","3.5","","7.8","","10.2","","0.0","","21.0","","0.0","","21.0","","0","","","","",""
"2003-01-24","2003","01","24","","9.0","","6.0","","7.5","","10.5","","0.0","","10.8","","0.0","","10.8","","0","","","","",""
"2003-01-25","2003","01","25","","11.5","","6.5","","9.0","","9.0","","0.0","","29.0","","0.0","","29.0","","0","","","","",""
"2003-01-26","2003","01","26","","10.0","","7.0","","8.5","","9.5","","0.0","","16.2","","0.0","","16.2","","0","","","","",""
"2003-01-27","2003","01","27","","10.0","","5.0","","7.5","","10.5","","0.0","","13.8","","0.0","","13.8","","0","","","","",""
"2003-01-28","2003","01","28","","8.5","","5.0","","6.8","","11.2","","0.0","","3.4","","0.0","","3.4","","0","","","","",""
"2003-01-29","2003","01","29","","8.5","","5.5","","7.0","","11.0","","0.0","","21.6","","0.0","","21.6","","0","","","","",""
"2003-01-30","2003","01","30","","9.0","","5.0","","7.0","","11.0","","0.0","","28.0","","0.0","","28.0","","0","","","","",""
"2003-01-31","2003","01","31","","9.0","","5.5","","7.3","","10.7","","0.0","","11.6","","0.0","","11.6","","0","","","","",""
"2003-02-01","2003","02","01","","9.5","","5.0","","7.3","","10.7","","0.0","","0.8","","0.0","","0.8","","0","","","","",""
"2003-02-02","2003","02","02","","8.0","","2.5","","5.3","","12.7","","0.0","","8.0","","0.0","","8.0","","0","","","","",""
"2003-02-03","2003","02","03","","8.5","","2.5","","5.5","","12.5","","0.0","","0.2","","0.0","","0.2","","0","","","","",""
"2003-02-04","2003","02","04","","8.0","","1.0","","4.5","","13.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2003-02-05","2003","02","05","","9.5","","1.5","","5.5","","12.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2003-02-06","2003","02","06","","4.5","","1.5","","3.0","","15.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2003-02-07","2003","02","07","","6.0","","1.0","","3.5","","14.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2003-02-08","2003","02","08","","5.0","","1.0","","3.0","","15.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2003-02-09","2003","02","09","","5.5","","1.5","","3.5","","14.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2003-02-10","2003","02","10","","5.5","","1.5","","3.5","","14.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2003-02-11","2003","02","11","","4.0","","1.0","","2.5","","15.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
