BC LIGHTSTATIONS AND OTHER SAMPLE SITES,,,,,
LIGHTSTATION / LOCATION,DATA COLLECTION STATUS,TEMPORAL EXTENT,LATITUDE (DECIMAL DEGREES),,COMMENTS
ACTIVE PASS LIGHTSTATION,IN-ACTIVE,1967 - 2011,48.873,-123.291,THIS LOCATION IS NO LONGER BEING MONITORED
AMPHITRITE POINT LIGHTSTATION,ACTIVE,1934 - PRESENT,48.922,-125.541,THIS LOCATION IS CURRENTLY BEING MONITORED
BAMFIELD MARINE STATION,ARCHIVED,1969 - 1980,48.835,-125.136,DAILY OBSERVATIONS FROM THIS RANDOM SITE ARE PART OF A SHORT TIME SERIES. THIS LOCATION IS NO LONGER BEING MONITORED
BEAVER POINT,ARCHIVED,1954 - 1956,48.767,-123.367,DAILY OBSERVATIONS FROM THIS RANDOM SITE ARE PART OF A SHORT TIME SERIES. THIS LOCATION IS NO LONGER BEING MONITORED
BONILLA ISLAND LIGHTSTATION,ACTIVE,1960 - PRESENT,53.493,-130.637,THIS LOCATION IS CURRENTLY BEING MONITORED
CAPE BEALE LIGHTSTATION,IN-ACTIVE,1971 - 1998,48.787,-125.216,THIS LOCATION IS NO LONGER BEING MONITORED
CAPE MUDGE LIGHTSTATION,IN-ACTIVE,1936 - 1985,49.998,-125.196,THIS LOCATION IS NO LONGER BEING MONITORED
CAPE ST. JAMES LIGHTSTATION,IN-ACTIVE,1934 - 1992,51.936,-131.016,THIS LOCATION IS NO LONGER BEING MONITORED
CHROME ISLAND LIGHTSTATION,ACTIVE,1961 - PRESENT,49.472,-124.685,THIS LOCATION IS CURRENTLY BEING MONITORED
DEPARTURE BAY (PBS),ACTIVE,1914 - PRESENT,49.21,-123.955,THIS LOCATION IS CURRENTLY BEING MONITORED
EAST POINT LIGHTSTATION,ARCHIVED,1967 - 1968,48.783,-123.046,DAILY OBSERVATIONS FROM THIS RANDOM SITE ARE PART OF A SHORT TIME SERIES. THIS LOCATION IS NO LONGER BEING MONITORED
EGG ISLAND LIGHTSTATION,ACTIVE,1970 - PRESENT,51.25,-127.835,THIS LOCATION IS CURRENTLY BEING MONITORED
ENTRANCE ISLAND LIGHTSTATION,ACTIVE,1936 - PRESENT,49.209,-123.808,THIS LOCATION IS CURRENTLY BEING MONITORED
