1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: BA0000002BBFE721
Is Mission Active?  true
Mission Start:  Thu Jun 12 22:01:00 PDT 2014
Sample Rate:  Every 240 minute(s)
Number of Mission Samples:  2309
Total Samples:  4454
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 °C
Low Temperature Alarm:  -40 °C

Date/Time,Unit,Value
6/12/14 10:01:00 PM,C,20
6/13/14 2:01:00 AM,C,18
6/13/14 6:01:00 AM,C,15.5
6/13/14 10:01:00 AM,C,14.5
6/13/14 2:01:00 PM,C,11.5
6/13/14 6:01:00 PM,C,18
6/13/14 10:01:00 PM,C,11.5
6/14/14 2:01:00 AM,C,10
6/14/14 6:01:00 AM,C,9.5
6/14/14 10:01:00 AM,C,13
6/14/14 2:01:00 PM,C,10
6/14/14 6:01:00 PM,C,11.5
6/14/14 10:01:00 PM,C,10
6/15/14 2:01:00 AM,C,9.5
6/15/14 6:01:00 AM,C,9.5
6/15/14 10:01:00 AM,C,12.5
6/15/14 2:01:00 PM,C,11.5
6/15/14 6:01:00 PM,C,11
6/15/14 10:01:00 PM,C,11
6/16/14 2:01:00 AM,C,10.5
6/16/14 6:01:00 AM,C,10
6/16/14 10:01:00 AM,C,17.5
6/16/14 2:01:00 PM,C,22.5
6/16/14 6:01:00 PM,C,11
6/16/14 10:01:00 PM,C,11
6/17/14 2:01:00 AM,C,10.5
6/17/14 6:01:00 AM,C,10
6/17/14 10:01:00 AM,C,20
6/17/14 2:01:00 PM,C,27
6/17/14 6:01:00 PM,C,12.5
6/17/14 10:01:00 PM,C,11.5
6/18/14 2:01:00 AM,C,11
6/18/14 6:01:00 AM,C,10
6/18/14 10:01:00 AM,C,13.5
6/18/14 2:01:00 PM,C,18
6/18/14 6:01:00 PM,C,10.5
6/18/14 10:01:00 PM,C,11.5
6/19/14 2:01:00 AM,C,11
6/19/14 6:01:00 AM,C,10.5
6/19/14 10:01:00 AM,C,13.5
6/19/14 2:01:00 PM,C,14
6/19/14 6:01:00 PM,C,11.5
6/19/14 10:01:00 PM,C,11.5
6/20/14 2:01:00 AM,C,10
6/20/14 6:01:00 AM,C,10
6/20/14 10:01:00 AM,C,12
6/20/14 2:01:00 PM,C,17
6/20/14 6:01:00 PM,C,12
6/20/14 10:01:00 PM,C,11
6/21/14 2:01:00 AM,C,9.5
6/21/14 6:01:00 AM,C,9.5
6/21/14 10:01:00 AM,C,11
6/21/14 2:01:00 PM,C,17
6/21/14 6:01:00 PM,C,21.5
6/21/14 10:01:00 PM,C,11.5
6/22/14 2:01:00 AM,C,11.5
6/22/14 6:01:00 AM,C,12
6/22/14 10:01:00 AM,C,11.5
6/22/14 2:01:00 PM,C,20.5
6/22/14 6:01:00 PM,C,21
6/22/14 10:01:00 PM,C,12
6/23/14 2:01:00 AM,C,12.5
6/23/14 6:01:00 AM,C,11.5
6/23/14 10:01:00 AM,C,12
