Fidelity ,FB,MC,NB,WB, SUM,,Top 20 Faithful Species per Community >33%,,,,,,,,,Acr_sp,Acrochaetium sp.,Red
HIL_ALL,28%,14%,32%,26%,605,,FB,,MC,,NB,,WB,,,Acr_arc ,Acrosiphonia arcta,Green 
rock,27%,13%,31%,30%,579,,Spo_tum,Coralline ,Neo_acu,Red,Hil_occ,Red,Fuc_dis,Brown,,Acr_coa,Acrosiphonia coalita,Green 
COR_ALL,34%,5%,33%,28%,492,,End_mur,Red,Ulv_pro,Green,Petro,Red,Spo_tum,Coralline,,Acro,Acrosiphonia sp.,Green 
Fuc_dis,24%,12%,28%,36%,458,,Cor_van,Coralline ,Lom_hak,Red,Cor_van,Coralline,End_mur,Red,,Aga_fim,Agarum fimbriatum,Kelp 
Hil_occ,32%,14%,33%,21%,449,,Ala_mar,Kelp,Col_per,Brown,Hil_rub,Red,Mas_aga,Red,,Ahn_fas,Ahnfeltia fastigiata,Red
Petro,29%,5%,36%,30%,377,,Pyr_per,Red,Sar_mut,Brown,Ala_mar,Kelp,Mas_ala,Red,,Ala_mar,Alaria marginata,Kelp 
Ulv_lac,32%,23%,22%,23%,370,,Maz_ore,Red,Bli_min,Green,Pyr_per,Red,Bos_frondes,Coralline,,Ana_jap,Analipus japonicus,Brown 
Hal_gla,30%,19%,26%,25%,333,,Plo_vio,Red,Cla_ser,Green,Bos_frondif,Coralline,Cry_woo,Red,,Ant_def,Antithamnion defectum,Red
Spo_tum,39%,0%,28%,33%,318,,Bos_frondif,Coralline ,Punct,Brown,Cor_crust,Coralline,Mas_lat,Red,,Ant_pac,Antithamnionella pacifica,Red
End_mur,41%,1%,24%,35%,317,,Cry_woo,Red,Sac_lat,Kelp,Glo_fur,Red,Glo_fur,Red,,Bangia,Bangia sp.,Red
Cor_van,37%,0%,42%,21%,304,,Cal_pik,Red,Mon_gre,Green,Pyr_abb,Red,Pol_lat,Red,,Bli_daw,Blidingia dawsonii,Green 
Hil_rub,21%,17%,34%,28%,266,,Mic_bor,Red,Sph_rig,Brown,Odo_flo,Red,Ela_fuc,Brown,,Bli_min,Blidingia minima,Green 
Ala_mar,39%,0%,37%,24%,232,,Pyr_abb,Red,Ery_car,Red,Hym_Cryp,Red,Neo_lar,Red,,Bli_sp,Blidingia sp. ,Green 
Pyr_per,40%,0%,43%,16%,230,,Pol_lat,Red,Hol_sub,Red,Wil_nor,Red,Odo_flo,Red,,Bos_cal,Bossiella californica,Coralline
Maz_ore,52%,1%,21%,26%,219,,Maz_spl,Red,Ral_pac,Brown,Sac_ses,Kelp,Acr_coa,Green,,Bos_dic,Bossiella dichotoma,Coralline
Plo_vio,56%,0%,23%,22%,200,,Neo_lar,Red,Con_sub,Red,Lit_phy,Coralline,Cer_pac,Red,,Bos_frondes,Bossiella frondescens,Coralline
Mas_aga,27%,8%,21%,43%,196,,Acr_arc,Green ,Mac_pyr,Kelp,Neo_rec,Red,Pri_ste,Red,,Bos_frondif,Bossiella frondifera,Coralline
Mas_ala,32%,8%,23%,37%,190,,Cla_col,Green ,Phi_tor,Green,Cor_sp1,Coralline,Egr_men,Kelp,,Bos_hak,Bossiella hakaiensis,Coralline
Lea_mar,30%,32%,21%,17%,185,,Pte_bip,Red,Pol_pan,Red,Bos_chi5,Coralline,Neo_sub,Red,,Bos_man,Bossiella manzae,Coralline
Bos_frondif,34%,1%,42%,23%,172,,Hym_Cryp,Red,Wil_cun,Red,Hym_set,Red,Pal_hec,Red,,Bos_pul,Bossiella plumosa,Coralline
