"Taxon","Quadrat","Abundance","SiteHeightYear"
"Alaria",1,15,"West Beach LOW 2011"
"Bossiella",1,18,"West Beach LOW 2011"
"Coralline crust, unknown",1,4,"West Beach LOW 2011"
"Egregia menziesii",1,10,"West Beach LOW 2011"
"Hildenbrandia",1,14,"West Beach LOW 2011"
"Mastocarpus latissimus",1,5,"West Beach LOW 2011"
"Mazzaella oregona",1,8,"West Beach LOW 2011"
"Odonthalia floccosa",1,4,"West Beach LOW 2011"
"Palmaria hecatensis",1,8,"West Beach LOW 2011"
"Polyneura latissima",1,5,"West Beach LOW 2011"
"Pseudolithophyllum neofarlowii",1,4,"West Beach LOW 2011"
"Ptilota spp.",1,8,"West Beach LOW 2011"
"Saccharina latissimus",1,5,"West Beach LOW 2011"
"Bare Rock",2,5,"West Beach LOW 2011"
"Alaria",2,0.5,"West Beach LOW 2011"
"Bossiella",2,0.5,"West Beach LOW 2011"
"Corallina vancouveriensis",2,0.5,"West Beach LOW 2011"
"Cryptosiphonia woodii",2,0.5,"West Beach LOW 2011"
"Endocladia muricata",2,10,"West Beach LOW 2011"
"Fucus distichus subsp. evanescens",2,60,"West Beach LOW 2011"
"Halosaccion glandiforme",2,0.5,"West Beach LOW 2011"
"Hildenbrandia",2,4,"West Beach LOW 2011"
"Mastocarpus latissimus",2,30,"West Beach LOW 2011"
"Mastocarpus rigidus",2,3,"West Beach LOW 2011"
"Mazzaella oregona",2,1,"West Beach LOW 2011"
"Petrocelis",2,1,"West Beach LOW 2011"
"Phyllospadix",2,0.5,"West Beach LOW 2011"
"Plocamium violaceum",2,20,"West Beach LOW 2011"
"Pseudolithophyllum neofarlowii",2,10,"West Beach LOW 2011"
"Ulva lactuca",2,0.5,"West Beach LOW 2011"
"Bare Rock",3,0.5,"West Beach LOW 2011"
"Alaria",3,20,"West Beach LOW 2011"
"Bossiella",3,0.5,"West Beach LOW 2011"
"Corallina frondescens",3,4,"West Beach LOW 2011"
"Corallina vancouveriensis",3,2,"West Beach LOW 2011"
"Endocladia muricata",3,0.5,"West Beach LOW 2011"
"Fucus distichus subsp. evanescens",3,11,"West Beach LOW 2011"
"Halosaccion glandiforme",3,1,"West Beach LOW 2011"
"Leathesia marina",3,0.5,"West Beach LOW 2011"
"Mastocarpus latissimus",3,3,"West Beach LOW 2011"
"Mazzaella oregona",3,12,"West Beach LOW 2011"
"Mazzaella splendens",3,8,"West Beach LOW 2011"
"Microcladia borealis",3,5,"West Beach LOW 2011"
"Neogastroclonium subarticulatum",3,17,"West Beach LOW 2011"
"Odonthalia floccosa",3,2,"West Beach LOW 2011"
"Petrocelis",3,2,"West Beach LOW 2011"
"Plocamium violaceum",3,10,"West Beach LOW 2011"
"Polyneura latissima",3,1,"West Beach LOW 2011"
"Pseudolithophyllum neofarlowii",3,50,"West Beach LOW 2011"
"Ptilota spp.",3,1,"West Beach LOW 2011"
"Pylaiella littoralis",3,2,"West Beach LOW 2011"
"Ulva lactuca",3,1,"West Beach LOW 2011"
"Acrosiphonia",4,0.5,"West Beach LOW 2011"
"Alaria",4,4,"West Beach LOW 2011"
"Codium fragile",4,0.5,"West Beach LOW 2011"
"Corallina frondescens",4,2,"West Beach LOW 2011"
"Corallina vancouveriensis",4,8,"West Beach LOW 2011"
"Cryptosiphonia woodii",4,8,"West Beach LOW 2011"
"Endocladia muricata",4,6,"West Beach LOW 2011"
"Fucus distichus subsp. evanescens",4,25,"West Beach LOW 2011"
"Halosaccion glandiforme",4,8,"West Beach LOW 2011"
"Hildenbrandia",4,5,"West Beach LOW 2011"
"Mastocarpus latissimus",4,6,"West Beach LOW 2011"
"Mazzaella oregona",4,4,"West Beach LOW 2011"
"Neorhodomela larix",4,6,"West Beach LOW 2011"
"Odonthalia floccosa",4,3,"West Beach LOW 2011"
"Palmaria hecatensis",4,3,"West Beach LOW 2011"
"Petrocelis",4,4,"West Beach LOW 2011"
"Plocamium violaceum",4,20,"West Beach LOW 2011"
"Pseudolithophyllum neofarlowii",4,8,"West Beach LOW 2011"
"Ulva lactuca",4,5,"West Beach LOW 2011"
"Bare Rock",5,25,"West Beach LOW 2011"
"Acrosiphonia",5,0.5,"West Beach LOW 2011"
"Alaria",5,20,"West Beach LOW 2011"
"Bossiella",5,0.5,"West Beach LOW 2011"
"Corallina frondescens",5,10,"West Beach LOW 2011"
"Corallina vancouveriensis",5,0.5,"West Beach LOW 2011"
"Cryptosiphonia woodii",5,1,"West Beach LOW 2011"
"Fucus distichus subsp. evanescens",5,2,"West Beach LOW 2011"
"Halosaccion glandiforme",5,0.5,"West Beach LOW 2011"
"Hildenbrandia",5,2,"West Beach LOW 2011"
"Leathesia marina",5,0.5,"West Beach LOW 2011"
"Mastocarpus latissimus",5,2,"West Beach LOW 2011"
"Mazzaella oregona",5,0.5,"West Beach LOW 2011"
"Neogastroclonium subarticulatum",5,10,"West Beach LOW 2011"
"Neorhodomela larix",5,0.5,"West Beach LOW 2011"
"Palmaria hecatensis",5,1,"West Beach LOW 2011"
"Petrocelis",5,2,"West Beach LOW 2011"
"Polyneura latissima",5,4,"West Beach LOW 2011"
"Pseudolithophyllum neofarlowii",5,15,"West Beach LOW 2011"
"Ptilota spp.",5,4,"West Beach LOW 2011"
"Sphacelaria rigidula",5,0.5,"West Beach LOW 2011"
"Tokidadendron bullatum",5,0.5,"West Beach LOW 2011"
"Ulva lactuca",5,0.5,"West Beach LOW 2011"
"Acrosiphonia",6,8,"West Beach LOW 2011"
"Alaria",6,20,"West Beach LOW 2011"
"Callithamnion pikeanum",6,2,"West Beach LOW 2011"
"Corallina frondescens",6,3,"West Beach LOW 2011"
"Cryptosiphonia woodii",6,6,"West Beach LOW 2011"
"Fucus distichus subsp. evanescens",6,4,"West Beach LOW 2011"
"Halosaccion glandiforme",6,2,"West Beach LOW 2011"
"Mastocarpus latissimus",6,5,"West Beach LOW 2011"
"Mazzaella oregona",6,12,"West Beach LOW 2011"
"Odonthalia floccosa",6,2,"West Beach LOW 2011"
"Palmaria hecatensis",6,12,"West Beach LOW 2011"
"Petrocelis",6,2,"West Beach LOW 2011"
"Plocamium violaceum",6,4,"West Beach LOW 2011"
"Polyneura latissima",6,0.5,"West Beach LOW 2011"
"Pseudolithophyllum neofarlowii",6,8,"West Beach LOW 2011"
"Ptilota spp.",6,2,"West Beach LOW 2011"
"Rhodocorton purpureum",6,5,"West Beach LOW 2011"
"Alaria",7,12,"West Beach LOW 2011"
"Ceramium pacificum",7,0.5,"West Beach LOW 2011"
"Codium fragile",7,0.5,"West Beach LOW 2011"
"Corallina frondescens",7,3,"West Beach LOW 2011"
"Corallina vancouveriensis",7,6,"West Beach LOW 2011"
"Cryptosiphonia woodii",7,3,"West Beach LOW 2011"
"Egregia menziesii",7,5,"West Beach LOW 2011"
"Fucus distichus subsp. evanescens",7,4,"West Beach LOW 2011"
"Halosaccion glandiforme",7,1,"West Beach LOW 2011"
"Leathesia marina",7,1,"West Beach LOW 2011"
"Mastocarpus latissimus",7,10,"West Beach LOW 2011"
"Mazzaella oregona",7,8,"West Beach LOW 2011"
"Neorhodomela larix",7,4,"West Beach LOW 2011"
"Odonthalia floccosa",7,1,"West Beach LOW 2011"
"Palmaria hecatensis",7,10,"West Beach LOW 2011"
"Petrocelis",7,1,"West Beach LOW 2011"
"Phyllospadix",7,2,"West Beach LOW 2011"
