"Date","Quadrat","Meter.point","Sampler","Recorder","Bedrock","Boulder","Cobble","Sand/Gravel/Pebble","Water","SiteHeightYear","SUBSTRATE-ROCK","SUBSTRATE-SAND","WATER","Pebble","SAND SCOUR","SUBSTRATE-Clam shell","Site","Zone","Year","UID","Shore_height_cm"
2011-08-12,"1",3,"Patrick","Katrina",NA,"0","25",NA,NA,"West Beach LOW 2011",NA,NA,NA,NA,NA,NA,"West Beach","LOW","2011","West Beach LOW 2011 1",88
2011-08-12,"2",7,"Sandra","Noriko",NA,"100","0",NA,NA,"West Beach LOW 2011",NA,NA,NA,NA,NA,NA,"West Beach","LOW","2011","West Beach LOW 2011 2",68
2011-08-12,"3",13,"Sandra","Noriko",NA,"100","0",NA,NA,"West Beach LOW 2011",NA,NA,NA,NA,NA,NA,"West Beach","LOW","2011","West Beach LOW 2011 3",75
2011-08-12,"4",14,"Patrick","Katrina",NA,"0","0",NA,NA,"West Beach LOW 2011",NA,NA,NA,NA,NA,NA,"West Beach","LOW","2011","West Beach LOW 2011 4",75
2011-08-12,"5",19,"Sandra","Noriko",NA,"50","50",NA,NA,"West Beach LOW 2011",NA,NA,NA,NA,NA,NA,"West Beach","LOW","2011","West Beach LOW 2011 5",101
2011-08-12,"6",21,"Patrick","Katrina",NA,"0","0",NA,NA,"West Beach LOW 2011",NA,NA,NA,NA,NA,NA,"West Beach","LOW","2011","West Beach LOW 2011 6",112
2011-08-12,"7",27,"Patrick","Katrina",NA,"0","5",NA,NA,"West Beach LOW 2011",NA,NA,NA,NA,NA,NA,"West Beach","LOW","2011","West Beach LOW 2011 7",131
2011-08-12,"8",29,"Sandra","Noriko",NA,"65","35",NA,NA,"West Beach LOW 2011",NA,NA,NA,NA,NA,NA,"West Beach","LOW","2011","West Beach LOW 2011 8",90
2011-08-12,"9",30,"Sandra","Noriko",NA,"65","35",NA,NA,"West Beach LOW 2011",NA,NA,NA,NA,NA,NA,"West Beach","LOW","2011","West Beach LOW 2011 9",105
2011-08-12,"10",32,"Patrick","Katrina",NA,"0","5",NA,NA,"West Beach LOW 2011",NA,NA,NA,NA,NA,NA,"West Beach","LOW","2011","West Beach LOW 2011 10",126
2012-07-03,"1",2,"SL","SL",NA,"100","0","0","0","West Beach LOW 2012",NA,NA,NA,NA,NA,NA,"West Beach","LOW","2012","West Beach LOW 2012 1",90
2012-07-03,"2",6,"PTM","JJ",NA,"0","0","0","0","West Beach LOW 2012",NA,NA,NA,NA,NA,NA,"West Beach","LOW","2012","West Beach LOW 2012 2",107
2012-07-03,"3",7,"PTM","JJ",NA,"0","0","0","0","West Beach LOW 2012",NA,NA,NA,NA,NA,NA,"West Beach","LOW","2012","West Beach LOW 2012 3",68
2012-07-03,"4",14,"SL","SL",NA,"45","50","5","0","West Beach LOW 2012",NA,NA,NA,NA,NA,NA,"West Beach","LOW","2012","West Beach LOW 2012 4",75
2012-07-03,"5",16,"SL","SL",NA,"50","50","0","10","West Beach LOW 2012",NA,NA,NA,NA,NA,NA,"West Beach","LOW","2012","West Beach LOW 2012 5",75
2012-07-03,"6",23,"PTM","JJ",NA,"0","0","0","0","West Beach LOW 2012",NA,NA,NA,NA,NA,NA,"West Beach","LOW","2012","West Beach LOW 2012 6",117
2012-07-03,"7",24,"PTM","JJ",NA,"0","0","0","0","West Beach LOW 2012",NA,NA,NA,NA,NA,NA,"West Beach","LOW","2012","West Beach LOW 2012 7",124
2012-07-03,"8",27,"PTM","JJ",NA,"0","0","0","0","West Beach LOW 2012",NA,NA,NA,NA,NA,NA,"West Beach","LOW","2012","West Beach LOW 2012 8",131
2012-07-03,"9",30,"SL","SL",NA,"55","40","5","25","West Beach LOW 2012",NA,NA,NA,NA,NA,NA,"West Beach","LOW","2012","West Beach LOW 2012 9",105
2012-07-03,"10",33,"SL","SL",NA,"100","0","0","0","West Beach LOW 2012",NA,NA,NA,NA,NA,NA,"West Beach","LOW","2012","West Beach LOW 2012 10",135
2011-08-12,"1",3,"Patrick","Katrina",NA,NA,NA,NA,NA,"West Beach MID 2011",NA,NA,NA,NA,NA,NA,"West Beach","MID","2011","West Beach MID 2011 1",219
2011-08-12,"2",8,"Sandra","Noriko",NA,"45","55",NA,NA,"West Beach MID 2011",NA,NA,NA,NA,NA,NA,"West Beach","MID","2011","West Beach MID 2011 2",173
2011-08-12,"3",10,"Sandra","Noriko",NA,"95","5",NA,NA,"West Beach MID 2011",NA,NA,NA,NA,NA,NA,"West Beach","MID","2011","West Beach MID 2011 3",200
2011-08-12,"4",11,"Patrick","Katrina",NA,NA,NA,NA,NA,"West Beach MID 2011",NA,NA,NA,NA,NA,NA,"West Beach","MID","2011","West Beach MID 2011 4",183
