"Date","Quadrat No.","Meter point","Sampler","Recorder","SiteHeightYear","SUBSTRATE-ROCK","SUBSTRATE-SAND","WATER","Boulder","Cobble","Pebble","SAND SCOUR","Bedrock","Site","Zone","Year","Shore_height_cm"
2011-08-12,"1",3,"Patrick","Katrina","West Beach LOW 2011",NA,NA,NA,NA,NA,NA,NA,NA,"West Beach","LOW","2011",88
2011-08-12,"2",7,"Sandra","Noriko","West Beach LOW 2011",NA,NA,NA,NA,NA,NA,NA,NA,"West Beach","LOW","2011",68
2011-08-12,"3",13,"Sandra","Noriko","West Beach LOW 2011",NA,NA,NA,NA,NA,NA,NA,NA,"West Beach","LOW","2011",75
2011-08-12,"4",14,"Patrick","Katrina","West Beach LOW 2011",NA,NA,NA,NA,NA,NA,NA,NA,"West Beach","LOW","2011",75
2011-08-12,"5",19,"Sandra","Noriko","West Beach LOW 2011",NA,NA,NA,NA,NA,NA,NA,NA,"West Beach","LOW","2011",101
2011-08-12,"6",21,"Patrick","Katrina","West Beach LOW 2011",NA,NA,NA,NA,NA,NA,NA,NA,"West Beach","LOW","2011",112
2011-08-12,"7",27,"Patrick","Katrina","West Beach LOW 2011",NA,NA,NA,NA,NA,NA,NA,NA,"West Beach","LOW","2011",131
2011-08-12,"8",29,"Sandra","Noriko","West Beach LOW 2011",NA,NA,NA,NA,NA,NA,NA,NA,"West Beach","LOW","2011",90
2011-08-12,"9",30,"Sandra","Noriko","West Beach LOW 2011",NA,NA,NA,NA,NA,NA,NA,NA,"West Beach","LOW","2011",105
2011-08-12,"10",32,"Patrick","Katrina","West Beach LOW 2011",NA,NA,NA,NA,NA,NA,NA,NA,"West Beach","LOW","2011",126
2012-07-03,"1",2,"SL","SL","West Beach LOW 2012",NA,NA,NA,NA,NA,NA,NA,NA,"West Beach","LOW","2012",90
2012-07-03,"2",6,"PTM","JJ","West Beach LOW 2012",NA,NA,NA,NA,NA,NA,NA,NA,"West Beach","LOW","2012",107
2012-07-03,"3",7,"PTM","JJ","West Beach LOW 2012",NA,NA,NA,NA,NA,NA,NA,NA,"West Beach","LOW","2012",68
2012-07-03,"4",14,"SL","SL","West Beach LOW 2012",NA,NA,NA,NA,NA,NA,NA,NA,"West Beach","LOW","2012",75
2012-07-03,"5",16,"SL","SL","West Beach LOW 2012",NA,NA,NA,NA,NA,NA,NA,NA,"West Beach","LOW","2012",75
2012-07-03,"6",23,"PTM","JJ","West Beach LOW 2012",NA,NA,NA,NA,NA,NA,NA,NA,"West Beach","LOW","2012",117
2012-07-03,"7",24,"PTM","JJ","West Beach LOW 2012",NA,NA,NA,NA,NA,NA,NA,NA,"West Beach","LOW","2012",124
2012-07-03,"8",27,"PTM","JJ","West Beach LOW 2012",NA,NA,NA,NA,NA,NA,NA,NA,"West Beach","LOW","2012",131
2012-07-03,"9",30,"SL","SL","West Beach LOW 2012",NA,NA,NA,NA,NA,NA,NA,NA,"West Beach","LOW","2012",105
2012-07-03,"10",33,"SL","SL","West Beach LOW 2012",NA,NA,NA,NA,NA,NA,NA,NA,"West Beach","LOW","2012",135
2011-08-12,"1",3,"Patrick","Katrina","West Beach MID 2011",NA,NA,NA,NA,NA,NA,NA,NA,"West Beach","MID","2011",219
2011-08-12,"2",8,"Sandra","Noriko","West Beach MID 2011",NA,NA,NA,NA,NA,NA,NA,NA,"West Beach","MID","2011",173
2011-08-12,"3",10,"Sandra","Noriko","West Beach MID 2011",NA,NA,NA,NA,NA,NA,NA,NA,"West Beach","MID","2011",200
2011-08-12,"4",11,"Patrick","Katrina","West Beach MID 2011",NA,NA,NA,NA,NA,NA,NA,NA,"West Beach","MID","2011",183
2011-08-12,"5",14,"Patrick","Katrina","West Beach MID 2011",NA,NA,NA,NA,NA,NA,NA,NA,"West Beach","MID","2011",172
2011-08-12,"6",18,"Sandra","Noriko","West Beach MID 2011",NA,NA,NA,NA,NA,NA,NA,NA,"West Beach","MID","2011",155
2011-08-12,"7",28,"Sandra","Noriko","West Beach MID 2011",NA,NA,NA,NA,NA,NA,NA,NA,"West Beach","MID","2011",199
2011-08-12,"8",30,"Patrick","Katrina","West Beach MID 2011",NA,NA,NA,NA,NA,NA,NA,NA,"West Beach","MID","2011",185
2011-08-12,"9",36,"Sandra","Noriko","West Beach MID 2011",NA,NA,NA,NA,NA,NA,NA,NA,"West Beach","MID","2011",188
2011-08-12,"10",48,"Patrick","Katrina","West Beach MID 2011",NA,NA,NA,NA,NA,NA,NA,NA,"West Beach","MID","2011",170
2012-07-03,"1",1,"JJ","LA","West Beach MID 2012",NA,NA,NA,NA,NA,NA,NA,NA,"West Beach","MID","2012",171
2012-07-03,"2",6,"SCL","SCL","West Beach MID 2012",NA,NA,NA,NA,NA,NA,NA,NA,"West Beach","MID","2012",165
2012-07-03,"3",13,"PTM","PTM","West Beach MID 2012",NA,NA,NA,NA,NA,NA,NA,NA,"West Beach","MID","2012",217
2012-07-03,"4",15,"PTM","PTM","West Beach MID 2012",NA,NA,NA,NA,NA,NA,NA,NA,"West Beach","MID","2012",160
2012-07-03,"5",20,"SCL","SCL","West Beach MID 2012",NA,NA,NA,NA,NA,NA,NA,NA,"West Beach","MID","2012",182
2012-07-03,"6",25,"JJ","LA","West Beach MID 2012",NA,NA,NA,NA,NA,NA,NA,NA,"West Beach","MID","2012",165
2012-07-03,"    7",30,NA,NA,"West Beach MID 2012",NA,NA,NA,NA,NA,NA,NA,NA,"West Beach","MID","2012",185
2012-07-03,"8",35,"SCL","SCL","West Beach MID 2012",NA,NA,NA,NA,NA,NA,NA,NA,"West Beach","MID","2012",203
2012-07-03,"9",38,"JJ","LA","West Beach MID 2012",NA,NA,NA,NA,NA,NA,NA,NA,"West Beach","MID","2012",181
2012-07-03,"   10",45,NA,NA,"West Beach MID 2012",NA,NA,NA,NA,NA,NA,NA,NA,"West Beach","MID","2012",195
2011-08-12,"1",3,"Patrick","Katrina","West Beach HIGH 2011",NA,NA,NA,NA,NA,NA,NA,NA,"West Beach","HIGH","2011",257
2011-08-12,"2",11,"Sandra","Noriko","West Beach HIGH 2011",NA,NA,NA,NA,NA,NA,NA,NA,"West Beach","HIGH","2011",234
2011-08-12,"3",13,"Sandra","Noriko","West Beach HIGH 2011",NA,NA,NA,NA,NA,NA,NA,NA,"West Beach","HIGH","2011",248
2011-08-12,"4",20,"Patrick","Katrina","West Beach HIGH 2011",NA,NA,NA,NA,NA,NA,NA,NA,"West Beach","HIGH","2011",213
2011-08-12,"5",22,"Sandra",NA,"West Beach HIGH 2011",NA,NA,NA,NA,NA,NA,NA,NA,"West Beach","HIGH","2011",218
2011-08-12,"6",24,"Sandra",NA,"West Beach HIGH 2011",NA,NA,NA,NA,NA,NA,NA,NA,"West Beach","HIGH","2011",227
2011-08-12,"7",27,"Sandra",NA,"West Beach HIGH 2011",NA,NA,NA,NA,NA,NA,NA,NA,"West Beach","HIGH","2011",223
2011-08-12,"8",34,"Patrick","Katrina","West Beach HIGH 2011",NA,NA,NA,NA,NA,NA,NA,NA,"West Beach","HIGH","2011",270
2011-08-12,"9",37,"Sandra","Noriko","West Beach HIGH 2011",NA,NA,NA,NA,NA,NA,NA,NA,"West Beach","HIGH","2011",282
2011-08-12,"10",41,"Sandra","Noriko","West Beach HIGH 2011",NA,NA,NA,NA,NA,NA,NA,NA,"West Beach","HIGH","2011",347
2012-07-03,"1",1,"SCL","SCL","West Beach HIGH 2012",NA,NA,NA,NA,NA,NA,NA,NA,"West Beach","HIGH","2012",239
2012-07-03,"2",4,"LA","JJ","West Beach HIGH 2012",NA,NA,NA,NA,NA,NA,NA,NA,"West Beach","HIGH","2012",240
2012-07-03,"3",11,"SCL","SCL","West Beach HIGH 2012",NA,NA,NA,NA,NA,NA,NA,NA,"West Beach","HIGH","2012",234
2012-07-03,"4",13,"PTM","PTM","West Beach HIGH 2012",NA,NA,NA,NA,NA,NA,NA,NA,"West Beach","HIGH","2012",248
2012-07-03,"5",22,"LA","JJ","West Beach HIGH 2012",NA,NA,NA,NA,NA,NA,NA,NA,"West Beach","HIGH","2012",218
2012-07-03,"6",26,"SCL","SCL","West Beach HIGH 2012",NA,NA,NA,NA,NA,NA,NA,NA,"West Beach","HIGH","2012",200
2012-07-03,"7",29,"PTM","PTM","West Beach HIGH 2012",NA,NA,NA,NA,NA,NA,NA,NA,"West Beach","HIGH","2012",320
2012-07-03,"8",30,"PTM","PTM","West Beach HIGH 2012",NA,NA,NA,NA,NA,NA,NA,NA,"West Beach","HIGH","2012",320
2012-07-03,"9",32,"LA","JJ","West Beach HIGH 2012",NA,NA,NA,NA,NA,NA,NA,NA,"West Beach","HIGH","2012",264
2012-07-03,"10",39,"LA","JJ","West Beach HIGH 2012",NA,NA,NA,NA,NA,NA,NA,NA,"West Beach","HIGH","2012",293
2011-08-13,"1",1,"Patrick","Katrina","North Beach LOW 2011",NA,NA,NA,NA,NA,NA,NA,NA,"North Beach","LOW","2011",156
2011-08-13,"2",5,"Sandra","Sandra","North Beach LOW 2011",NA,NA,NA,NA,NA,NA,NA,NA,"North Beach","LOW","2011",95
2011-08-13,"3",6,"Sandra","Sandra","North Beach LOW 2011",NA,NA,NA,NA,NA,NA,NA,NA,"North Beach","LOW","2011",100
2011-08-13,"4",9,"Patrick","Katrina","North Beach LOW 2011",NA,NA,NA,NA,NA,NA,NA,NA,"North Beach","LOW","2011",114
2011-08-13,"5",14,"Laura","Noriko","North Beach LOW 2011",NA,NA,NA,NA,NA,NA,NA,NA,"North Beach","LOW","2011",110
2011-08-13,"6",15,"Sandra","Sandra","North Beach LOW 2011",NA,NA,NA,NA,NA,NA,NA,NA,"North Beach","LOW","2011",109
2011-08-13,"7",16,"Patrick","Katrina","North Beach LOW 2011",NA,NA,NA,NA,NA,NA,NA,NA,"North Beach","LOW","2011",128
2011-08-13,"8",17,"Laura","Noriko","North Beach LOW 2011",NA,NA,NA,NA,NA,NA,NA,NA,"North Beach","LOW","2011",148
2011-08-13,"9",20,"Sandra","Sandra","North Beach LOW 2011",NA,NA,NA,NA,NA,NA,NA,NA,"North Beach","LOW","2011",111
2011-08-13,"10",21,"Patrick","Katrina","North Beach LOW 2011",NA,NA,NA,NA,NA,NA,NA,NA,"North Beach","LOW","2011",130
2012-07-04,"1",1,"PTM","JJ","North Beach LOW 2012",NA,NA,NA,NA,NA,NA,NA,NA,"North Beach","LOW","2012",156
2012-07-04,"2",2,"PTM","JJ","North Beach LOW 2012",NA,NA,NA,NA,NA,NA,NA,NA,"North Beach","LOW","2012",122
2012-07-04,"3",3,"PTM","JJ","North Beach LOW 2012",NA,NA,NA,NA,NA,NA,NA,NA,"North Beach","LOW","2012",97
2012-07-04,"4",5,"SL","SL","North Beach LOW 2012",NA,NA,NA,NA,NA,NA,NA,NA,"North Beach","LOW","2012",95
2012-07-04,"5",9,"SL","SL","North Beach LOW 2012",NA,NA,NA,NA,NA,NA,NA,NA,"North Beach","LOW","2012",114
2012-07-04,"6",13,"PTM","JJ","North Beach LOW 2012",NA,NA,NA,NA,NA,NA,NA,NA,"North Beach","LOW","2012",90
2012-07-04,"7",14,"PTM","JJ","North Beach LOW 2012",NA,NA,NA,NA,NA,NA,NA,NA,"North Beach","LOW","2012",110
2012-07-04,"8",17,"SL","SL","North Beach LOW 2012",NA,NA,NA,NA,NA,NA,NA,NA,"North Beach","LOW","2012",148
2012-07-04,"9",18,"SL","SL","North Beach LOW 2012",NA,NA,NA,NA,NA,NA,NA,NA,"North Beach","LOW","2012",171
2012-07-04,"10",22,"PTM","JJ","North Beach LOW 2012",NA,NA,NA,NA,NA,NA,NA,NA,"North Beach","LOW","2012",139
2011-08-13,"1",1,"Patrick","Katrina","North Beach MID 2011",NA,NA,NA,NA,NA,NA,NA,NA,"North Beach","MID","2011",273
2011-08-13,"2",5,"Sandra","Sandra","North Beach MID 2011",NA,NA,NA,NA,NA,NA,NA,NA,"North Beach","MID","2011",184
2011-08-13,"3",6,"Laura","Noriko","North Beach MID 2011",NA,NA,NA,NA,NA,NA,NA,NA,"North Beach","MID","2011",216
2011-08-13,"4",7,"Patrick","Katrina","North Beach MID 2011",NA,NA,NA,NA,NA,NA,NA,NA,"North Beach","MID","2011",233
2011-08-13,"5",10,"Laura","Noriko","North Beach MID 2011",NA,NA,NA,NA,NA,NA,NA,NA,"North Beach","MID","2011",277
2011-08-13,"6",12,"Sandra","Sandra","North Beach MID 2011",NA,NA,NA,NA,NA,NA,NA,NA,"North Beach","MID","2011",275
2011-08-13,"7",13,"Patrick","Katrina","North Beach MID 2011",NA,NA,NA,NA,NA,NA,NA,NA,"North Beach","MID","2011",278
2011-08-13,"8",14,"Laura","Noriko","North Beach MID 2011",NA,NA,NA,NA,NA,NA,NA,NA,"North Beach","MID","2011",281
2011-08-13,"9",15,"Sandra","Sandra","North Beach MID 2011",NA,NA,NA,NA,NA,NA,NA,NA,"North Beach","MID","2011",275
2011-08-13,"10",20,"Laura","Noriko","North Beach MID 2011",NA,NA,NA,NA,NA,NA,NA,NA,"North Beach","MID","2011",279
2012-07-04,"1",1,"LA","JJ","North Beach MID 2012",NA,NA,NA,NA,NA,NA,NA,NA,"North Beach","MID","2012",273
2012-07-04,"2",9,"JJ","LA","North Beach MID 2012",NA,NA,NA,NA,NA,NA,NA,NA,"North Beach","MID","2012",200
2012-07-04,"3",11,"LA","JJ","North Beach MID 2012",NA,NA,NA,NA,NA,NA,NA,NA,"North Beach","MID","2012",278
2012-07-04,"4",12,"JJ","LA","North Beach MID 2012",NA,NA,NA,NA,NA,NA,NA,NA,"North Beach","MID","2012",275
2012-07-04,"5",13,"SCL","SCL","North Beach MID 2012",NA,NA,NA,NA,NA,NA,NA,NA,"North Beach","MID","2012",278
2012-07-04,"6",15,"LA","JJ","North Beach MID 2012",NA,NA,NA,NA,NA,NA,NA,NA,"North Beach","MID","2012",275
2012-07-04,"7",19,"PTM","PTM","North Beach MID 2012",NA,NA,NA,NA,NA,NA,NA,NA,"North Beach","MID","2012",279
2012-07-04,"8",20,"PTM","PTM","North Beach MID 2012",NA,NA,NA,NA,NA,NA,NA,NA,"North Beach","MID","2012",279
2012-07-04,"9",21,"SCL","SCL","North Beach MID 2012",NA,NA,NA,NA,NA,NA,NA,NA,"North Beach","MID","2012",285
2012-07-04,"10",24,"SCL","SCL","North Beach MID 2012",NA,NA,NA,NA,NA,NA,NA,NA,"North Beach","MID","2012",278
2011-08-13,"1",2,"Sandra","Sandra","North Beach HIGH 2011",NA,NA,NA,NA,NA,NA,NA,NA,"North Beach","HIGH","2011",362
2011-08-13,"2",4,"Sandra","Sandra","North Beach HIGH 2011",NA,NA,NA,NA,NA,NA,NA,NA,"North Beach","HIGH","2011",319
2011-08-13,"3",6,"Laura","Noriko","North Beach HIGH 2011",NA,NA,NA,NA,NA,NA,NA,NA,"North Beach","HIGH","2011",318
2011-08-13,"4",7,"Patrick","Katrina","North Beach HIGH 2011",NA,NA,NA,NA,NA,NA,NA,NA,"North Beach","HIGH","2011",334
2011-08-13,"5",8,"Laura","Noriko","North Beach HIGH 2011",NA,NA,NA,NA,NA,NA,NA,NA,"North Beach","HIGH","2011",379
