date,temp_pine,temp_mcinnes,temp_addenbroke,sal_pine,sal_mcinnes,sal_addenbroke,pca1,pca2
1978-01-01,7.5,5.8,-1.6,31.1,30.6,NA,-2.7224981374464723,0.35843965854616167
1978-01-02,7.5,6,-1.2,31.5,31.1,NA,-2.625931067923915,0.2936991331738091
1978-01-03,7.7,5.9,-2.6,30.8,30.8,NA,-2.7401848936215383,0.6277755301180002
1978-01-04,7.2,5.5,-3,30.6,30.8,NA,-3.104414154765161,0.41100934149978685
1978-01-05,7.3,5.1,-2,29.9,31.2,NA,-3.0203603474637237,0.31471137048245146
1978-01-06,7.3,5.3,-5.4,30.7,31.1,NA,-3.41490067330545,0.8463049858487203
1978-01-07,7,6,-0.9,30.7,31.1,NA,-2.8099500688578543,-0.036855102479301745
1978-01-08,7.3,6.2,2.6,31.1,31.2,NA,-2.179068373312126,-0.41799360793358886
1978-01-09,7.8,6.3,2.5,30.8,31.2,NA,-1.9467658376193981,-0.11980963496516597
1978-01-10,7.7,6.3,3.8,30.8,31,NA,-1.8233135403732157,-0.38051372801996763
1978-01-11,7.5,6.2,1.5,30.6,31.4,NA,-2.2321147854258783,-0.13198047737745192
1978-01-12,7.5,6.2,3.2,30.6,31.4,NA,-2.0124088453967857,-0.39876154033804784
1978-01-13,7.3,6.1,2.6,30.3,31.4,NA,-2.2015041504203556,-0.41700935265612754
1978-01-14,7.2,6.1,4.2,31,31.4,NA,-2.0392802166984514,-0.7247924568216227
1978-01-15,7.2,6.8,6,31,31.4,NA,-1.6495999580865115,-1.0141563104280127
1978-01-16,7.2,6.8,4.4,30.7,31.4,NA,-1.8563820192903635,-0.7630682511709811
1978-01-17,7.4,6.8,4.5,30.4,31.4,NA,-1.7543418855012272,-0.6653711650576176
1978-01-18,7.3,6.8,4,31.1,31.4,NA,-1.8635194071093792,-0.6436011914482596
1978-01-19,7.5,6.8,5.4,30.8,31.4,NA,-1.5934688485921131,-0.7499131534812342
1978-01-20,7.8,7.6,6,30.7,31.8,NA,-1.2027649763289894,-0.6818600831969199
1978-01-21,7.3,7.2,4.5,30.4,31.4,NA,-1.709156904550257,-0.7260032310759273
1978-01-22,7.5,7.3,1.5,30.4,31.4,NA,-1.9853212372353546,-0.14280728542952723
1978-01-23,7.2,7.6,3.5,30.4,31.4,NA,-1.793210711851695,-0.6297052600585922
1978-01-24,7.1,7.5,5,30.7,31.4,NA,-1.6663464340632617,-0.920811105243062
1978-01-25,7.4,7.3,5,31,31.5,NA,-1.577543605833876,-0.7487574599627467
1978-01-26,7.2,7.2,2.3,30.8,31.4,NA,-2.0380403661875013,-0.4374521945059731
1978-01-27,7.4,7.3,0,30.8,31.4,NA,-2.223737547095913,0.035892725215476234
1978-01-28,7.2,6.9,2.8,30.4,31.1,NA,-2.0407283033859858,-0.5129644471914112
1978-01-29,7.3,7,0.6,30.3,31.4,NA,-2.2580597329511054,-0.11200757608199076
1978-01-30,7.2,6.9,0.7,30.7,31,NA,-2.312129758716041,-0.18341136941655764
1978-01-31,7.1,6.8,1.2,30.7,31.2,NA,-2.3145042691800155,-0.31758717756538285
1978-02-01,7.1,6.1,0.4,30.6,31.2,NA,-2.574945739539548,-0.1851533609946375
1978-02-02,7,6,1.3,30.7,31.1,NA,-2.5256247347025576,-0.38210118395772
1978-02-03,7,6,1.6,31,31.2,NA,-2.4868530982268355,-0.42918019506841343
1978-02-04,7.4,6.6,2.7,30.6,31.1,NA,-2.031843258572019,-0.38092858783853456
1978-02-05,7.3,6.4,6.2,30.4,31.1,NA,-1.6689371813870006,-0.9849102518168319
1978-02-06,7.2,6.4,6.6,30.4,31.1,NA,-1.6617997935679854,-1.1043773115395539
1978-02-07,7.5,6.5,6.8,30.4,31.4,NA,-1.4798418763634311,-0.9666624394987523
1978-02-08,7.5,7.1,5.1,30.8,31.5,NA,-1.564933153743147,-0.7057869082029248
