UID,Taxon,Abundance
Fifth Beach HIGH 2011 1,bare rock,60
Fifth Beach HIGH 2011 1,Cladophora columbiana,1
Fifth Beach HIGH 2011 1,Cryptosiphonia woodii,0.5
Fifth Beach HIGH 2011 1,Endocladia muricata,2
Fifth Beach HIGH 2011 1,Fucus distichus,5
Fifth Beach HIGH 2011 1,Gloiopeltis furcata,0.5
Fifth Beach HIGH 2011 1,Halosaccion glandiforme,2
Fifth Beach HIGH 2011 1,Hildenbrandia sp.,3
Fifth Beach HIGH 2011 1,Mastocarpus latissimus,3
Fifth Beach HIGH 2011 1,Petrocelis,20
Fifth Beach HIGH 2011 1,Pyropia perforata,3
Fifth Beach HIGH 2011 10,bare rock,20
Fifth Beach HIGH 2011 10,Callithamnion pikeanum,0.5
Fifth Beach HIGH 2011 10,Corallina vancouveriensis,0.5
Fifth Beach HIGH 2011 10,Endocladia muricata,2
Fifth Beach HIGH 2011 10,Hildenbrandia sp.,1
Fifth Beach HIGH 2011 10,Mytilus sp.,60
Fifth Beach HIGH 2011 10,Petrocelis,4
Fifth Beach HIGH 2011 10,Plocamium violaceum,0.5
Fifth Beach HIGH 2011 10,Pollicipes polymerus,8
Fifth Beach HIGH 2011 10,Pyropia perforata,0.5
Fifth Beach HIGH 2011 10,Savoiea robusta,10
Fifth Beach HIGH 2011 10,Semibalanus cariosus,10
Fifth Beach HIGH 2011 2,Chamberlainium tumidum,9
Fifth Beach HIGH 2011 2,Cladophora columbiana,3
Fifth Beach HIGH 2011 2,Cladophora stimpsonii,2.5
Fifth Beach HIGH 2011 2,Cryptosiphonia woodii,7
Fifth Beach HIGH 2011 2,Elachista fucicola,7
Fifth Beach HIGH 2011 2,Endocladia muricata,3
Fifth Beach HIGH 2011 2,Fucus distichus,58
Fifth Beach HIGH 2011 2,Halosaccion glandiforme,4
Fifth Beach HIGH 2011 2,Hildenbrandia sp.,80
Fifth Beach HIGH 2011 2,Mastocarpus latissimus,6
Fifth Beach HIGH 2011 2,Mastocarpus rigidus,4
Fifth Beach HIGH 2011 2,Mazzaella oregona,17
Fifth Beach HIGH 2011 2,Petrocelis,4
Fifth Beach HIGH 2011 2,Ulva lactuca,2
Fifth Beach HIGH 2011 2,Ulva linza,2
Fifth Beach HIGH 2011 3,Alaria marginata,8
Fifth Beach HIGH 2011 3,bare rock,7
Fifth Beach HIGH 2011 3,Chamberlainium tumidum,35
Fifth Beach HIGH 2011 3,Cladophora columbiana,1
Fifth Beach HIGH 2011 3,Corallina frondescens,0.5
Fifth Beach HIGH 2011 3,Corallina vancouveriensis,2
Fifth Beach HIGH 2011 3,Cryptosiphonia woodii,0.5
Fifth Beach HIGH 2011 3,Elachista fucicola,1
Fifth Beach HIGH 2011 3,Endocladia muricata,3
Fifth Beach HIGH 2011 3,Fucus distichus,4
Fifth Beach HIGH 2011 3,Halosaccion glandiforme,13
Fifth Beach HIGH 2011 3,Hildenbrandia sp.,25
Fifth Beach HIGH 2011 3,Leathesia marina,0.5
Fifth Beach HIGH 2011 3,Mastocarpus latissimus,2
Fifth Beach HIGH 2011 3,Mazzaella oregona,3
Fifth Beach HIGH 2011 3,Petrocelis,3
Fifth Beach HIGH 2011 3,Pylaiella littoralis,0.5
Fifth Beach HIGH 2011 3,Savoiea robusta,1
Fifth Beach HIGH 2011 3,Ulva lactuca,1
Fifth Beach HIGH 2011 3,Ulva linza,0.5
Fifth Beach HIGH 2011 4,bare rock,25
Fifth Beach HIGH 2011 4,Cladophora columbiana,6
Fifth Beach HIGH 2011 4,Endocladia muricata,10
Fifth Beach HIGH 2011 4,Fucus distichus,15
Fifth Beach HIGH 2011 4,Halosaccion glandiforme,0.5
Fifth Beach HIGH 2011 4,Hildenbrandia sp.,4
Fifth Beach HIGH 2011 4,Mastocarpus latissimus,6
Fifth Beach HIGH 2011 4,Nemalion helminthoides,1
Fifth Beach HIGH 2011 4,Neorhodomela larix,0.5
Fifth Beach HIGH 2011 4,Petrocelis,50
Fifth Beach HIGH 2011 4,Pyropia perforata,4
Fifth Beach HIGH 2011 5,Acrosiphonia sp.,0.5
Fifth Beach HIGH 2011 5,Chamberlainium tumidum,2
Fifth Beach HIGH 2011 5,Cladophora columbiana,5
Fifth Beach HIGH 2011 5,Corallina vancouveriensis,3
Fifth Beach HIGH 2011 5,Elachista fucicola,1.5
Fifth Beach HIGH 2011 5,Endocladia muricata,18
Fifth Beach HIGH 2011 5,Fucus distichus,23
Fifth Beach HIGH 2011 5,Halosaccion glandiforme,13
Fifth Beach HIGH 2011 5,Hildenbrandia sp.,7
Fifth Beach HIGH 2011 5,Mastocarpus rigidus,13
Fifth Beach HIGH 2011 5,Mazzaella oregona,5
Fifth Beach HIGH 2011 5,Nemalion helminthoides,1.5
Fifth Beach HIGH 2011 5,Petrocelis,79
Fifth Beach HIGH 2011 5,Pyropia perforata,3
Fifth Beach HIGH 2011 5,Ulva linza,1
Fifth Beach HIGH 2011 6,bare rock,10
Fifth Beach HIGH 2011 6,Chamberlainium tumidum,3
Fifth Beach HIGH 2011 6,Elachista fucicola,0.5
Fifth Beach HIGH 2011 6,Endocladia muricata,1
Fifth Beach HIGH 2011 6,Fucus distichus,40
Fifth Beach HIGH 2011 6,Halosaccion glandiforme,1
Fifth Beach HIGH 2011 6,Hildenbrandia sp.,8
Fifth Beach HIGH 2011 6,Mastocarpus latissimus,8
Fifth Beach HIGH 2011 6,Mastocarpus rigidus,3
Fifth Beach HIGH 2011 6,Mazzaella oregona,4
Fifth Beach HIGH 2011 6,Nemalion helminthoides,0.5
Fifth Beach HIGH 2011 6,Petrocelis,40
Fifth Beach HIGH 2011 6,Pyropia perforata,2
Fifth Beach HIGH 2011 6,Wildmania schizophylla,1
Fifth Beach HIGH 2011 7,bare rock,1
Fifth Beach HIGH 2011 7,Callithamnion pikeanum,0.5
Fifth Beach HIGH 2011 7,Chamberlainium tumidum,1
Fifth Beach HIGH 2011 7,Cladophora columbiana,0.5
Fifth Beach HIGH 2011 7,Cryptosiphonia woodii,4
Fifth Beach HIGH 2011 7,Elachista fucicola,1
Fifth Beach HIGH 2011 7,Endocladia muricata,0.5
Fifth Beach HIGH 2011 7,Fucus distichus,60
Fifth Beach HIGH 2011 7,Halosaccion glandiforme,4
Fifth Beach HIGH 2011 7,Hildenbrandia sp.,25
Fifth Beach HIGH 2011 7,Leathesia marina,0.5
Fifth Beach HIGH 2011 7,Mastocarpus latissimus,17
Fifth Beach HIGH 2011 7,Mastocarpus rigidus,0.5
Fifth Beach HIGH 2011 7,Mazzaella oregona,5
Fifth Beach HIGH 2011 7,Palmaria hecatensis,1
Fifth Beach HIGH 2011 7,Petrocelis,1
Fifth Beach HIGH 2011 7,Ulva lactuca,6
Fifth Beach HIGH 2011 7,Ulva linza,0.5
Fifth Beach HIGH 2011 8,Chamberlainium tumidum,11
Fifth Beach HIGH 2011 8,Cladophora columbiana,2
Fifth Beach HIGH 2011 8,Endocladia muricata,42
Fifth Beach HIGH 2011 8,Halosaccion glandiforme,3
Fifth Beach HIGH 2011 8,Hildenbrandia sp.,27
Fifth Beach HIGH 2011 8,Mastocarpus latissimus,7
Fifth Beach HIGH 2011 8,Mastocarpus rigidus,5
Fifth Beach HIGH 2011 8,Petrocelis,13
Fifth Beach HIGH 2011 8,Pyropia perforata,3
Fifth Beach HIGH 2011 8,Ulva lactuca,2
Fifth Beach HIGH 2011 8,Ulva linza,3
Fifth Beach HIGH 2011 9,bare rock,15
Fifth Beach HIGH 2011 9,Endocladia muricata,8
Fifth Beach HIGH 2011 9,Fucus distichus,1
Fifth Beach HIGH 2011 9,Hildenbrandia sp.,2
Fifth Beach HIGH 2011 9,Mastocarpus latissimus,0.5
Fifth Beach HIGH 2011 9,Mytilus sp.,20
