"Acrochaetium sp.","Acrosiphonia","Ahnfeltia fastigiata","Alaria marginata","Analipus japonicus","Antithamnion defectum","Antithamnionella pacifica","Bangia sp.","Blidingia","Bossiella_articulate","Bossiella_crust","Calliarthron tuberculosum","Callithamnion pikeanum","Callophyllis sp.","Ceramium codicola","Ceramium pacificum","Chaetomorpha cannabina","Chamberlainium tumidum","Chiharaea bodegensis","Chiharaea rhododactyla","Chiharaea silvae","Cladophora columbiana","Cladophora sericea","Cladophora stimpsonii","Codium fragile","Codium setchellii","Collinsiella tuberculata","Colonial Diatoms","Colpomenia bullosa","Colpomenia peregrina","Constantinea subulifera","Corallina","Costaria costata","Crusticorallina muricata","Cryptosiphonia woodii","Cumathamnion decipiens","Desmarestia aculeata","Desmarestia ligulata","Dictyosiphon foeniculaceus","Dilsea californica","Ectocarpus commensalis","Ectocarpus siliculosus","Ectocarpus sp.","Egregia menziesii","Elachista fucicola","Endocladia muricata","Erythrotrichia carnea","Farlowia mollis","Fauchea sp.","Feldmannia irregularis","Frederikia sp.","Fucus distichus","Gelidium sp.","Gloiopeltis furcata","Gracilaria pacifica","Halosaccion glandiforme","Hedophyllum nigripes","Hedophyllum sessile","Herposiphonia plumula","Hildenbrandia","Hollenbergia subulata","Hymenena","Johansenia macmillanii","Kornmannia leptoderma","Laminaria setchellii","Laminaria yezoensis","Leathesia marina","Leptofauchea sp.","Lithophyllum","Lithothamnion glaciale","Lithothamnion phymatodeum","Lomentaria hakodatensis","Macrocystis pyrifera","Mastocarpus","Mazzaella oregona","Mazzaella parksii","Mazzaella parvula","Mazzaella rigidus","Mazzaella splendens","Melanosiphon intestinalis","Melobesia sp.","Mesophyllum vancouveriense","Microcladia borealis","Monostroma grevillei","Nemalion helminthoides","Neoagarum fimbriatum","Neodilsea borealis","Neogastroclonium subarticulatum","Neopolyporolithon reclinatum","Neorhodomela aculeata","Neorhodomela larix","Neorhodomela oregona","Nereocystis luetkeana","Odonthalia floccosa","Odonthalia floccosa f. comosa","Opuntiella californica","Osmundea spectabilis","Palmaria hecatensis","Palmaria mollis","Petalonia fascia","Petrocelis","Peyssonnelia sp.","Phycodrys sp.","Phyllospadix sp.","Pleonosporium vancouverianum","Plocamium pacificum","Plocamium violaceum","Polyneura latissima","Polysiphonia","Prionitis","Pseudolithophyllum muricatum","Pterocladiella caloglossoides","Pterosiphonia dendroidea","Pterygophora californica","Ptilota","Pugetia firma","Punctaria sp.","Pylaiella littoralis","Pyropia","Ralfsioid","Rhizoclonium tortuosum","Rhodochorton purpureum","Rhodymenia sp.","Saccharina latissima","Salishia firma","Sargassum muticum","Savoiea robusta","Scagelia occidentale","Schizymenia pacifica","Scytosiphon dotyi","Scytosiphon lomentaria","Smithora naiadum","Soranthera ulvoidea","Sparlingia pertusa","Sphacelaria rigidula","Symphyocladia plumosa","Tiffaniella snyderae","Tokidadendron bullatum","Ulothrix-Urospora sp.","Ulva","Unknown CCA","Unknown crust","Unknown turf"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,75,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
0,0.5,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,12,0,1,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,26,0,1,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.5,2,0,0,0,0,0,88,0,0,0,12,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5,0,0,1,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,98,0,0,0,3,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,70,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,70,0,0,0,0.5,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.5,0,0,0
0,5,0,2,0.5,0,0,0,0,0,0,0,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,4,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,1.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,4,3,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,3.5,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.1,0,0,0,0,0,0,0,0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0
0,1,0,5,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,0,0,0,0,0,0,3.5,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0
