UID,Taxon,Abundance,taxon_revised,taxon_lumped,taxon_lumped2,taxon_lumped3,non.alga.flag,motile_sessile,Notes,kelp_fucoid_turf,littler_groups,new_cat,new_cat_simple1,new_cat_simple2,new_cat_simple3,funct_Sep2020,funct_2021,flag
Fifth Beach HIGH 2011 1,bare rock,60,bare rock,Bare rock,Bare rock,Bare rock,Substratum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fifth Beach HIGH 2011 1,Cladophora columbiana,1,Cladophora columbiana,Cladophora columbiana,Cladophora columbiana,Cladophora columbiana,Algae,sessile,NA,filament_turf,filament,green turf,green turf,turf,turf,thin_turf,thin_turf,NA
Fifth Beach HIGH 2011 1,Cryptosiphonia woodii,0.5,Cryptosiphonia woodii,Cryptosiphonia woodii,Cryptosiphonia woodii,Cryptosiphonia woodii,Algae,sessile,NA,red turf,finely branching,red turf,red turf,turf,turf,turf,turf,NA
Fifth Beach HIGH 2011 1,Endocladia muricata,2,Endocladia muricata,Endocladia muricata,Endocladia muricata,Endocladia muricata,Algae,sessile,NA,filament_turf,filament,red turf,red turf,turf,turf,thin_turf,thin_turf,NA
Fifth Beach HIGH 2011 1,Fucus distichus,5,Fucus distichus,Fucus distichus,Fucus distichus,Fucus distichus,Algae,sessile,NA,Fucoid,thick leathery,Fucus,Fucus,Fucus,Fucus,large_brown,canopy,NA
Fifth Beach HIGH 2011 1,Gloiopeltis furcata,0.5,Gloiopeltis furcata,Gloiopeltis furcata,Gloiopeltis furcata,Gloiopeltis furcata,Algae,sessile,NA,red turf,finely branching,red turf,red turf,turf,turf,thin_turf,thin_turf,NA
Fifth Beach HIGH 2011 1,Halosaccion glandiforme,2,Halosaccion glandiforme,Halosaccion glandiforme,Halosaccion glandiforme,Halosaccion glandiforme,Algae,sessile,NA,red turf,sheet,red turf,red turf,turf,turf,turf,turf,NA
Fifth Beach HIGH 2011 1,Hildenbrandia sp.,3,Hildenbrandia sp.,Hildenbrandia,Hildenbrandia,Hildenbrandia,Algae,sessile,NA,crust,crustose,fleshy crust,fleshy crust,fleshy crust,fleshy crust,crust,crust,NA
Fifth Beach HIGH 2011 1,Mastocarpus latissimus,3,Mastocarpus latissimus,Mastocarpus latissimus,Mastocarpus,Mastocarpus,Algae,sessile,REVISIT,red turf,thick leathery,red turf,red turf,turf,turf,turf,turf,NA
Fifth Beach HIGH 2011 1,Petrocelis,20,Petrocelis,Petrocelis,Petrocelis,Petrocelis,Algae,sessile,NA,crust,crustose,fleshy crust,fleshy crust,fleshy crust,fleshy crust,crust,crust,NA
Fifth Beach HIGH 2011 1,Pyropia perforata,3,Pyropia perforata,Pyropia perforata,Pyropia,Pyropia,Algae,sessile,NA,blade,sheet,red blade,blade,red blade,blade,blade,blade,NA
Fifth Beach HIGH 2011 10,bare rock,20,bare rock,Bare rock,Bare rock,Bare rock,Substratum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fifth Beach HIGH 2011 10,Callithamnion pikeanum,0.5,Callithamnion pikeanum,Callithamnion pikeanum,Callithamnion pikeanum,Callithamnion pikeanum,Algae,sessile,NA,red turf,filament,red turf,red turf,turf,turf,thin_turf,thin_turf,NA
Fifth Beach HIGH 2011 10,Corallina vancouveriensis,0.5,Corallina vancouveriensis,Corallina,Corallina,Corallina,Algae,sessile,NA,articulated coralline,jointed calcareous,articulated coralline,articulated coralline,articulated coralline,articulated coralline,turf,turf,NA
Fifth Beach HIGH 2011 10,Endocladia muricata,2,Endocladia muricata,Endocladia muricata,Endocladia muricata,Endocladia muricata,Algae,sessile,NA,filament_turf,filament,red turf,red turf,turf,turf,thin_turf,thin_turf,NA
Fifth Beach HIGH 2011 10,Hildenbrandia sp.,1,Hildenbrandia sp.,Hildenbrandia,Hildenbrandia,Hildenbrandia,Algae,sessile,NA,crust,crustose,fleshy crust,fleshy crust,fleshy crust,fleshy crust,crust,crust,NA
Fifth Beach HIGH 2011 10,Mytilus sp.,60,Mytilus sp.,Mytilus sp.,Mytilus sp.,Mytilus sp.,Animal,sessile,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fifth Beach HIGH 2011 10,Petrocelis,4,Petrocelis,Petrocelis,Petrocelis,Petrocelis,Algae,sessile,NA,crust,crustose,fleshy crust,fleshy crust,fleshy crust,fleshy crust,crust,crust,NA
Fifth Beach HIGH 2011 10,Plocamium violaceum,0.5,Plocamium violaceum,Plocamium violaceum,Plocamium violaceum,Plocamium violaceum,Algae,sessile,NA,red turf,finely branching,red turf,red turf,turf,turf,thin_turf,thin_turf,NA
Fifth Beach HIGH 2011 10,Pollicipes polymerus,8,Pollicipes polymerus,Pollicipes polymerus,Pollicipes polymerus,Pollicipes polymerus,Animal,sessile,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
