Site,FID,Shape *,Zone,ID,Site,Transect,StartEnd,UTMn,UTMe,aspect,slope
Foggy Cove,0,Point,LOW,Foggy Low 0,WB,Low,Start,5722602.173,559255.4621,298.151794,14.78549
Foggy Cove,1,Point,LOW,Foggy Low 1, , ,1,5722601.574,559254.6613,203.453323,15.331862
Foggy Cove,2,Point,LOW,Foggy Low 2, , ,2,5722600.975,559253.8604,84.927895,2.463963
Foggy Cove,3,Point,LOW,Foggy Low 3, , ,3,5722600.376,559253.0595,287.630371,5.640556
Foggy Cove,4,Point,LOW,Foggy Low 4, , ,4,5722599.777,559252.2586,30.8953,9.456332
Foggy Cove,5,Point,LOW,Foggy Low 5, , ,5,5722599.178,559251.4578,110.739395,2.10438
Foggy Cove,6,Point,LOW,Foggy Low 6, , ,6,5722598.58,559250.6569,230.351761,15.460656
Foggy Cove,7,Point,LOW,Foggy Low 7, , ,7,5722597.981,559249.856,98.578987,5.906125
Foggy Cove,8,Point,LOW,Foggy Low 8, , ,8,5722597.382,559249.0552,171.408432,20.801287
Foggy Cove,9,Point,LOW,Foggy Low 9, , ,9,5722596.783,559248.2543,329.087646,31.40803
Foggy Cove,10,Point,LOW,Foggy Low 10, , ,10,5722596.184,559247.4534,9.067851,19.827084
Foggy Cove,11,Point,LOW,Foggy Low 11, , ,11,5722595.585,559246.6525,230.167984,10.984259
Foggy Cove,12,Point,LOW,Foggy Low 12, , ,12,5722594.987,559245.8517,123.09021,6.680324
Foggy Cove,13,Point,LOW,Foggy Low 13, , ,13,5722594.388,559245.0508,157.901855,29.765049
Foggy Cove,14,Point,LOW,Foggy Low 14, , ,14,5722593.789,559244.2499,95.238358,16.162989
Foggy Cove,15,Point,LOW,Foggy Low 15, , ,15,5722593.19,559243.449,288.31192,14.031261
Foggy Cove,16,Point,LOW,Foggy Low 16, , ,16,5722592.591,559242.6482,68.37149,8.380875
Foggy Cove,17,Point,LOW,Foggy Low 17, , ,17,5722591.992,559241.8473,195.254517,2.82278
Foggy Cove,18,Point,LOW,Foggy Low 18, , ,18,5722591.393,559241.0464,295.687042,1.348094
Foggy Cove,19,Point,LOW,Foggy Low 19, , ,19,5722590.795,559240.2456,95.377083,1.575623
Foggy Cove,20,Point,LOW,Foggy Low 20, , ,20,5722590.196,559239.4447,153.539063,5.136876
Foggy Cove,21,Point,LOW,Foggy Low 21, , ,21,5722589.597,559238.6438,23.914927,2.247538
Foggy Cove,22,Point,LOW,Foggy Low 22, , ,22,5722588.998,559237.8429,55.163197,5.831854
Foggy Cove,23,Point,LOW,Foggy Low 23, , ,23,5722588.399,559237.0421,82.949821,5.583838
Foggy Cove,24,Point,LOW,Foggy Low 24, , ,24,5722587.8,559236.2412,257.130005,33.212337
Foggy Cove,25,Point,LOW,Foggy Low 25, , ,25,5722587.202,559235.4403,18.75519,4.386249
Foggy Cove,26,Point,LOW,Foggy Low 26, , ,26,5722586.603,559234.6394,92.379425,20.675018
Foggy Cove,27,Point,LOW,Foggy Low 27, , ,27,5722586.004,559233.8386,34.714027,28.303629
Foggy Cove,28,Point,LOW,Foggy Low 28, , ,28,5722585.405,559233.0377,268.701935,47.378155
Foggy Cove,29,Point,LOW,Foggy Low 29, , ,29,5722584.806,559232.2368,214.081451,3.168575
Foggy Cove,30,Point,LOW,Foggy Low 30, , ,30,5722584.207,559231.436,28.190788,35.292564
Foggy Cove,31,Point,LOW,Foggy Low 31, , ,31,5722583.609,559230.6351,279.682861,6.592674
Foggy Cove,32,Point,LOW,Foggy Low 32, , ,32,5722583.01,559229.8342,100.055519,7.762266
Foggy Cove,33,Point,LOW,Foggy Low 33, , ,33,5722582.411,559229.0333,233.82666,13.750577
Foggy Cove,34,Point,LOW,Foggy Low 34, , ,34,5722581.812,559228.2325,86.933517,0.232074
Foggy Cove,35,Point,LOW,Foggy Low 35, , ,35,5722581.213,559227.4316,160.499756,10.190781
Foggy Cove,36,Point,LOW,Foggy Low 36.5,WB,Low,End,5722580.629,559226.6504,16.376152,8.873991
Foggy Cove,37,Point,MID,Foggy Mid 0,WB,Mid,Start,5722590.849,559275.6088,279.211456,61.675919
Foggy Cove,38,Point,MID,Foggy Mid 1, , ,1,5722590.249,559274.8085,178.378784,48.077354
Foggy Cove,39,Point,MID,Foggy Mid 2, , ,2,5722589.65,559274.0083,291.95813,5.299176
Foggy Cove,40,Point,MID,Foggy Mid 3, , ,3,5722589.05,559273.208,28.806759,6.786326
Foggy Cove,41,Point,MID,Foggy Mid 4, , ,4,5722588.45,559272.4077,239.953064,1.431414
Foggy Cove,42,Point,MID,Foggy Mid 5, , ,5,5722587.851,559271.6075,141.450745,66.722321
Foggy Cove,43,Point,MID,Foggy Mid 6, , ,6,5722587.251,559270.8072,151.69223,1.951097
Foggy Cove,44,Point,MID,Foggy Mid 7, , ,7,5722586.651,559270.0069,288.191254,58.505611
Foggy Cove,45,Point,MID,Foggy Mid 8, , ,8,5722586.052,559269.2067,2.831632,19.443579
Foggy Cove,46,Point,MID,Foggy Mid 9, , ,9,5722585.452,559268.4064,194.333191,44.98838
Foggy Cove,47,Point,MID,Foggy Mid 10, , ,10,5722584.853,559267.6061,315.113434,38.59684
Foggy Cove,48,Point,MID,Foggy Mid 11, , ,11,5722584.253,559266.8059,47.003376,13.758829
Foggy Cove,49,Point,MID,Foggy Mid 12, , ,12,5722583.653,559266.0056,269.351105,21.609163
Foggy Cove,50,Point,MID,Foggy Mid 13, , ,13,5722583.054,559265.2053,307.371246,39.129662
Foggy Cove,51,Point,MID,Foggy Mid 14, , ,14,5722582.454,559264.4051,176.006546,12.244816
Foggy Cove,52,Point,MID,Foggy Mid 15, , ,15,5722581.854,559263.6048,152.557968,15.544673
Foggy Cove,53,Point,MID,Foggy Mid 16, , ,16,5722581.255,559262.8045,25.546579,9.557596
Foggy Cove,54,Point,MID,Foggy Mid 17, , ,17,5722580.655,559262.0043,299.865051,16.454071
Foggy Cove,55,Point,MID,Foggy Mid 18, , ,18,5722580.055,559261.204,213.086609,16.962646
Foggy Cove,56,Point,MID,Foggy Mid 19, , ,19,5722579.456,559260.4038,357.556152,6.06758
Foggy Cove,57,Point,MID,Foggy Mid 20, , ,20,5722578.856,559259.6035,313.874329,14.648171
Foggy Cove,58,Point,MID,Foggy Mid 21, , ,21,5722578.256,559258.8032,48.53709,10.006668
Foggy Cove,59,Point,MID,Foggy Mid 22, , ,22,5722577.657,559258.003,310.5961,5.494392
Foggy Cove,60,Point,MID,Foggy Mid 23, , ,23,5722577.057,559257.2027,67.049232,9.741096
Foggy Cove,61,Point,MID,Foggy Mid 24, , ,24,5722576.457,559256.4024,310.471893,1.49684
Foggy Cove,62,Point,MID,Foggy Mid 25, , ,25,5722575.858,559255.6022,357.937836,1.088635
Foggy Cove,63,Point,MID,Foggy Mid 26, , ,26,5722575.258,559254.8019,357.153809,41.032684
Foggy Cove,64,Point,MID,Foggy Mid 27, , ,27,5722574.659,559254.0016,314.43631,15.835861
