"Station Name","ADDENBROKE ISLAND"
"Province","BRITISH COLUMBIA"
"Latitude","51.60"
"Longitude","-127.86"
"Elevation","21.30"
"Climate Identifier","1060080"
"WMO Identifier",""
"TC Identifier","WCZ"

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2005-01-01","2005","01","01","","3.5","","-2.5","","0.5","","17.5","","0.0","","0.0","","0.0","","0.0","","4","","","","",""
"2005-01-02","2005","01","02","","3.0","","-2.0","","0.5","","17.5","","0.0","","0.0","","0.0","","0.0","","2","","","","",""
"2005-01-03","2005","01","03","","3.0","","-3.0","","0.0","","18.0","","0.0","","0.0","","0.0","","0.0","","2","","","","",""
"2005-01-04","2005","01","04","","3.5","","-2.5","","0.5","","17.5","","0.0","","0.0","","0.0","","0.0","","1","","","","",""
"2005-01-05","2005","01","05","","5.5","","-1.0","","2.3","","15.7","","0.0","","1.0","","0.0","","1.0","","0","","","","",""
"2005-01-06","2005","01","06","","5.0","","1.0","","3.0","","15.0","","0.0","","0.2","","0.0","","0.2","","0","","","","",""
"2005-01-07","2005","01","07","","4.5","","-1.0","","1.8","","16.2","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2005-01-08","2005","01","08","","2.0","","-0.5","","0.8","","17.2","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2005-01-09","2005","01","09","","3.0","","-2.5","","0.3","","17.7","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2005-01-10","2005","01","10","","4.0","","-1.5","","1.3","","16.7","","0.0","","1.0","","0.0","T","1.0","","0","","","","",""
"2005-01-11","2005","01","11","","6.5","","0.0","","3.3","","14.7","","0.0","","12.4","","0.0","","12.4","","0","","","","",""
"2005-01-12","2005","01","12","","1.0","","-1.0","","0.0","","18.0","","0.0","","0.0","","0.0","T","0.0","T","0","","","","",""
"2005-01-13","2005","01","13","","0.0","","-5.0","","-2.5","","20.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2005-01-14","2005","01","14","","2.5","","-5.5","","-1.5","","19.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2005-01-15","2005","01","15","","5.0","","-4.0","","0.5","","17.5","","0.0","","12.4","","0.0","T","12.4","","0","","","","",""
"2005-01-16","2005","01","16","","12.0","","1.0","","6.5","","11.5","","0.0","","7.2","","0.0","","7.2","","0","","","","",""
"2005-01-17","2005","01","17","","9.5","","7.0","","8.3","","9.7","","0.0","","19.2","","0.0","","19.2","","0","","","","",""
"2005-01-18","2005","01","18","","10.5","","7.5","","9.0","","9.0","","0.0","","46.2","","0.0","","46.2","","0","","","","",""
"2005-01-19","2005","01","19","","9.5","","7.0","","8.3","","9.7","","0.0","","39.2","","0.0","","39.2","","0","","","","",""
"2005-01-20","2005","01","20","","10.0","","6.5","","8.3","","9.7","","0.0","","17.2","","0.0","","17.2","","0","","","","",""
"2005-01-21","2005","01","21","","12.5","","8.0","","10.3","","7.7","","0.0","","8.8","","0.0","","8.8","","0","","","","",""
"2005-01-22","2005","01","22","","12.0","","7.5","","9.8","","8.2","","0.0","","41.4","","0.0","","41.4","","0","","","","",""
"2005-01-23","2005","01","23","","11.5","","8.0","","9.8","","8.2","","0.0","","55.2","","0.0","","55.2","","0","","","","",""
