event_pk,Replicate Number,Date,Work Area,Organization,Survey,Sampling Bout,Site ID,Project Specific ID,Hakai ID,Source,Lat,Long,Gather Lat,Gather Long,Collection Method,Line Out Depth,Pressure Transducer Depth (m),Filter Type,Volume (ml),Installed,Collected,Preserved,Analyzed,Lab Technician,NH4+,NO2+NO3 (uM),PO4,SiO2,PO4 Flag,SiO2 Flag,Analyzing Lab,Quality Log,no2_no3_units,Sample Status,Quality Level
7308,1,2013-05-31,CALVERT,HAKAI,KWAK,1,QCS01,365,NUT365,M,51.705,-128.2384,,,,5,,0.45nm,13,,2013-05-31 11:10:00,2013-05-31 00:00:00,,,,0.018,0.061,0.684,,,UBC,1: Metadata has been QCd by BF,uM,Results,Technicianm
7308,2,2013-05-31,CALVERT,HAKAI,KWAK,1,QCS01,366,NUT366,M,51.705,-128.2384,,,,5,,0.45nm,13,,2013-05-31 11:10:00,2013-05-31 00:00:00,,,,,,,,,,"1: Metadata has been QCd by BF | sample was taken as a backup. Once the results were returned and checked, the backup was not run",,Not Available,Technicianm
7308,1,2013-05-31,CALVERT,HAKAI,KWAK,1,QCS01,367,NUT367,M,51.705,-128.2384,,,,30,,0.45nm,13,,2013-05-31 11:10:00,2013-05-31 00:00:00,,,,,,,,,,"1: Metadata has been QCd by BF2: Metadata has been QCd by BF3: Sample not found when this batch sent for analysis",,Not Available,Technicianm
7308,2,2013-05-31,CALVERT,HAKAI,KWAK,1,QCS01,368,NUT368,M,51.705,-128.2384,,,,30,,0.45nm,13,,2013-05-31 11:10:00,2013-05-31 00:00:00,,,,,,,,,,"1: Metadata has been QCd by BF2: Metadata has been QCd by BF3: Sample not found when this batch sent for analysis",,Not Available,Technicianm
7362,1,2013-06-21,CALVERT,HAKAI,"KWAK,QCS",1,QCS01,485,NUT485,M,51.705,-128.2384,,,,5,,0.45nm,13,,2013-06-21 10:18:00,2013-06-21 00:00:00,,,,,,,,,,"1: Metadata has been QCd by BF | sample was taken as a backup. Once the results were returned and checked, the backup was not run",,Not Available,Technicianm
7362,2,2013-06-21,CALVERT,HAKAI,"KWAK,QCS",1,QCS01,486,NUT486,M,51.705,-128.2384,,,,5,,0.45nm,13,,2013-06-21 10:18:00,2013-06-21 00:00:00,,,,0,0.239,2.175,,,UBC,1: Metadata has been QCd by BF,uM,Results,Technicianm
7362,1,2013-06-21,CALVERT,HAKAI,"KWAK,QCS",1,QCS01,487,NUT487,M,51.705,-128.2384,,,,30,,0.45nm,13,,2013-06-21 10:18:00,2013-06-21 00:00:00,,,,2.578,0.599,10.966,,,UBC,1: Metadata has been QCd by BF,uM,Results,Technicianm
7362,2,2013-06-21,CALVERT,HAKAI,"KWAK,QCS",1,QCS01,488,NUT488,M,51.705,-128.2384,,,,30,,0.45nm,13,,2013-06-21 10:18:00,2013-06-21 00:00:00,,,,,,,,,,"1: Metadata has been QCd by BF | sample was taken as a backup. Once the results were returned and checked, the backup was not run",,Not Available,Technicianm
7377,1,2013-06-30,CALVERT,HAKAI,"QCS,KWAK",1,QCS01,545,DUP005,M,51.705,-128.2384,,,,5,,0.45nm,13,,2013-06-30 10:15:00,2013-06-30 00:00:00,,,,4.843,0.643,13.518,see,see,UBC,"1: Duplicate tube number. Results to be reviewed2: Metadata has been QCd by BF | the ID that was originally recorded for this sample is in the ""project specific ID"" column, this ID is not being used because it was a duplicate. Results may be available but must be reviewed individually as the result may not actually be for this sample3: Metadata has been QCd by BF | the ID that was originally recorded for this sample is in the ""project specific ID"" column, this ID is not being used because it was a duplicate. Results may be available but must be reviewed individually as the result may not actually be for this sample",uM,Results,Technicianm
7377,2,2013-06-30,CALVERT,HAKAI,"QCS,KWAK",1,QCS01,546,DUP006,M,51.705,-128.2384,,,,5,,0.45nm,13,,2013-06-30 10:15:00,2013-06-30 00:00:00,,,,4.899,0.778,13.697,see,see,UBC,"1: Duplicate tube number. Results to be reviewed2: Metadata has been QCd by BF | the ID that was originally recorded for this sample is in the ""project specific ID"" column, this ID is not being used because it was a duplicate. Results may be available but must be reviewed individually as the result may not actually be for this sample3: Metadata has been QCd by BF | the ID that was originally recorded for this sample is in the ""project specific ID"" column, this ID is not being used because it was a duplicate. Results may be available but must be reviewed individually as the result may not actually be for this sample",uM,Results,Technicianm
