Title:,"Time Series, Area-Averaged of Chlorophyll a concentration 8-daily 4 km [MODIS-Aqua MODISA_L3m_CHL_8d_4km ()"
User Start Date:,2012-01-01T00:00:00Z
User End Date:,2022-02-01T23:59:59Z
User Bounding Box:,"-128.3368,51.5757,-128.2159,51.7075"
Data Bounding Box:,"-128.312,51.6042,-128.229,51.6875"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2012-01-01T00:00:00Z&endtime=2022-02-01T23:59:59Z&bbox=-128.3368,51.5757,-128.2159,51.7075&data=MODISA_L3m_CHL_8d_4km_2018_chlor_a%2CMODISA_L3m_CHL_2018_chlor_a&portal=GIOVANNI&format=json"
Fill Value (mean_MODISA_L3m_CHL_8d_4km_2018_chlor_a):, -32767

time, mean_MODISA_L3m_CHL_8d_4km_2018_chlor_a
2012-01-01 00:00:00,-32767
2012-01-09 00:10:01,-32767
2012-01-17 00:00:00,-32767
2012-01-25 00:10:01,-32767
2012-02-02 00:00:00,21.3017941
2012-02-10 00:10:00,-32767
2012-02-18 00:00:00,0.676220477
2012-02-26 00:10:01,-32767
2012-03-05 00:00:00,0.884575605
2012-03-13 00:10:01,-32767
2012-03-21 00:00:00,0.969510913
2012-03-29 00:15:01,0.92368257
2012-04-06 00:00:01,1.56715596
2012-04-14 00:40:00,1.09569228
2012-04-22 00:00:01,1.18367171
2012-04-30 00:40:00,3.87593985
2012-05-08 00:00:01,9.32560444
2012-05-16 00:40:00,5.86204672
2012-05-24 00:00:01,8.96650887
2012-06-01 00:40:01,2.58250856
2012-06-09 00:00:01,1.54892683
2012-06-17 00:40:01,0.913567424
2012-06-25 00:00:01,-32767
2012-07-03 00:40:00,3.03577304
2012-07-11 00:00:01,5.93183851
2012-07-19 00:40:00,3.6638763
2012-07-27 00:00:01,1.44600487
2012-08-04 00:40:01,5.50363398
2012-08-12 00:00:01,1.20155334
2012-08-20 00:40:01,1.10580385
2012-08-28 00:00:01,4.0374217
2012-09-05 00:15:00,14.1925879
2012-09-13 00:00:01,12.6236353
2012-09-21 00:10:00,6.26124763
2012-09-29 00:00:01,5.64578724
2012-10-07 00:10:00,-32767
2012-10-15 00:00:01,-32767
2012-10-23 00:10:00,5.79748249
2012-10-31 00:00:01,-32767
2012-11-08 00:10:00,25.475996
2012-11-16 00:00:01,-32767
2012-11-24 00:10:01,-32767
2012-12-02 00:00:01,-32767
2012-12-10 00:10:01,-32767
2012-12-18 00:00:01,-32767
2012-12-26 00:10:01,-32767
2013-01-01 00:10:01,-32767
2013-01-09 00:25:01,-32767
2013-01-17 00:10:01,-32767
2013-01-25 00:25:01,-32767
2013-02-02 00:10:01,1.19733465
2013-02-10 00:25:01,-32767
2013-02-18 00:10:01,4.23926401
2013-02-26 00:25:01,0.904727399
2013-03-06 00:10:01,4.92031765
2013-03-14 00:25:01,1.32590342
2013-03-22 00:10:01,42.5095558
2013-03-30 00:25:01,12.4573975
2013-04-07 00:10:01,4.06640387
2013-04-15 00:50:01,19.2833443
2013-04-23 00:10:01,39.8197212
2013-05-01 00:50:01,7.71787691
2013-05-09 00:10:01,-32767
2013-05-17 00:50:01,6.531075
2013-05-25 00:10:01,-32767
2013-06-02 00:50:01,7.64973259
2013-06-10 00:10:01,-32767
2013-06-18 00:50:01,1.38834143
2013-06-26 00:10:01,3.4028182
2013-07-04 00:50:01,11.0661907
2013-07-12 00:10:01,3.77684331
2013-07-20 00:50:01,3.7515192
2013-07-28 00:10:01,7.1270256
2013-08-05 00:50:01,-32767
2013-08-13 00:10:01,2.08894444
2013-08-21 00:50:01,-32767
2013-08-29 00:10:00,-32767
2013-09-06 00:25:01,6.50996304
2013-09-14 00:10:00,-32767
2013-09-22 00:25:01,2.32825112
2013-09-30 00:10:00,0.745572269
2013-10-08 00:25:01,1.15117252
2013-10-16 00:10:00,3.6204133
2013-10-24 00:25:01,10.1011133
2013-11-01 00:10:00,1.80725634
2013-11-09 00:25:00,-32767
2013-11-17 00:10:01,-32767
2013-11-25 00:25:00,-32767
2013-12-03 00:10:01,-32767
2013-12-11 00:25:01,-32767
2013-12-19 00:10:01,-32767
2013-12-27 00:25:01,-32767
2014-01-01 00:45:01,-32767
2014-01-09 00:25:00,-32767
2014-01-17 00:45:01,-32767
2014-01-25 00:25:00,11.8057308
2014-02-02 00:45:01,8.26241398
2014-02-10 00:25:01,-32767
2014-02-18 00:45:00,0.951479971
2014-02-26 00:25:01,1.38564336
2014-03-06 00:45:01,0.496113449
2014-03-14 00:25:01,0.586067379
2014-03-22 00:45:01,0.76817143
2014-03-30 00:25:00,1.04284072
2014-04-07 00:45:01,0.85978204
2014-04-15 00:25:00,0.755580246
2014-04-23 01:00:01,1.40432012
2014-05-01 00:25:00,15.9635324
2014-05-09 01:00:01,4.00233078
2014-05-17 00:25:00,1.40079284
2014-05-25 01:00:01,5.3987875
2014-06-02 00:25:00,14.8505297
2014-06-10 01:00:01,7.79598761
2014-06-18 00:25:00,3.52409029
2014-06-26 01:00:01,0.675023556
2014-07-04 00:25:00,1.69562483
2014-07-12 01:00:01,0.983658552
2014-07-20 00:25:00,1.29092479
2014-07-28 01:00:01,1.76500356
2014-08-05 00:25:00,1.89271235
2014-08-13 01:00:01,2.05296302
2014-08-21 00:25:00,2.21788073
2014-08-29 00:45:01,1.8662957
2014-09-06 00:25:01,3.52729034
2014-09-14 00:45:01,7.22201157
2014-09-22 00:25:01,1.46370351
2014-09-30 00:45:01,-32767
2014-10-08 00:25:01,-32767
2014-10-16 00:45:01,-32767
2014-10-24 00:25:01,18.5937004
2014-11-01 00:45:01,-32767
2014-11-09 00:25:00,7.55394793
2014-11-17 00:45:01,-32767
2014-11-25 00:25:00,-32767
2014-12-03 00:45:01,-32767
2014-12-11 00:25:00,-32767
2014-12-19 00:45:00,-32767
2014-12-27 00:25:01,-32767
2015-01-01 00:10:01,-32767
2015-01-09 00:00:01,-32767
2015-01-17 00:10:01,-32767
2015-01-25 00:00:01,-32767
2015-02-02 00:10:01,-32767
2015-02-10 00:00:01,14.7704153
2015-02-18 00:10:01,2.60842896
2015-02-26 00:00:01,-32767
2015-03-06 00:10:01,-32767
2015-03-14 00:00:01,11.1537571
2015-03-22 00:10:01,-32767
2015-03-30 00:00:01,3.25776863
2015-04-07 00:15:01,23.3881035
2015-04-15 00:00:01,10.6642008
2015-04-23 00:40:00,8.25504589
2015-05-01 00:00:01,3.50624704
2015-05-09 00:40:00,-32767
2015-05-17 00:00:01,-32767
2015-05-25 00:40:00,-32767
2015-06-02 00:00:01,6.30696726
2015-06-10 00:40:00,9.21918964
2015-06-18 00:00:01,1.31373465
2015-06-26 00:40:00,6.83592844
2015-07-04 00:00:00,6.14642382
2015-07-12 00:40:01,3.03202105
2015-07-20 00:00:00,1.81671894
2015-07-28 00:40:01,4.68742847
2015-08-05 00:00:00,2.07710719
2015-08-13 00:40:00,5.04430056
2015-08-21 00:00:00,2.96904874
2015-08-29 00:40:00,1.61724102
2015-09-06 00:00:01,2.07479835
2015-09-14 00:10:01,3.05655742
2015-09-22 00:00:01,0.549732983
2015-09-30 00:10:01,4.89677572
2015-10-08 00:00:01,1.3116082
2015-10-16 00:10:01,-32767
2015-10-24 00:00:01,2.15589046
2015-11-01 00:10:01,0.649653137
2015-11-09 00:00:00,-32767
2015-11-17 00:10:01,-32767
2015-11-25 00:00:00,-32767
2015-12-03 00:10:00,-32767
2015-12-11 00:00:01,-32767
2015-12-19 00:10:01,-32767
2015-12-27 00:00:01,-32767
2016-01-01 00:15:01,-32767
2016-01-09 00:30:01,-32767
2016-01-17 00:15:00,-32767
2016-01-25 00:30:01,-32767
2016-02-02 00:15:00,2.02011085
2016-02-10 00:30:01,-32767
2016-02-18 00:15:01,0.74037683
2016-02-26 00:30:00,3.26124549
