"Station Name","ADDENBROKE ISLAND"
"Province","BRITISH COLUMBIA"
"Latitude","51.60"
"Longitude","-127.86"
"Elevation","21.30"
"Climate Identifier","1060080"
"WMO Identifier",""
"TC Identifier","WCZ"

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1991-01-01","1991","01","01","","2.5","","1.0","","1.8","","16.2","","0.0","","0.8","","0.0","T","0.8","","12","","","","",""
"1991-01-02","1991","01","02","","2.0","","-1.5","","0.3","","17.7","","0.0","","0.0","","0.0","","0.0","","9","","","","",""
"1991-01-03","1991","01","03","","2.0","","-1.5","","0.3","","17.7","","0.0","","0.0","","0.0","","0.0","","9","","","","",""
"1991-01-04","1991","01","04","","0.0","","-4.0","","-2.0","","20.0","","0.0","","0.0","","0.0","","0.0","","8","","","","",""
"1991-01-05","1991","01","05","","-0.5","","-6.0","","-3.3","","21.3","","0.0","","0.0","","0.0","","0.0","","8","","","","",""
"1991-01-06","1991","01","06","","-0.5","","-3.0","","-1.8","","19.8","","0.0","","0.0","","0.0","","0.0","","8","","","","",""
"1991-01-07","1991","01","07","","0.5","","-2.0","","-0.8","","18.8","","0.0","","0.0","","0.0","T","0.0","T","7","","","","",""
"1991-01-08","1991","01","08","","0.5","","-1.5","","-0.5","","18.5","","0.0","","0.0","","0.0","T","0.0","T","7","","","","",""
"1991-01-09","1991","01","09","","2.0","","-1.0","","0.5","","17.5","","0.0","","0.0","","0.0","","0.0","","7","","","","",""
"1991-01-10","1991","01","10","","7.0","","-1.0","","3.0","","15.0","","0.0","","3.8","","0.0","","3.8","","7","","","","",""
"1991-01-11","1991","01","11","","11.0","","3.0","","7.0","","11.0","","0.0","","20.4","","0.0","","20.4","","6","","","","",""
"1991-01-12","1991","01","12","","8.0","","5.5","","6.8","","11.2","","0.0","","95.6","","0.0","","95.6","","0","","","","",""
"1991-01-13","1991","01","13","","7.5","","6.0","","6.8","","11.2","","0.0","","18.6","","0.0","","18.6","","0","","","","",""
"1991-01-14","1991","01","14","","8.0","","4.5","","6.3","","11.7","","0.0","","34.8","","0.0","","34.8","","0","","","","",""
"1991-01-15","1991","01","15","","7.0","","4.5","","5.8","","12.2","","0.0","","28.8","","0.0","","28.8","","0","","","","",""
"1991-01-16","1991","01","16","","9.5","","5.0","","7.3","","10.7","","0.0","","53.2","","0.0","","53.2","","0","","","","",""
"1991-01-17","1991","01","17","","9.0","","6.0","","7.5","","10.5","","0.0","","32.6","","0.0","","32.6","","0","","","","",""
"1991-01-18","1991","01","18","","5.5","","2.0","","3.8","","14.2","","0.0","","0.4","","0.0","","0.4","","0","","","","",""
"1991-01-19","1991","01","19","","5.0","","1.0","","3.0","","15.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"1991-01-20","1991","01","20","","6.5","","0.0","","3.3","","14.7","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"1991-01-21","1991","01","21","","5.5","","1.0","","3.3","","14.7","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"1991-01-22","1991","01","22","","3.5","","1.0","","2.3","","15.7","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"1991-01-23","1991","01","23","","4.0","","1.5","","2.8","","15.2","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"1991-01-24","1991","01","24","","6.0","","-1.0","","2.5","","15.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"1991-01-25","1991","01","25","","7.0","","-0.5","","3.3","","14.7","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"1991-01-26","1991","01","26","","5.0","","-1.5","","1.8","","16.2","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"1991-01-27","1991","01","27","","3.5","","-1.0","","1.3","","16.7","","0.0","","0.0","","0.0","T","0.0","T","0","","","","",""
"1991-01-28","1991","01","28","","4.5","","-1.5","","1.5","","16.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"1991-01-29","1991","01","29","","4.0","","1.0","","2.5","","15.5","","0.0","","0.0","T","0.0","","0.0","T","0","","","","",""
"1991-01-30","1991","01","30","","8.0","","2.5","","5.3","","12.7","","0.0","","7.2","","0.0","","7.2","","0","","","","",""
"1991-01-31","1991","01","31","","12.5","","3.0","","7.8","","10.2","","0.0","","19.0","","0.0","","19.0","","0","","","","",""
"1991-02-01","1991","02","01","","10.0","","7.0","","8.5","","9.5","","0.0","","57.8","","0.0","","57.8","","0","","","","",""
"1991-02-02","1991","02","02","","9.5","","4.5","","7.0","","11.0","","0.0","","24.8","","0.0","","24.8","","0","","","","",""
"1991-02-03","1991","02","03","","11.0","","2.5","","6.8","","11.2","","0.0","","8.8","","0.0","","8.8","","0","","","","",""
"1991-02-04","1991","02","04","","10.0","","6.0","","8.0","","10.0","","0.0","","41.0","","0.0","","41.0","","0","","","","",""
"1991-02-05","1991","02","05","","10.0","","2.5","","6.3","","11.7","","0.0","","5.0","","0.0","","5.0","","0","","","","",""
"1991-02-06","1991","02","06","","11.0","","6.5","","8.8","","9.2","","0.0","","8.2","","0.0","","8.2","","0","","","","",""
"1991-02-07","1991","02","07","","6.0","","3.5","","4.8","","13.2","","0.0","","0.6","","0.0","","0.6","","0","","","","",""
"1991-02-08","1991","02","08","","7.5","","0.5","","4.0","","14.0","","0.0","","1.6","","0.0","","1.6","","0","","","","",""
"1991-02-09","1991","02","09","","9.5","","4.5","","7.0","","11.0","","0.0","","3.6","","0.0","","3.6","","0","","","","",""
"1991-02-10","1991","02","10","","11.0","","6.5","","8.8","","9.2","","0.0","","4.0","","0.0","","4.0","","0","","","","",""
"1991-02-11","1991","02","11","","7.5","","5.5","","6.5","","11.5","","0.0","","4.4","","0.0","","4.4","","0","","","","",""
"1991-02-12","1991","02","12","","9.0","","5.0","","7.0","","11.0","","0.0","","0.6","","0.0","","0.6","","0","","","","",""
"1991-02-13","1991","02","13","","9.5","","4.0","","6.8","","11.2","","0.0","","32.4","","0.0","","32.4","","0","","","","",""
"1991-02-14","1991","02","14","","11.0","","6.5","","8.8","","9.2","","0.0","","38.2","","0.0","","38.2","","0","","","","",""
"1991-02-15","1991","02","15","","9.5","","6.0","","7.8","","10.2","","0.0","","2.8","","0.0","","2.8","","0","","","","",""
"1991-02-16","1991","02","16","","6.0","","4.0","","5.0","","13.0","","0.0","","12.0","","0.0","","12.0","","0","","","","",""
"1991-02-17","1991","02","17","","6.5","","3.0","","4.8","","13.2","","0.0","","0.8","","0.0","","0.8","","0","","","","",""
"1991-02-18","1991","02","18","","8.0","","3.0","","5.5","","12.5","","0.0","","50.2","","0.0","","50.2","","0","","","","",""
"1991-02-19","1991","02","19","","7.0","","5.5","","6.3","","11.7","","0.0","","32.6","","0.0","","32.6","","0","","","","",""
"1991-02-20","1991","02","20","","5.0","","2.0","","3.5","","14.5","","0.0","","7.0","","0.0","","7.0","","0","","","","",""
"1991-02-21","1991","02","21","","5.5","","2.0","","3.8","","14.2","","0.0","","5.6","","0.0","","5.6","","0","","","","",""
"1991-02-22","1991","02","22","","8.0","","4.0","","6.0","","12.0","","0.0","","1.2","","0.0","","1.2","","0","","","","",""
"1991-02-23","1991","02","23","","7.5","","2.5","","5.0","","13.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"1991-02-24","1991","02","24","","7.0","","2.5","","4.8","","13.2","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"1991-02-25","1991","02","25","","10.5","","3.5","","7.0","","11.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"1991-02-26","1991","02","26","","11.5","","4.0","","7.8","","10.2","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"1991-02-27","1991","02","27","","11.5","","3.0","","7.3","","10.7","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"1991-02-28","1991","02","28","","9.5","","4.0","","6.8","","11.2","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"1991-03-01","1991","03","01","","0.5","","-3.5","","-1.5","","19.5","","0.0","","0.0","","1.0","","1.0","","0","","","","",""
"1991-03-02","1991","03","02","","2.5","","-1.5","","0.5","","17.5","","0.0","","0.0","","16.0","","16.0","","1","","","","",""
"1991-03-03","1991","03","03","","2.5","","-2.0","","0.3","","17.7","","0.0","","0.0","","0.0","","0.0","","14","","","","",""
"1991-03-04","1991","03","04","","4.0","","-2.5","","0.8","","17.2","","0.0","","0.0","","0.0","","0.0","","10","","","","",""
"1991-03-05","1991","03","05","","2.0","","-1.5","","0.3","","17.7","","0.0","","1.4","","9.2","","10.6","","9","","","","",""
"1991-03-06","1991","03","06","","5.5","","0.5","","3.0","","15.0","","0.0","","3.8","","0.0","","3.8","","10","","","","",""
"1991-03-07","1991","03","07","","7.0","","2.5","","4.8","","13.2","","0.0","","0.6","","0.0","","0.6","","3","","","","",""
"1991-03-08","1991","03","08","","5.5","","0.5","","3.0","","15.0","","0.0","","26.2","","2.0","","28.2","","0","","","","",""
"1991-03-09","1991","03","09","","5.5","","0.0","","2.8","","15.2","","0.0","","12.2","","1.0","","13.2","","2","","","","",""
"1991-03-10","1991","03","10","","5.0","","0.5","","2.8","","15.2","","0.0","","10.6","","3.2","","13.8","","1","","","","",""
"1991-03-11","1991","03","11","","4.5","","0.5","","2.5","","15.5","","0.0","","0.8","","1.0","","1.8","","1","","","","",""
"1991-03-12","1991","03","12","","6.0","","0.0","","3.0","","15.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"1991-03-13","1991","03","13","","6.0","","-1.0","","2.5","","15.5","","0.0","","13.6","","0.0","","13.6","","0","","","","",""
"1991-03-14","1991","03","14","","8.5","","2.0","","5.3","","12.7","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"1991-03-15","1991","03","15","","9.0","","1.5","","5.3","","12.7","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"1991-03-16","1991","03","16","","10.5","","5.0","","7.8","","10.2","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"1991-03-17","1991","03","17","","11.0","","2.5","","6.8","","11.2","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"1991-03-18","1991","03","18","","12.0","","2.0","","7.0","","11.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"1991-03-19","1991","03","19","","8.0","","3.5","","5.8","","12.2","","0.0","","4.8","","0.0","","4.8","","0","","","","",""
"1991-03-20","1991","03","20","","7.0","","4.0","","5.5","","12.5","","0.0","","9.4","","0.0","","9.4","","0","","","","",""
"1991-03-21","1991","03","21","","7.5","","2.5","","5.0","","13.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"1991-03-22","1991","03","22","","8.5","","0.5","","4.5","","13.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"1991-03-23","1991","03","23","","10.0","","1.0","","5.5","","12.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"1991-03-24","1991","03","24","","10.0","","3.0","","6.5","","11.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"1991-03-25","1991","03","25","","8.5","","5.0","","6.8","","11.2","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"1991-03-26","1991","03","26","","9.0","","2.0","","5.5","","12.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"1991-03-27","1991","03","27","","7.5","","2.5","","5.0","","13.0","","0.0","","14.6","","0.0","","14.6","","0","","","","",""
"1991-03-28","1991","03","28","","8.0","","3.5","","5.8","","12.2","","0.0","","17.0","","0.0","","17.0","","0","","","","",""
"1991-03-29","1991","03","29","","6.5","","3.5","","5.0","","13.0","","0.0","","73.2","","0.0","","73.2","","0","","","","",""
"1991-03-30","1991","03","30","","10.0","","5.0","","7.5","","10.5","","0.0","","9.0","","0.0","","9.0","","0","","","","",""
"1991-03-31","1991","03","31","","11.0","","6.5","","8.8","","9.2","","0.0","","10.6","","0.0","","10.6","","0","","","","",""
"1991-04-01","1991","04","01","","9.5","","2.0","","5.8","","12.2","","0.0","","0.6","","0.0","","0.6","","0","","","","",""
"1991-04-02","1991","04","02","","8.5","","4.5","","6.5","","11.5","","0.0","","0.8","","0.0","","0.8","","0","","","","",""
"1991-04-03","1991","04","03","","10.0","","5.0","","7.5","","10.5","","0.0","","6.4","","0.0","","6.4","","0","","","","",""
"1991-04-04","1991","04","04","","7.0","","5.0","","6.0","","12.0","","0.0","","17.0","","0.0","","17.0","","0","","","","",""
"1991-04-05","1991","04","05","","8.5","","3.5","","6.0","","12.0","","0.0","","22.5","","0.0","","22.5","","0","","","","",""
