BONILLA ISLAND LIGHTSTATION: DAILY SEA SURFACE TEMPERATURE AND SALINITY,,,,
"DATE
(YYYY-MM-DD)","SALINITY
(PSU)","TEMPERATURE
( C )","LATITUDE
(DECIMAL DEGREES)","LONGITUDE
(DECIMAL DEGREES)"
1/1/1960,99.9,99.9,53.4932,-130.6374
1/2/1960,99.9,99.9,53.4932,-130.6374
1/3/1960,99.9,99.9,53.4932,-130.6374
1/4/1960,99.9,99.9,53.4932,-130.6374
1/5/1960,99.9,99.9,53.4932,-130.6374
1/6/1960,99.9,99.9,53.4932,-130.6374
1/7/1960,99.9,99.9,53.4932,-130.6374
1/8/1960,99.9,99.9,53.4932,-130.6374
1/9/1960,99.9,99.9,53.4932,-130.6374
1/10/1960,99.9,99.9,53.4932,-130.6374
1/11/1960,99.9,99.9,53.4932,-130.6374
1/12/1960,99.9,99.9,53.4932,-130.6374
1/13/1960,99.9,99.9,53.4932,-130.6374
1/14/1960,99.9,99.9,53.4932,-130.6374
1/15/1960,99.9,99.9,53.4932,-130.6374
1/16/1960,99.9,99.9,53.4932,-130.6374
1/17/1960,99.9,99.9,53.4932,-130.6374
1/18/1960,99.9,99.9,53.4932,-130.6374
1/19/1960,99.9,99.9,53.4932,-130.6374
1/20/1960,99.9,99.9,53.4932,-130.6374
1/21/1960,99.9,99.9,53.4932,-130.6374
1/22/1960,99.9,99.9,53.4932,-130.6374
1/23/1960,99.9,99.9,53.4932,-130.6374
1/24/1960,99.9,99.9,53.4932,-130.6374
1/25/1960,99.9,99.9,53.4932,-130.6374
1/26/1960,99.9,99.9,53.4932,-130.6374
1/27/1960,99.9,99.9,53.4932,-130.6374
1/28/1960,99.9,99.9,53.4932,-130.6374
1/29/1960,99.9,99.9,53.4932,-130.6374
1/30/1960,99.9,99.9,53.4932,-130.6374
1/31/1960,99.9,99.9,53.4932,-130.6374
2/1/1960,99.9,99.9,53.4932,-130.6374
2/2/1960,99.9,99.9,53.4932,-130.6374
2/3/1960,99.9,99.9,53.4932,-130.6374
2/4/1960,99.9,99.9,53.4932,-130.6374
2/5/1960,99.9,99.9,53.4932,-130.6374
2/6/1960,99.9,99.9,53.4932,-130.6374
2/7/1960,99.9,99.9,53.4932,-130.6374
2/8/1960,99.9,99.9,53.4932,-130.6374
2/9/1960,99.9,99.9,53.4932,-130.6374
2/10/1960,99.9,99.9,53.4932,-130.6374
2/11/1960,99.9,99.9,53.4932,-130.6374
2/12/1960,99.9,99.9,53.4932,-130.6374
2/13/1960,99.9,99.9,53.4932,-130.6374
2/14/1960,99.9,99.9,53.4932,-130.6374
2/15/1960,99.9,99.9,53.4932,-130.6374
2/16/1960,99.9,99.9,53.4932,-130.6374
2/17/1960,99.9,99.9,53.4932,-130.6374
2/18/1960,99.9,99.9,53.4932,-130.6374
2/19/1960,99.9,99.9,53.4932,-130.6374
2/20/1960,99.9,99.9,53.4932,-130.6374
2/21/1960,99.9,99.9,53.4932,-130.6374
2/22/1960,99.9,99.9,53.4932,-130.6374
2/23/1960,99.9,99.9,53.4932,-130.6374
2/24/1960,99.9,99.9,53.4932,-130.6374
2/25/1960,99.9,99.9,53.4932,-130.6374
2/26/1960,99.9,99.9,53.4932,-130.6374
2/27/1960,99.9,99.9,53.4932,-130.6374
2/28/1960,99.9,99.9,53.4932,-130.6374
2/29/1960,99.9,99.9,53.4932,-130.6374
3/1/1960,99.9,99.9,53.4932,-130.6374
3/2/1960,99.9,99.9,53.4932,-130.6374
3/3/1960,99.9,99.9,53.4932,-130.6374
3/4/1960,99.9,99.9,53.4932,-130.6374
3/5/1960,99.9,99.9,53.4932,-130.6374
3/6/1960,99.9,99.9,53.4932,-130.6374
3/7/1960,99.9,99.9,53.4932,-130.6374
3/8/1960,99.9,99.9,53.4932,-130.6374
3/9/1960,99.9,99.9,53.4932,-130.6374
3/10/1960,99.9,99.9,53.4932,-130.6374
3/11/1960,99.9,99.9,53.4932,-130.6374
3/12/1960,99.9,99.9,53.4932,-130.6374
3/13/1960,99.9,99.9,53.4932,-130.6374
3/14/1960,99.9,99.9,53.4932,-130.6374
3/15/1960,99.9,99.9,53.4932,-130.6374
3/16/1960,99.9,99.9,53.4932,-130.6374
3/17/1960,99.9,99.9,53.4932,-130.6374
3/18/1960,99.9,99.9,53.4932,-130.6374
3/19/1960,99.9,99.9,53.4932,-130.6374
3/20/1960,99.9,99.9,53.4932,-130.6374
3/21/1960,99.9,99.9,53.4932,-130.6374
3/22/1960,99.9,99.9,53.4932,-130.6374
3/23/1960,99.9,99.9,53.4932,-130.6374
3/24/1960,99.9,99.9,53.4932,-130.6374
3/25/1960,99.9,99.9,53.4932,-130.6374
3/26/1960,99.9,99.9,53.4932,-130.6374
3/27/1960,99.9,99.9,53.4932,-130.6374
3/28/1960,99.9,99.9,53.4932,-130.6374
3/29/1960,99.9,99.9,53.4932,-130.6374
3/30/1960,99.9,99.9,53.4932,-130.6374
3/31/1960,99.9,99.9,53.4932,-130.6374
4/1/1960,99.9,99.9,53.4932,-130.6374
4/2/1960,99.9,99.9,53.4932,-130.6374
4/3/1960,99.9,99.9,53.4932,-130.6374
4/4/1960,99.9,99.9,53.4932,-130.6374
4/5/1960,99.9,99.9,53.4932,-130.6374
4/6/1960,99.9,99.9,53.4932,-130.6374
4/7/1960,31.8,6.9,53.4932,-130.6374
4/8/1960,31.7,6.9,53.4932,-130.6374
4/9/1960,31.6,6.7,53.4932,-130.6374
4/10/1960,31.8,6.9,53.4932,-130.6374
4/11/1960,31.8,6.9,53.4932,-130.6374
4/12/1960,31.5,7.1,53.4932,-130.6374
4/13/1960,31.9,6.9,53.4932,-130.6374
4/14/1960,31.7,7.1,53.4932,-130.6374
4/15/1960,31.6,7.1,53.4932,-130.6374
4/16/1960,31.6,6.7,53.4932,-130.6374
4/17/1960,31.4,6.8,53.4932,-130.6374
4/18/1960,31.6,6.8,53.4932,-130.6374
4/19/1960,31.6,6.7,53.4932,-130.6374
4/20/1960,99.9,99.9,53.4932,-130.6374
4/21/1960,31.6,7.5,53.4932,-130.6374
4/22/1960,99.9,99.9,53.4932,-130.6374
4/23/1960,31.7,8,53.4932,-130.6374
4/24/1960,32,8.4,53.4932,-130.6374
4/25/1960,31.7,8.1,53.4932,-130.6374
4/26/1960,31.7,8.1,53.4932,-130.6374
4/27/1960,99.9,99.9,53.4932,-130.6374
4/28/1960,31.8,8.6,53.4932,-130.6374
4/29/1960,31.3,8.6,53.4932,-130.6374
4/30/1960,31.1,8.4,53.4932,-130.6374
5/1/1960,31.1,9.4,53.4932,-130.6374
5/2/1960,31.2,8.9,53.4932,-130.6374
5/3/1960,31.1,9.3,53.4932,-130.6374
5/4/1960,31.3,9.2,53.4932,-130.6374
5/5/1960,99.9,99.9,53.4932,-130.6374
5/6/1960,30.6,8.2,53.4932,-130.6374
5/7/1960,31.1,8.1,53.4932,-130.6374
5/8/1960,31.1,8.2,53.4932,-130.6374
5/9/1960,31.1,8.1,53.4932,-130.6374
5/10/1960,31.1,8.4,53.4932,-130.6374
5/11/1960,31.2,8.6,53.4932,-130.6374
5/12/1960,31.3,8,53.4932,-130.6374
5/13/1960,31.3,9.4,53.4932,-130.6374
5/14/1960,99.9,99.9,53.4932,-130.6374
5/15/1960,31.1,8.6,53.4932,-130.6374
5/16/1960,31.3,8.8,53.4932,-130.6374
5/17/1960,31.3,9.1,53.4932,-130.6374
5/18/1960,99.9,99.9,53.4932,-130.6374
5/19/1960,30.8,9.1,53.4932,-130.6374
5/20/1960,31.1,9.2,53.4932,-130.6374
5/21/1960,99.9,99.9,53.4932,-130.6374
5/22/1960,31.3,8.6,53.4932,-130.6374
5/23/1960,31.1,9.2,53.4932,-130.6374
5/24/1960,31.4,10.1,53.4932,-130.6374
5/25/1960,31.3,9.8,53.4932,-130.6374
5/26/1960,31.5,10.3,53.4932,-130.6374
5/27/1960,31.3,9.7,53.4932,-130.6374
5/28/1960,31.2,9.4,53.4932,-130.6374
