PINE ISLAND LIGHTSTATION: DAILY SEA SURFACE TEMPERATURE AND SALINITY,,,,
"DATE
(YYYY-MM-DD)","SALINITY
(PSU)","TEMPERATURE
( C )","LATITUDE
(DECIMAL DEGREES)","LONGITUDE
(DECIMAL DEGREES)"
1/1/1937,99.9,99.9,50.9756,-127.728
1/2/1937,99.9,99.9,50.9756,-127.728
1/3/1937,99.9,99.9,50.9756,-127.728
1/4/1937,99.9,99.9,50.9756,-127.728
1/5/1937,99.9,99.9,50.9756,-127.728
1/6/1937,99.9,99.9,50.9756,-127.728
1/7/1937,99.9,99.9,50.9756,-127.728
1/8/1937,99.9,99.9,50.9756,-127.728
1/9/1937,99.9,99.9,50.9756,-127.728
1/10/1937,99.9,99.9,50.9756,-127.728
1/11/1937,99.9,99.9,50.9756,-127.728
1/12/1937,99.9,99.9,50.9756,-127.728
1/13/1937,99.9,99.9,50.9756,-127.728
1/14/1937,32,6.7,50.9756,-127.728
1/15/1937,32.2,6.7,50.9756,-127.728
1/16/1937,31.9,6.7,50.9756,-127.728
1/17/1937,32,6.9,50.9756,-127.728
1/18/1937,31.9,6.7,50.9756,-127.728
1/19/1937,32.5,6.1,50.9756,-127.728
1/20/1937,32.1,5.6,50.9756,-127.728
1/21/1937,31.9,6.3,50.9756,-127.728
1/22/1937,31.9,7.2,50.9756,-127.728
1/23/1937,31.5,5.8,50.9756,-127.728
1/24/1937,32,6.7,50.9756,-127.728
1/25/1937,32.2,6.9,50.9756,-127.728
1/26/1937,32.3,7.1,50.9756,-127.728
1/27/1937,32.3,6.7,50.9756,-127.728
1/28/1937,32.4,6.4,50.9756,-127.728
1/29/1937,32.5,6.5,50.9756,-127.728
1/30/1937,32.4,6.4,50.9756,-127.728
1/31/1937,32.4,6.3,50.9756,-127.728
2/1/1937,32.4,6,50.9756,-127.728
2/2/1937,32.5,5.7,50.9756,-127.728
2/3/1937,32.5,6.4,50.9756,-127.728
2/4/1937,32.4,6.4,50.9756,-127.728
2/5/1937,32.3,6.1,50.9756,-127.728
2/6/1937,32.2,6.1,50.9756,-127.728
2/7/1937,32.3,6.1,50.9756,-127.728
2/8/1937,32.3,6.7,50.9756,-127.728
2/9/1937,32.3,6.1,50.9756,-127.728
2/10/1937,31.9,6.5,50.9756,-127.728
2/11/1937,32.2,6.4,50.9756,-127.728
2/12/1937,32.2,6.4,50.9756,-127.728
2/13/1937,32.2,6.3,50.9756,-127.728
2/14/1937,32.2,6.3,50.9756,-127.728
2/15/1937,32.2,6.3,50.9756,-127.728
2/16/1937,32.2,6.2,50.9756,-127.728
2/17/1937,32.1,6.2,50.9756,-127.728
2/18/1937,32.1,6.2,50.9756,-127.728
2/19/1937,32.1,6.1,50.9756,-127.728
2/20/1937,31.9,6.1,50.9756,-127.728
2/21/1937,32,6.1,50.9756,-127.728
2/22/1937,32,6.2,50.9756,-127.728
2/23/1937,31.9,6.4,50.9756,-127.728
2/24/1937,32.3,7.1,50.9756,-127.728
2/25/1937,32.2,6.8,50.9756,-127.728
2/26/1937,32.4,6.8,50.9756,-127.728
2/27/1937,32.2,6.7,50.9756,-127.728
2/28/1937,32.3,6.7,50.9756,-127.728
3/1/1937,32.1,6.7,50.9756,-127.728
3/2/1937,32.1,6.8,50.9756,-127.728
3/3/1937,32.1,6.8,50.9756,-127.728
3/4/1937,32,6.7,50.9756,-127.728
3/5/1937,31.9,6.7,50.9756,-127.728
3/6/1937,32,6.7,50.9756,-127.728
3/7/1937,32,6.7,50.9756,-127.728
3/8/1937,32.1,6.8,50.9756,-127.728
3/9/1937,32.1,7.2,50.9756,-127.728
3/10/1937,32,7.1,50.9756,-127.728
3/11/1937,32,7.3,50.9756,-127.728
3/12/1937,32,7.5,50.9756,-127.728
3/13/1937,32.1,7.2,50.9756,-127.728
3/14/1937,32.2,7.2,50.9756,-127.728
3/15/1937,32.2,7.2,50.9756,-127.728
3/16/1937,32,7.1,50.9756,-127.728
3/17/1937,32.3,7.1,50.9756,-127.728
3/18/1937,32.1,7.2,50.9756,-127.728
3/19/1937,32,7.2,50.9756,-127.728
3/20/1937,32,7.2,50.9756,-127.728
3/21/1937,32,7.2,50.9756,-127.728
3/22/1937,31.9,7.8,50.9756,-127.728
3/23/1937,32,7.2,50.9756,-127.728
3/24/1937,31.9,7.4,50.9756,-127.728
3/25/1937,31.7,7.4,50.9756,-127.728
3/26/1937,31.9,7.5,50.9756,-127.728
3/27/1937,31.9,7.8,50.9756,-127.728
3/28/1937,32,7.8,50.9756,-127.728
3/29/1937,32,7.8,50.9756,-127.728
3/30/1937,32,7.9,50.9756,-127.728
3/31/1937,31.9,7.6,50.9756,-127.728
4/1/1937,32,7.6,50.9756,-127.728
4/2/1937,32,7.7,50.9756,-127.728
4/3/1937,31.9,7.8,50.9756,-127.728
4/4/1937,31.7,7.6,50.9756,-127.728
4/5/1937,31.8,7.7,50.9756,-127.728
4/6/1937,31.8,7.7,50.9756,-127.728
4/7/1937,31.8,7.7,50.9756,-127.728
4/8/1937,31.8,7.8,50.9756,-127.728
4/9/1937,31.8,7.8,50.9756,-127.728
4/10/1937,31.7,7.8,50.9756,-127.728
4/11/1937,31.9,7.8,50.9756,-127.728
4/12/1937,31.8,7.8,50.9756,-127.728
4/13/1937,31.9,7.8,50.9756,-127.728
4/14/1937,31.8,7.8,50.9756,-127.728
4/15/1937,31.7,7.8,50.9756,-127.728
4/16/1937,31.8,7.8,50.9756,-127.728
4/17/1937,31.8,7.8,50.9756,-127.728
4/18/1937,31.8,7.8,50.9756,-127.728
4/19/1937,31.5,7.8,50.9756,-127.728
4/20/1937,31.5,7.8,50.9756,-127.728
4/21/1937,31.6,7.7,50.9756,-127.728
4/22/1937,31.7,7.5,50.9756,-127.728
4/23/1937,31.8,7.6,50.9756,-127.728
4/24/1937,31.2,7.2,50.9756,-127.728
4/25/1937,31.7,7.8,50.9756,-127.728
4/26/1937,31.6,7.8,50.9756,-127.728
4/27/1937,31.7,7.8,50.9756,-127.728
4/28/1937,31.6,7.8,50.9756,-127.728
4/29/1937,31.7,7.8,50.9756,-127.728
4/30/1937,31.7,7.8,50.9756,-127.728
5/1/1937,31.8,7.8,50.9756,-127.728
5/2/1937,31.8,7.8,50.9756,-127.728
5/3/1937,31.8,7.8,50.9756,-127.728
5/4/1937,31.8,7.8,50.9756,-127.728
5/5/1937,31.9,7.5,50.9756,-127.728
5/6/1937,31.8,8.7,50.9756,-127.728
5/7/1937,31.7,8.6,50.9756,-127.728
5/8/1937,31.7,8.2,50.9756,-127.728
5/9/1937,31.7,8.1,50.9756,-127.728
5/10/1937,31.8,8.1,50.9756,-127.728
5/11/1937,31.9,8.2,50.9756,-127.728
5/12/1937,31.9,8.2,50.9756,-127.728
5/13/1937,31.8,8.5,50.9756,-127.728
5/14/1937,31.9,8.5,50.9756,-127.728
5/15/1937,31.8,9.4,50.9756,-127.728
5/16/1937,31.9,9.6,50.9756,-127.728
5/17/1937,31.7,8.6,50.9756,-127.728
5/18/1937,31.8,8.9,50.9756,-127.728
5/19/1937,31.6,8.6,50.9756,-127.728
5/20/1937,31.6,8.9,50.9756,-127.728
5/21/1937,31.8,8.9,50.9756,-127.728
5/22/1937,31.7,8.9,50.9756,-127.728
5/23/1937,31.7,9.1,50.9756,-127.728
5/24/1937,31.7,9.1,50.9756,-127.728
5/25/1937,31.6,9.1,50.9756,-127.728
5/26/1937,31.6,9.1,50.9756,-127.728
5/27/1937,31.6,9.2,50.9756,-127.728
5/28/1937,31.8,9.1,50.9756,-127.728
5/29/1937,32.1,8.9,50.9756,-127.728
5/30/1937,32,8.9,50.9756,-127.728
5/31/1937,31.8,9,50.9756,-127.728
6/1/1937,31.7,9.2,50.9756,-127.728
6/2/1937,31.8,9,50.9756,-127.728
6/3/1937,31.8,9.2,50.9756,-127.728
6/4/1937,31.8,9.2,50.9756,-127.728
6/5/1937,31.7,9.4,50.9756,-127.728
6/6/1937,31.7,9.4,50.9756,-127.728
6/7/1937,31.8,9.2,50.9756,-127.728
6/8/1937,31.9,9.2,50.9756,-127.728
6/9/1937,32.3,9.2,50.9756,-127.728
6/10/1937,31.9,9.2,50.9756,-127.728
6/11/1937,32.1,9.2,50.9756,-127.728
6/12/1937,31.9,9.4,50.9756,-127.728
6/13/1937,32.1,8.9,50.9756,-127.728
6/14/1937,32,9.4,50.9756,-127.728
6/15/1937,31.9,9.4,50.9756,-127.728
6/16/1937,31.7,9.4,50.9756,-127.728
6/17/1937,31.7,9.4,50.9756,-127.728
6/18/1937,31.6,9.7,50.9756,-127.728
6/19/1937,31.5,9.8,50.9756,-127.728
6/20/1937,31.5,9.7,50.9756,-127.728
6/21/1937,31.6,9.7,50.9756,-127.728
6/22/1937,31.7,8.6,50.9756,-127.728
6/23/1937,31,9.1,50.9756,-127.728
6/24/1937,30.6,9.7,50.9756,-127.728
6/25/1937,31,9.4,50.9756,-127.728
6/26/1937,31.7,8.9,50.9756,-127.728
6/27/1937,31.4,8.6,50.9756,-127.728
6/28/1937,31.3,9.2,50.9756,-127.728
6/29/1937,31.3,9.4,50.9756,-127.728
6/30/1937,31.3,9.2,50.9756,-127.728
7/1/1937,31.4,9.2,50.9756,-127.728
7/2/1937,31.4,9.2,50.9756,-127.728
7/3/1937,31.3,9.2,50.9756,-127.728
7/4/1937,31.4,9.4,50.9756,-127.728
7/5/1937,31.5,9.6,50.9756,-127.728
7/6/1937,31.8,9.4,50.9756,-127.728
7/7/1937,31.9,9.6,50.9756,-127.728
7/8/1937,31.9,9.2,50.9756,-127.728
7/9/1937,31.8,9.2,50.9756,-127.728
7/10/1937,31.8,9.2,50.9756,-127.728
7/11/1937,31.8,9.1,50.9756,-127.728
7/12/1937,32,9.6,50.9756,-127.728
7/13/1937,31.9,9.6,50.9756,-127.728
7/14/1937,31.8,9.4,50.9756,-127.728
7/15/1937,31.8,9.6,50.9756,-127.728
7/16/1937,31.8,10,50.9756,-127.728
7/17/1937,31.6,10.1,50.9756,-127.728
7/18/1937,31.6,10,50.9756,-127.728
7/19/1937,31.6,9.6,50.9756,-127.728
7/20/1937,31.9,9,50.9756,-127.728
7/21/1937,31.9,9.4,50.9756,-127.728
7/22/1937,32,9.6,50.9756,-127.728
7/23/1937,31.9,9.4,50.9756,-127.728
7/24/1937,31.9,9.4,50.9756,-127.728
7/25/1937,31.9,9.1,50.9756,-127.728
7/26/1937,32,9.4,50.9756,-127.728
7/27/1937,32,9,50.9756,-127.728
7/28/1937,32,8.9,50.9756,-127.728
7/29/1937,33.6,9.4,50.9756,-127.728
7/30/1937,33.7,9.6,50.9756,-127.728
7/31/1937,33.7,10,50.9756,-127.728
8/1/1937,33.7,9.6,50.9756,-127.728
8/2/1937,31.8,10,50.9756,-127.728
8/3/1937,32,9.6,50.9756,-127.728
8/4/1937,31.9,9.4,50.9756,-127.728
8/5/1937,32,9.5,50.9756,-127.728
8/6/1937,31.9,9.6,50.9756,-127.728
8/7/1937,31.9,9.5,50.9756,-127.728
8/8/1937,32.2,9.6,50.9756,-127.728
8/9/1937,32.1,10,50.9756,-127.728
8/10/1937,32.3,9.5,50.9756,-127.728
8/11/1937,32.2,9.1,50.9756,-127.728
8/12/1937,32.3,8.9,50.9756,-127.728
8/13/1937,32,10.1,50.9756,-127.728
8/14/1937,31.8,10,50.9756,-127.728
8/15/1937,31.8,10.1,50.9756,-127.728
8/16/1937,31.5,10,50.9756,-127.728
