1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 2D00000035BC8621
Is Mission Active?  true
Mission Start:  Wed Jun 11 16:01:00 PDT 2014
Sample Rate:  Every 240 minute(s)
Number of Mission Samples:  2316
Total Samples:  2316
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 °C
Low Temperature Alarm:  -40 °C

Date/Time,Unit,Value
6/11/14 4:01:00 PM,C,24.5
6/11/14 8:01:00 PM,C,32.5
6/12/14 12:01:00 AM,C,19.5
6/12/14 4:01:00 AM,C,18.5
6/12/14 8:01:00 AM,C,19
6/12/14 12:01:00 PM,C,12.5
6/12/14 4:01:00 PM,C,13
6/12/14 8:01:00 PM,C,14
6/13/14 12:01:00 AM,C,12.5
6/13/14 4:01:00 AM,C,12.5
6/13/14 8:01:00 AM,C,12
6/13/14 12:01:00 PM,C,12
6/13/14 4:01:00 PM,C,12.5
6/13/14 8:01:00 PM,C,13
6/14/14 12:01:00 AM,C,12
6/14/14 4:01:00 AM,C,10.5
6/14/14 8:01:00 AM,C,11.5
6/14/14 12:01:00 PM,C,11
6/14/14 4:01:00 PM,C,10.5
6/14/14 8:01:00 PM,C,11
6/15/14 12:01:00 AM,C,10.5
6/15/14 4:01:00 AM,C,10
6/15/14 8:01:00 AM,C,9
6/15/14 12:01:00 PM,C,12.5
6/15/14 4:01:00 PM,C,11.5
6/15/14 8:01:00 PM,C,12.5
6/16/14 12:01:00 AM,C,11.5
6/16/14 4:01:00 AM,C,11
6/16/14 8:01:00 AM,C,14.5
6/16/14 12:01:00 PM,C,28.5
6/16/14 4:01:00 PM,C,13
6/16/14 8:01:00 PM,C,13
6/17/14 12:01:00 AM,C,12.5
6/17/14 4:01:00 AM,C,11
6/17/14 8:01:00 AM,C,10.5
6/17/14 12:01:00 PM,C,31
6/17/14 4:01:00 PM,C,11.5
6/17/14 8:01:00 PM,C,11.5
6/18/14 12:01:00 AM,C,12.5
6/18/14 4:01:00 AM,C,11.5
6/18/14 8:01:00 AM,C,10.5
6/18/14 12:01:00 PM,C,19
6/18/14 4:01:00 PM,C,12
6/18/14 8:01:00 PM,C,12
6/19/14 12:01:00 AM,C,12
6/19/14 4:01:00 AM,C,11.5
