1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 310000003EAED521
Is Mission Active?  true
Mission Start:  Sat Jun 04 18:02:00 PDT 2016
Sample Rate:  Every 240 minute(s)
Number of Mission Samples:  2123
Total Samples:  2124
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 °C
Low Temperature Alarm:  -40 °C

Date/Time,Unit,Value
6/4/16 6:02:00 PM,C,26.5
6/4/16 10:02:00 PM,C,20.5
6/5/16 2:02:00 AM,C,20.5
6/5/16 6:02:00 AM,C,14.5
6/5/16 10:02:00 AM,C,17
6/5/16 2:02:00 PM,C,19
6/5/16 6:02:00 PM,C,19
6/5/16 10:02:00 PM,C,20.5
6/6/16 2:02:00 AM,C,21
6/6/16 6:02:00 AM,C,21
6/6/16 10:02:00 AM,C,20.5
6/6/16 2:02:00 PM,C,13
6/6/16 6:02:00 PM,C,13
6/6/16 10:02:00 PM,C,13
6/7/16 2:02:00 AM,C,12.5
6/7/16 6:02:00 AM,C,12
6/7/16 10:02:00 AM,C,24.5
6/7/16 2:02:00 PM,C,13.5
6/7/16 6:02:00 PM,C,13
6/7/16 10:02:00 PM,C,12.5
6/8/16 2:02:00 AM,C,12
6/8/16 6:02:00 AM,C,11.5
6/8/16 10:02:00 AM,C,14.5
6/8/16 2:02:00 PM,C,11.5
6/8/16 6:02:00 PM,C,11.5
6/8/16 10:02:00 PM,C,11.5
6/9/16 2:02:00 AM,C,11.5
6/9/16 6:02:00 AM,C,11.5
6/9/16 10:02:00 AM,C,17.5
6/9/16 2:02:00 PM,C,13
6/9/16 6:02:00 PM,C,12.5
6/9/16 10:02:00 PM,C,13.5
6/10/16 2:02:00 AM,C,13
6/10/16 6:02:00 AM,C,12.5
6/10/16 10:02:00 AM,C,13
6/10/16 2:02:00 PM,C,13.5
6/10/16 6:02:00 PM,C,12.5
6/10/16 10:02:00 PM,C,12
6/11/16 2:02:00 AM,C,11.5
6/11/16 6:02:00 AM,C,12
6/11/16 10:02:00 AM,C,12
6/11/16 2:02:00 PM,C,17
6/11/16 6:02:00 PM,C,13
6/11/16 10:02:00 PM,C,13
6/12/16 2:02:00 AM,C,12.5
6/12/16 6:02:00 AM,C,12.5
6/12/16 10:02:00 AM,C,12.5
6/12/16 2:02:00 PM,C,14
6/12/16 6:02:00 PM,C,12.5
6/12/16 10:02:00 PM,C,12.5
6/13/16 2:02:00 AM,C,12
6/13/16 6:02:00 AM,C,12
6/13/16 10:02:00 AM,C,12.5
6/13/16 2:02:00 PM,C,13
6/13/16 6:02:00 PM,C,13.5
6/13/16 10:02:00 PM,C,13
6/14/16 2:02:00 AM,C,12.5
6/14/16 6:02:00 AM,C,12.5
6/14/16 10:02:00 AM,C,12.5
6/14/16 2:02:00 PM,C,12.5
6/14/16 6:02:00 PM,C,12.5
6/14/16 10:02:00 PM,C,12.5
6/15/16 2:02:00 AM,C,12
6/15/16 6:02:00 AM,C,12
6/15/16 10:02:00 AM,C,12
6/15/16 2:02:00 PM,C,13
6/15/16 6:02:00 PM,C,13
6/15/16 10:02:00 PM,C,13
6/16/16 2:02:00 AM,C,12.5
6/16/16 6:02:00 AM,C,11
6/16/16 10:02:00 AM,C,12.5
6/16/16 2:02:00 PM,C,12.5
6/16/16 6:02:00 PM,C,12.5
6/16/16 10:02:00 PM,C,12.5
6/17/16 2:02:00 AM,C,12.5
6/17/16 6:02:00 AM,C,11.5
6/17/16 10:02:00 AM,C,12.5
6/17/16 2:02:00 PM,C,13
6/17/16 6:02:00 PM,C,15.5
6/17/16 10:02:00 PM,C,14
6/18/16 2:02:00 AM,C,14
6/18/16 6:02:00 AM,C,12.5
6/18/16 10:02:00 AM,C,14
6/18/16 2:02:00 PM,C,13.5
6/18/16 6:02:00 PM,C,15.5
6/18/16 10:02:00 PM,C,14.5
6/19/16 2:02:00 AM,C,14
6/19/16 6:02:00 AM,C,13
6/19/16 10:02:00 AM,C,14
6/19/16 2:02:00 PM,C,13.5
6/19/16 6:02:00 PM,C,14.5
6/19/16 10:02:00 PM,C,14
6/20/16 2:02:00 AM,C,13
6/20/16 6:02:00 AM,C,12.5
6/20/16 10:02:00 AM,C,34
6/20/16 2:02:00 PM,C,14
6/20/16 6:02:00 PM,C,14
6/20/16 10:02:00 PM,C,13.5
6/21/16 2:02:00 AM,C,13
6/21/16 6:02:00 AM,C,13
6/21/16 10:02:00 AM,C,14
6/21/16 2:02:00 PM,C,12.5
6/21/16 6:02:00 PM,C,12.5
6/21/16 10:02:00 PM,C,12.5
6/22/16 2:02:00 AM,C,12
6/22/16 6:02:00 AM,C,12
6/22/16 10:02:00 AM,C,13.5
6/22/16 2:02:00 PM,C,13
6/22/16 6:02:00 PM,C,13
6/22/16 10:02:00 PM,C,13.5
6/23/16 2:02:00 AM,C,13
6/23/16 6:02:00 AM,C,13
6/23/16 10:02:00 AM,C,14
6/23/16 2:02:00 PM,C,13
6/23/16 6:02:00 PM,C,13
6/23/16 10:02:00 PM,C,13
6/24/16 2:02:00 AM,C,13
6/24/16 6:02:00 AM,C,12.5
6/24/16 10:02:00 AM,C,15
6/24/16 2:02:00 PM,C,13
6/24/16 6:02:00 PM,C,13
6/24/16 10:02:00 PM,C,13
6/25/16 2:02:00 AM,C,13
6/25/16 6:02:00 AM,C,13
6/25/16 10:02:00 AM,C,13
6/25/16 2:02:00 PM,C,14
6/25/16 6:02:00 PM,C,13.5
6/25/16 10:02:00 PM,C,13.5
6/26/16 2:02:00 AM,C,13.5
6/26/16 6:02:00 AM,C,13.5
6/26/16 10:02:00 AM,C,17
6/26/16 2:02:00 PM,C,18
6/26/16 6:02:00 PM,C,15.5
6/26/16 10:02:00 PM,C,16
6/27/16 2:02:00 AM,C,14.5
6/27/16 6:02:00 AM,C,14
6/27/16 10:02:00 AM,C,14.5
6/27/16 2:02:00 PM,C,20.5
6/27/16 6:02:00 PM,C,14.5
6/27/16 10:02:00 PM,C,14
6/28/16 2:02:00 AM,C,13.5
6/28/16 6:02:00 AM,C,13
6/28/16 10:02:00 AM,C,13
6/28/16 2:02:00 PM,C,18
6/28/16 6:02:00 PM,C,15.5
6/28/16 10:02:00 PM,C,13.5
6/29/16 2:02:00 AM,C,13.5
6/29/16 6:02:00 AM,C,13.5
6/29/16 10:02:00 AM,C,13
6/29/16 2:02:00 PM,C,15
