FID,ID,Site,Transect,StartEnd,UTMn,UTMe,Note,Lat,Long
0,nb_martone_high_0,NB,High,Start,5724176.247999999672174,559817.719299999997020,Called high1 in the table,51.665381785100003,-128.135089875999995
1,nb_martone_high_1, , ,1,5724177.208999999798834,559817.441100000054576, ,51.665390454499999,-128.135093734000009
2,nb_martone_high_2, , ,2,5724178.168999999761581,559817.162800000049174, ,51.665399115000000,-128.135097593000012
3,nb_martone_high_3, , ,3,5724179.129999999888241,559816.884599999990314, ,51.665407784400003,-128.135101450000008
4,nb_martone_high_4, , ,4,5724180.089999999850988,559816.606400000047870, ,51.665416444900004,-128.135105307999993
5,nb_martone_high_5, , ,5,5724181.050999999977648,559816.328100000042468, ,51.665425114300000,-128.135109166999996
6,nb_martone_high_6, , ,6,5724182.010999999940395,559816.049899999983609, ,51.665433774800000,-128.135113025000010
7,nb_martone_high_7, , ,7,5724182.972000000067055,559815.771599999978207, ,51.665442444200004,-128.135116884000013
8,nb_martone_high_8, , ,8,5724183.932000000029802,559815.493400000035763, ,51.665451104699997,-128.135120741000009
9,nb_martone_high_9, , ,9,5724184.893000000156462,559815.215199999976903, ,51.665459774100000,-128.135124598999994
10,nb_martone_high_10, , ,10,5724185.853000000119209,559814.936899999971502, ,51.665468434600001,-128.135128457999997
11,nb_martone_high_11, , ,11,5724186.814000000245869,559814.658700000029057, ,51.665477103999997,-128.135132314999993
12,nb_martone_high_12, , ,12,5724187.774000000208616,559814.380499999970198, ,51.665485764400003,-128.135136173000006
13,nb_martone_high_13, , ,13,5724188.735000000335276,559814.102199999964796, ,51.665494433900001,-128.135140032000010
14,nb_martone_high_14, , ,14,5724189.695000000298023,559813.824000000022352, ,51.665503094300000,-128.135143889999995
15,nb_martone_high_15, , ,15,5724190.656000000424683,559813.545700000016950, ,51.665511763799998,-128.135147748999998
16,nb_martone_high_16, , ,16,5724191.616000000387430,559813.267499999958090, ,51.665520424199997,-128.135151605999994
17,nb_martone_high_17, , ,17,5724192.576999999582767,559812.989300000015646, ,51.665529093700002,-128.135155464000007
18,nb_martone_high_18, , ,18,5724193.536999999545515,559812.711000000010245, ,51.665537754100001,-128.135159323000011
19,nb_martone_high_19, , ,19,5724194.497999999672174,559812.432799999951385, ,51.665546423599999,-128.135163180999996
20,nb_martone_high_20, , ,20,5724195.457999999634922,559812.154600000008941, ,51.665555083999998,-128.135167037999992
21,nb_martone_high_21, , ,21,5724196.418999999761581,559811.876300000003539, ,51.665563753500003,-128.135170896999995
22,nb_martone_high_22, , ,22,5724197.378999999724329,559811.598099999944679, ,51.665572413900001,-128.135174755000008
23,nb_martone_high_23, , ,23,5724198.339999999850988,559811.319800000055693, ,51.665581083299998,-128.135178614000012
24,nb_martone_high3,NB,High,End,5724199.388000000268221,559811.016199999954551,End happens to be called high3,51.665590537699998,-128.135182823999997
25,5th_high0,5B,High,Start,5721424.733000000007451,558365.241700000013225, ,51.640797004400000,-128.156548205000007
26,5th_high1, , ,1,5721424.229000000283122,558364.377899999963120, ,51.640792562800002,-128.156560770999988
27,5th_high2, , ,2,5721423.724999999627471,558363.514199999975972, ,51.640788121200004,-128.156573334999990
28,5th_high3, , ,3,5721423.220999999903142,558362.650400000042282, ,51.640783679599998,-128.156585901000000
29,5th_high4, , ,4,5721422.717000000178814,558361.786599999992177, ,51.640779238100002,-128.156598465999991
30,5th_high5, , ,5,5721422.213999999687076,558360.922900000005029, ,51.640774805500001,-128.156611029999993
31,5th_high6, , ,6,5721421.709999999962747,558360.059099999954924, ,51.640770363900003,-128.156623596000003
32,5th_high7, , ,7,5721421.206000000238419,558359.195300000021234, ,51.640765922299998,-128.156636160999994
33,5th_high8, , ,8,5721420.701999999582767,558358.331600000034086, ,51.640761480700000,-128.156648725999986
34,5th_high9, , ,9,5721420.197999999858439,558357.467799999983981, ,51.640757039100002,-128.156661291000006
35,5th_high10, , ,10,5721419.694000000134110,558356.604000000050291, ,51.640752597499997,-128.156673856999987
36,5th_high11, , ,11,5721419.190000000409782,558355.740299999946728, ,51.640748155899999,-128.156686420999989
37,5th_high12, , ,12,5721418.685999999754131,558354.876500000013039, ,51.640743714300001,-128.156698986999999
38,5th_high13, , ,13,5721418.182000000029802,558354.012699999962933, ,51.640739272700003,-128.156711551999990
39,5th_high14, , ,14,5721417.678999999538064,558353.148999999975786, ,51.640734840100002,-128.156724115999992
40,5th_high15, , ,15,5721417.174999999813735,558352.285200000042096, ,51.640730398499997,-128.156736682000002
41,5th_high16, , ,16,5721416.671000000089407,558351.421399999991991, ,51.640725956899999,-128.156749246999993
42,5th_high17, , ,17,5721416.167000000365078,558350.557700000004843, ,51.640721515300001,-128.156761810999996
43,5th_high18, , ,18,5721415.662999999709427,558349.693899999954738, ,51.640717073700003,-128.156774377000005
44,5th_high19, , ,19,5721415.158999999985099,558348.830100000021048, ,51.640712632099998,-128.156786942999986
45,5th_high20, , ,20,5721414.655000000260770,558347.966400000033900, ,51.640708190500000,-128.156799506999988
46,5th_high21, , ,21,5721414.150999999605119,558347.102599999983795, ,51.640703748900002,-128.156812072000008
47,5th_high22, , ,22,5721413.646999999880791,558346.238800000050105, ,51.640699307299997,-128.156824637999989
48,5th_high23, , ,23,5721413.143000000156462,558345.375099999946542, ,51.640694865599997,-128.156837201999991
49,5th_high24, , ,24,5721412.639999999664724,558344.511300000012852, ,51.640690433000003,-128.156849767000011
50,5th_high25, , ,25,5721412.135999999940395,558343.647499999962747, ,51.640685991399998,-128.156862332999992
51,5th_high26, , ,26,5721411.632000000216067,558342.783799999975599, ,51.640681549800000,-128.156874896999994
52,5th_high27, , ,27,5721411.127999999560416,558341.920000000041910, ,51.640677108200002,-128.156887463000004
53,5th_high28, , ,28,5721410.623999999836087,558341.056199999991804, ,51.640672666599997,-128.156900027999995
54,5th_high30,5B,High,End,5721409.986999999731779,558339.964299999992363, ,51.640667052900000,-128.156915911999988
55,5th_mid0,5B,Mid,Start,5721426.757000000216067,558361.846299999975599, ,51.640815553600000,-128.156596930000006
56,5th_mid1, , ,1,5721426.389999999664724,558360.916199999977835, ,51.640812350600001,-128.156610430999990
57,5th_mid2, , ,2,5721426.021999999880791,558359.986099999980070, ,51.640809138599998,-128.156623931000013
58,5th_mid3, , ,3,5721425.655000000260770,558359.056100000045262, ,51.640805935600000,-128.156637431000007
59,5th_mid4, , ,4,5721425.287999999709427,558358.126000000047497, ,51.640802732600001,-128.156650931999991
60,5th_mid5, , ,5,5721424.919999999925494,558357.195900000049733, ,51.640799520599998,-128.156664432000014
61,5th_mid6, , ,6,5721424.553000000305474,558356.265800000051968, ,51.640796317600000,-128.156677932999997
62,5th_mid7, , ,7,5721424.185999999754131,558355.335700000054203, ,51.640793114600001,-128.156691434000010
63,5th_mid8, , ,8,5721423.817999999970198,558354.405600000056438, ,51.640789902599998,-128.156704934999993
64,5th_mid9, , ,9,5721423.451000000350177,558353.475600000005215, ,51.640786699600000,-128.156718433999998
65,5th_mid10, , ,10,5721423.082999999634922,558352.545500000007451, ,51.640783487599997,-128.156731935000010
66,5th_mid11, , ,11,5721422.716000000014901,558351.615400000009686, ,51.640780284599998,-128.156745435999994
67,5th_mid12, , ,12,5721422.349000000394881,558350.685300000011921, ,51.640777081499998,-128.156758937000006
68,5th_mid13, , ,13,5721421.980999999679625,558349.755200000014156, ,51.640773869500002,-128.156772437999990
69,5th_mid14, , ,14,5721421.614000000059605,558348.825199999962933, ,51.640770666500003,-128.156785936999995
70,5th_mid15, , ,15,5721421.247000000439584,558347.895099999965169, ,51.640767463499998,-128.156799438000007
71,5th_mid16, , ,16,5721420.878999999724329,558346.964999999967404, ,51.640764251500002,-128.156812938999991
72,5th_mid17, , ,17,5721420.512000000104308,558346.034899999969639, ,51.640761048400002,-128.156826439000014
73,5th_mid18, , ,18,5721420.144999999552965,558345.104799999971874, ,51.640757845400003,-128.156839939999998
74,5th_mid19, , ,19,5721419.776999999769032,558344.174800000037067, ,51.640754633400000,-128.156853439999992
75,5th_mid20, , ,20,5721419.410000000149012,558343.244700000039302, ,51.640751430400002,-128.156866939999986
76,5th_mid21, , ,21,5721419.042999999597669,558342.314600000041537, ,51.640748227300001,-128.156880440999998
77,5th_mid22, , ,22,5721418.674999999813735,558341.384500000043772, ,51.640745015299998,-128.156893942000011
78,5th_mid23, , ,23,5721418.308000000193715,558340.454400000046007, ,51.640741812300000,-128.156907442999994
79,5th_mid24, , ,24,5721417.940999999642372,558339.524300000048243, ,51.640738609200000,-128.156920942999989
80,5th_mid25, , ,25,5721417.572999999858439,558338.594299999997020, ,51.640735397199997,-128.156934443000011
81,5th_mid30,5B,Mid,End,5721417.075000000186265,558337.332999999984168, ,51.640731050799999,-128.156952751000006
82,5th_low0,5B,Low,Start,5721431.219999999739230,558358.384899999946356, ,51.640856037600003,-128.156646201000001
83,5th_low1, , ,1,5721430.786999999545515,558357.483299999963492, ,51.640852238299999,-128.156659300999991
84,5th_low2, , ,2,5721430.355000000447035,558356.581600000034086, ,51.640848447899998,-128.156672401999998
85,5th_low3, , ,3,5721429.922000000253320,558355.680000000051223, ,51.640844648600002,-128.156685501999988
86,5th_low4, , ,4,5721429.490000000223517,558354.778399999951944, ,51.640840858200001,-128.156698602000006
87,5th_low5, , ,5,5721429.057000000029802,558353.876700000022538, ,51.640837058899997,-128.156711704000003
88,5th_low6, , ,6,5721428.625000000000000,558352.975100000039674, ,51.640833268500003,-128.156724803000003
89,5th_low7, , ,7,5721428.191999999806285,558352.073500000056811, ,51.640829469200000,-128.156737902999993
90,5th_low8, , ,8,5721427.759999999776483,558351.171800000010990, ,51.640825678900001,-128.156751004999990
91,5th_low9, , ,9,5721427.326999999582767,558350.270200000028126, ,51.640821879500002,-128.156764105000008
92,5th_low10, , ,10,5721426.894999999552965,558349.368600000045262, ,51.640818089100001,-128.156777204000008
93,5th_low11, , ,11,5721426.462000000290573,558348.466899999999441, ,51.640814289799998,-128.156790306000005
94,5th_low12, , ,12,5721426.030000000260770,558347.565300000016578, ,51.640810499399997,-128.156803405999995
95,5th_low13, , ,13,5721425.597000000067055,558346.663700000033714, ,51.640806700100001,-128.156816504999995
96,5th_low14, , ,14,5721425.165000000037253,558345.762100000050850, ,51.640802909700000,-128.156829605000013
97,5th_low15, , ,15,5721424.731999999843538,558344.860400000005029, ,51.640799110400003,-128.156842707000010
98,5th_low16, , ,16,5721424.299999999813735,558343.958800000022165, ,51.640795320000002,-128.156855806000010
99,5th_low17, , ,17,5721423.866999999620020,558343.057200000039302, ,51.640791520599997,-128.156868906000000
100,5th_low18, , ,18,5721423.434999999590218,558342.155499999993481, ,51.640787730299998,-128.156882007999997
101,5th_low19, , ,19,5721423.002000000327826,558341.253900000010617, ,51.640783930900000,-128.156895107999986
102,5th_low20, , ,20,5721422.570000000298023,558340.352300000027753, ,51.640780140499999,-128.156908206999987
103,5th_low21, , ,21,5721422.137000000104308,558339.450599999981932, ,51.640776341200002,-128.156921309000012
104,5th_low22, , ,22,5721421.705000000074506,558338.548999999999069, ,51.640772550800001,-128.156934408000012
105,5th_low23, , ,23,5721421.271999999880791,558337.647400000016205, ,51.640768751400003,-128.156947508000002
106,5th_low30,5B,Low,End,5721420.770999999716878,558336.602100000018254, ,51.640764355599998,-128.156962695999994
107,Meay_Lower_0,MEAY,Low,Start,5723996.639999999664724,562442.613000000012107,Called Meay_Lower_1 in the table,51.663481459600000,-128.097173354000006
108,Meay_Lower_1, , ,1,5723995.652999999932945,562442.773900000029244, ,51.663472568300001,-128.097171204999995
109,Meay_Lower_2, , ,2,5723994.666000000201166,562442.934800000046380, ,51.663463676900001,-128.097169054999995
110,Meay_Lower_3, , ,3,5723993.678999999538064,562443.095699999947101, ,51.663454785500001,-128.097166904999995
111,Meay_Lower_4, , ,4,5723992.691999999806285,562443.256599999964237, ,51.663445894200002,-128.097164754999994
112,Meay_Lower_5, , ,5,5723991.705000000074506,562443.417499999981374, ,51.663437002800002,-128.097162606000012
113,Meay_Lower_6, , ,6,5723990.718000000342727,562443.578399999998510, ,51.663428111400002,-128.097160456000012
114,Meay_Lower_7, , ,7,5723989.730999999679625,562443.739300000015646, ,51.663419220100003,-128.097158306000011
115,Meay_Lower_8, , ,8,5723988.743999999947846,562443.900200000032783, ,51.663410328700003,-128.097156157000001
116,Meay_Lower_9, , ,9,5723987.757000000216067,562444.061100000049919, ,51.663401437300003,-128.097154007000000
117,Meay_Lower_10, , ,10,5723986.769999999552965,562444.221999999950640, ,51.663392545999997,-128.097151857000000
118,Meay_Lower_11, , ,11,5723985.782999999821186,562444.382899999967776, ,51.663383654599997,-128.097149707999989
119,Meay_Lower_12, , ,12,5723984.796000000089407,562444.543799999984913, ,51.663374763199997,-128.097147557999989
120,Meay_Lower_13, , ,13,5723983.809000000357628,562444.704700000002049, ,51.663365871899998,-128.097145407999989
121,Meay_Lower_14, , ,14,5723982.821999999694526,562444.865600000019185, ,51.663356980499998,-128.097143259000006
122,Meay_Lower_15, , ,15,5723981.834999999962747,562445.026500000036322, ,51.663348089099998,-128.097141109000006
123,Meay_Lower_16, , ,16,5723980.848000000230968,562445.187400000053458, ,51.663339197799999,-128.097138959000006
124,Meay_Lower_17, , ,17,5723979.860999999567866,562445.348299999954179, ,51.663330306399999,-128.097136809999995
125,Meay_Lower_18, , ,18,5723978.875000000000000,562445.509199999971315, ,51.663321424000003,-128.097134659999995
126,Meay_Lower_19, , ,19,5723977.888000000268221,562445.670099999988452, ,51.663312532699997,-128.097132509999994
127,Meay_Lower_20, , ,20,5723976.900999999605119,562445.831000000005588, ,51.663303641299997,-128.097130359999994
128,Meay_Lower_21, , ,21,5723975.913999999873340,562445.991900000022724, ,51.663294749899997,-128.097128211000012
129,Meay_Lower_22, , ,22,5723974.927000000141561,562446.152800000039861, ,51.663285858599998,-128.097126061000012
130,Meay_Lower_23, , ,23,5723973.940000000409782,562446.313700000056997, ,51.663276967199998,-128.097123911000011
131,Meay_Lower_24, , ,24,5723972.952999999746680,562446.474599999957718, ,51.663268075799998,-128.097121762000000
132,Meay_Lower_25, , ,25,5723971.966000000014901,562446.635499999974854, ,51.663259184499999,-128.097119612000000
133,Meay_Lower_26, , ,26,5723970.979000000283122,562446.796399999991991, ,51.663250293099999,-128.097117462000000
134,Meay_Lower_27, , ,27,5723969.991999999620020,562446.957300000009127, ,51.663241401800001,-128.097115312999989
135,Meay_Lower_28, , ,28,5723969.004999999888241,562447.118200000026263, ,51.663232510400000,-128.097113162999989
136,Meay_Lower_29, , ,29,5723968.018000000156462,562447.279100000043400, ,51.663223619000000,-128.097111012999989
137,Meay_Lower_30, , ,30,5723967.031000000424683,562447.439999999944121, ,51.663214727700002,-128.097108864000006
138,Meay_Lower_31, , ,31,5723966.043999999761581,562447.600899999961257, ,51.663205836300001,-128.097106714000006
139,Meay_Lower_32, , ,32,5723965.057000000029802,562447.761799999978393, ,51.663196944900001,-128.097104564000006
140,Meay_Lower_33, , ,33,5723964.070000000298023,562447.922699999995530, ,51.663188053600003,-128.097102414999995
141,Meay_Lower_34, , ,34,5723963.082999999634922,562448.083600000012666, ,51.663179162200002,-128.097100264999995
142,Meay_Lower_35, , ,35,5723962.095999999903142,562448.244500000029802, ,51.663170270800002,-128.097098114999994
143,Meay_Lower_36, , ,36,5723961.109000000171363,562448.405400000046939, ,51.663161379500004,-128.097095966000012
144,Meay_Lower_37, , ,37,5723960.122000000439584,562448.566299999947660, ,51.663152488100003,-128.097093816000012
145,Meay_Lower_38, , ,38,5723959.134999999776483,562448.727199999964796, ,51.663143596700003,-128.097091666000011
146,Meay_Lower_39, , ,39,5723958.148000000044703,562448.888099999981932, ,51.663134705399997,-128.097089517000001
147,Meay_Lower_40, , ,40,5723957.161000000312924,562449.048999999999069, ,51.663125813999997,-128.097087367000000
148,Meay_Lower_41, , ,41,5723956.173999999649823,562449.209900000016205, ,51.663116922599997,-128.097085217000000
149,Meay_Lower_42, , ,42,5723955.186999999918044,562449.370800000033341, ,51.663108031299998,-128.097083067999989
150,Meay_Lower_43, , ,43,5723954.200000000186265,562449.531700000050478, ,51.663099139899998,-128.097080917999989
151,Meay_Lower_44, , ,44,5723953.213000000454485,562449.692599999951199, ,51.663090248499998,-128.097078767999989
152,Meay_Lower_45, , ,45,5723952.225999999791384,562449.853499999968335, ,51.663081357199999,-128.097076619000006
153,Meay_Lower_46, , ,46,5723951.239000000059605,562450.014399999985471, ,51.663072465799999,-128.097074469000006
154,Meay_Lower_47,MEAY,Low,End,5723949.879999999888241,562450.236000000033528,Called Lower_2,51.663060223300000,-128.097071507999999
155,Meay_Mid_0,MEAY,Mid,Start,5723984.879999999888241,562429.797999999951571,Called Mid_1,51.663377156899998,-128.097360715999997
