ID,Site,Transect,StartEnd,UTMn,UTMe,Note
nb_martone_high_0,NB,High,Start,5724176.248,559817.7193,Called high1 in the table
nb_martone_high_1,,,1,5724177.209,559817.4411,
nb_martone_high_2,,,2,5724178.169,559817.1628,
nb_martone_high_3,,,3,5724179.13,559816.8846,
nb_martone_high_4,,,4,5724180.09,559816.6064,
nb_martone_high_5,,,5,5724181.051,559816.3281,
nb_martone_high_6,,,6,5724182.011,559816.0499,
nb_martone_high_7,,,7,5724182.972,559815.7716,
nb_martone_high_8,,,8,5724183.932,559815.4934,
nb_martone_high_9,,,9,5724184.893,559815.2152,
nb_martone_high_10,,,10,5724185.853,559814.9369,
nb_martone_high_11,,,11,5724186.814,559814.6587,
nb_martone_high_12,,,12,5724187.774,559814.3805,
nb_martone_high_13,,,13,5724188.735,559814.1022,
nb_martone_high_14,,,14,5724189.695,559813.824,
nb_martone_high_15,,,15,5724190.656,559813.5457,
nb_martone_high_16,,,16,5724191.616,559813.2675,
nb_martone_high_17,,,17,5724192.577,559812.9893,
nb_martone_high_18,,,18,5724193.537,559812.711,
nb_martone_high_19,,,19,5724194.498,559812.4328,
nb_martone_high_20,,,20,5724195.458,559812.1546,
nb_martone_high_21,,,21,5724196.419,559811.8763,
nb_martone_high_22,,,22,5724197.379,559811.5981,
nb_martone_high_23,,,23,5724198.34,559811.3198,
nb_martone_high3,NB,High,End,5724199.388,559811.0162,End happens to be called high3
nb_martone_mid_0,NB,Mid,Start,5724176.247,559807.3969,Called Mid1 in table
nb_martone_mid_1,,,1,5724177.247,559807.4235,
nb_martone_mid_2,,,2,5724178.246,559807.4501,
nb_martone_mid_3,,,3,5724179.246,559807.4768,
nb_martone_mid_4,,,4,5724180.246,559807.5034,
nb_martone_mid_5,,,5,5724181.245,559807.53,
nb_martone_mid_6,,,6,5724182.245,559807.5566,
nb_martone_mid_7,,,7,5724183.245,559807.5833,
nb_martone_mid_8,,,8,5724184.244,559807.6099,
