1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 690000003E988721
Is Mission Active?  true
Mission Start:  Sat Jan 01 04:40:00 PST 2000
Sample Rate:  Every 240 minute(s)
Number of Mission Samples:  2135
Total Samples:  2136
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 °C
Low Temperature Alarm:  -40 °C

Date/Time,Unit,Value
1/1/00 4:40:00 AM,C,22
1/1/00 8:40:00 AM,C,21.5
1/1/00 12:40:00 PM,C,21.5
1/1/00 4:40:00 PM,C,21.5
1/1/00 8:40:00 PM,C,22.5
1/2/00 12:40:00 AM,C,27
1/2/00 4:40:00 AM,C,20.5
1/2/00 8:40:00 AM,C,21
1/2/00 12:40:00 PM,C,15
1/2/00 4:40:00 PM,C,17
1/2/00 8:40:00 PM,C,19
1/3/00 12:40:00 AM,C,19.5
1/3/00 4:40:00 AM,C,21
1/3/00 8:40:00 AM,C,21
1/3/00 12:40:00 PM,C,21
1/3/00 4:40:00 PM,C,21.5
1/3/00 8:40:00 PM,C,20
1/4/00 12:40:00 AM,C,20
1/4/00 4:40:00 AM,C,20.5
1/4/00 8:40:00 AM,C,20
1/4/00 12:40:00 PM,C,20
1/4/00 4:40:00 PM,C,18.5
1/4/00 8:40:00 PM,C,11.5
1/5/00 12:40:00 AM,C,12
1/5/00 4:40:00 AM,C,11
1/5/00 8:40:00 AM,C,11
1/5/00 12:40:00 PM,C,11
1/5/00 4:40:00 PM,C,14.5
1/5/00 8:40:00 PM,C,11
1/6/00 12:40:00 AM,C,11.5
1/6/00 4:40:00 AM,C,11
1/6/00 8:40:00 AM,C,11.5
1/6/00 12:40:00 PM,C,11.5
1/6/00 4:40:00 PM,C,19
1/6/00 8:40:00 PM,C,15
1/7/00 12:40:00 AM,C,13
1/7/00 4:40:00 AM,C,12.5
1/7/00 8:40:00 AM,C,12
1/7/00 12:40:00 PM,C,12
1/7/00 4:40:00 PM,C,13
1/7/00 8:40:00 PM,C,15
1/8/00 12:40:00 AM,C,12
1/8/00 4:40:00 AM,C,11.5
1/8/00 8:40:00 AM,C,11.5
1/8/00 12:40:00 PM,C,11.5
1/8/00 4:40:00 PM,C,11.5
1/8/00 8:40:00 PM,C,21
1/9/00 12:40:00 AM,C,12
1/9/00 4:40:00 AM,C,12
1/9/00 8:40:00 AM,C,12
1/9/00 12:40:00 PM,C,12
1/9/00 4:40:00 PM,C,12
1/9/00 8:40:00 PM,C,13
1/10/00 12:40:00 AM,C,12.5
1/10/00 4:40:00 AM,C,12
1/10/00 8:40:00 AM,C,12
1/10/00 12:40:00 PM,C,12
1/10/00 4:40:00 PM,C,12
1/10/00 8:40:00 PM,C,14
1/11/00 12:40:00 AM,C,13
1/11/00 4:40:00 AM,C,13
1/11/00 8:40:00 AM,C,12.5
1/11/00 12:40:00 PM,C,12.5
1/11/00 4:40:00 PM,C,12.5
1/11/00 8:40:00 PM,C,12.5
1/12/00 12:40:00 AM,C,12
1/12/00 4:40:00 AM,C,12
1/12/00 8:40:00 AM,C,12
1/12/00 12:40:00 PM,C,11.5
1/12/00 4:40:00 PM,C,12
1/12/00 8:40:00 PM,C,12.5
1/13/00 12:40:00 AM,C,12.5
1/13/00 4:40:00 AM,C,12.5
1/13/00 8:40:00 AM,C,12.5
1/13/00 12:40:00 PM,C,10.5
1/13/00 4:40:00 PM,C,12.5
1/13/00 8:40:00 PM,C,12.5
1/14/00 12:40:00 AM,C,12.5
1/14/00 4:40:00 AM,C,12.5
1/14/00 8:40:00 AM,C,12.5
1/14/00 12:40:00 PM,C,11
1/14/00 4:40:00 PM,C,12.5
1/14/00 8:40:00 PM,C,13
1/15/00 12:40:00 AM,C,15
1/15/00 4:40:00 AM,C,13
1/15/00 8:40:00 AM,C,13
1/15/00 12:40:00 PM,C,11.5
1/15/00 4:40:00 PM,C,13
1/15/00 8:40:00 PM,C,13.5
1/16/00 12:40:00 AM,C,14.5
1/16/00 4:40:00 AM,C,13
1/16/00 8:40:00 AM,C,13.5
1/16/00 12:40:00 PM,C,12
1/16/00 4:40:00 PM,C,17.5
1/16/00 8:40:00 PM,C,13.5
1/17/00 12:40:00 AM,C,13.5
1/17/00 4:40:00 AM,C,12.5
1/17/00 8:40:00 AM,C,13
1/17/00 12:40:00 PM,C,11
1/17/00 4:40:00 PM,C,21.5
1/17/00 8:40:00 PM,C,14
1/18/00 12:40:00 AM,C,13.5
1/18/00 4:40:00 AM,C,12.5
1/18/00 8:40:00 AM,C,13
1/18/00 12:40:00 PM,C,12
1/18/00 4:40:00 PM,C,13.5
1/18/00 8:40:00 PM,C,12.5
1/19/00 12:40:00 AM,C,12.5
1/19/00 4:40:00 AM,C,12.5
1/19/00 8:40:00 AM,C,13
1/19/00 12:40:00 PM,C,13
1/19/00 4:40:00 PM,C,14.5
1/19/00 8:40:00 PM,C,13.5
1/20/00 12:40:00 AM,C,13
1/20/00 4:40:00 AM,C,13
1/20/00 8:40:00 AM,C,13
1/20/00 12:40:00 PM,C,13
1/20/00 4:40:00 PM,C,14.5
1/20/00 8:40:00 PM,C,12.5
1/21/00 12:40:00 AM,C,13
1/21/00 4:40:00 AM,C,12.5
1/21/00 8:40:00 AM,C,12.5
1/21/00 12:40:00 PM,C,12.5
1/21/00 4:40:00 PM,C,15
1/21/00 8:40:00 PM,C,13
1/22/00 12:40:00 AM,C,13
1/22/00 4:40:00 AM,C,13
1/22/00 8:40:00 AM,C,13
1/22/00 12:40:00 PM,C,13
1/22/00 4:40:00 PM,C,13.5
1/22/00 8:40:00 PM,C,14
1/23/00 12:40:00 AM,C,13.5
1/23/00 4:40:00 AM,C,13.5
1/23/00 8:40:00 AM,C,13.5
1/23/00 12:40:00 PM,C,13.5
1/23/00 4:40:00 PM,C,17.5
1/23/00 8:40:00 PM,C,30
1/24/00 12:40:00 AM,C,15.5
1/24/00 4:40:00 AM,C,14.5
1/24/00 8:40:00 AM,C,13
1/24/00 12:40:00 PM,C,13.5
1/24/00 4:40:00 PM,C,12
1/24/00 8:40:00 PM,C,26
1/25/00 12:40:00 AM,C,14
1/25/00 4:40:00 AM,C,13.5
1/25/00 8:40:00 AM,C,10.5
1/25/00 12:40:00 PM,C,11.5
1/25/00 4:40:00 PM,C,12.5
1/25/00 8:40:00 PM,C,28.5
1/26/00 12:40:00 AM,C,13
1/26/00 4:40:00 AM,C,13.5
1/26/00 8:40:00 AM,C,12
1/26/00 12:40:00 PM,C,11.5
1/26/00 4:40:00 PM,C,12.5
1/26/00 8:40:00 PM,C,17
1/27/00 12:40:00 AM,C,13
1/27/00 4:40:00 AM,C,13.5
1/27/00 8:40:00 AM,C,12.5
1/27/00 12:40:00 PM,C,12.5
1/27/00 4:40:00 PM,C,13
1/27/00 8:40:00 PM,C,13.5
1/28/00 12:40:00 AM,C,14.5
1/28/00 4:40:00 AM,C,14
1/28/00 8:40:00 AM,C,14
1/28/00 12:40:00 PM,C,13
1/28/00 4:40:00 PM,C,14
1/28/00 8:40:00 PM,C,14
1/29/00 12:40:00 AM,C,14
1/29/00 4:40:00 AM,C,14
1/29/00 8:40:00 AM,C,13.5
1/29/00 12:40:00 PM,C,13
1/29/00 4:40:00 PM,C,13.5
1/29/00 8:40:00 PM,C,13.5
1/30/00 12:40:00 AM,C,14
1/30/00 4:40:00 AM,C,13.5
1/30/00 8:40:00 AM,C,13.5
1/30/00 12:40:00 PM,C,12.5
1/30/00 4:40:00 PM,C,13.5
1/30/00 8:40:00 PM,C,13.5
1/31/00 12:40:00 AM,C,14
1/31/00 4:40:00 AM,C,13
1/31/00 8:40:00 AM,C,13
1/31/00 12:40:00 PM,C,12.5
1/31/00 4:40:00 PM,C,14.5
1/31/00 8:40:00 PM,C,13.5
2/1/00 12:40:00 AM,C,13.5
2/1/00 4:40:00 AM,C,13
2/1/00 8:40:00 AM,C,13
2/1/00 12:40:00 PM,C,12.5
2/1/00 4:40:00 PM,C,16
2/1/00 8:40:00 PM,C,13.5
2/2/00 12:40:00 AM,C,13.5
2/2/00 4:40:00 AM,C,13.5
2/2/00 8:40:00 AM,C,13
2/2/00 12:40:00 PM,C,13
2/2/00 4:40:00 PM,C,21.5
2/2/00 8:40:00 PM,C,14.5
2/3/00 12:40:00 AM,C,14.5
2/3/00 4:40:00 AM,C,14
2/3/00 8:40:00 AM,C,13.5
2/3/00 12:40:00 PM,C,13.5
2/3/00 4:40:00 PM,C,14
2/3/00 8:40:00 PM,C,13.5
2/4/00 12:40:00 AM,C,13.5
2/4/00 4:40:00 AM,C,13.5
2/4/00 8:40:00 AM,C,14
2/4/00 12:40:00 PM,C,14
2/4/00 4:40:00 PM,C,15.5
2/4/00 8:40:00 PM,C,14.5
2/5/00 12:40:00 AM,C,14
2/5/00 4:40:00 AM,C,14
2/5/00 8:40:00 AM,C,14
2/5/00 12:40:00 PM,C,14
2/5/00 4:40:00 PM,C,16
2/5/00 8:40:00 PM,C,15
2/6/00 12:40:00 AM,C,14.5
2/6/00 4:40:00 AM,C,14
2/6/00 8:40:00 AM,C,14.5
2/6/00 12:40:00 PM,C,14.5
2/6/00 4:40:00 PM,C,14.5
2/6/00 8:40:00 PM,C,16
2/7/00 12:40:00 AM,C,14.5
2/7/00 4:40:00 AM,C,14.5
2/7/00 8:40:00 AM,C,14.5
2/7/00 12:40:00 PM,C,14.5
2/7/00 4:40:00 PM,C,14.5
2/7/00 8:40:00 PM,C,15
2/8/00 12:40:00 AM,C,14.5
2/8/00 4:40:00 AM,C,14.5
