taxon,kelp_fucoid_turf,littler_groups,new_cat,new_cat_simple1,new_cat_simple2,new_cat_simple3,funct_Sep2020,flag
Acrochaetium sp.,filament,filament,filament,filament,filament,filament,NA,Removed because this is small filament that lives inside bryozoan; endophytes not considered
Acrosiphonia,filament_turf,filament,green turf,green turf,turf,turf,thin_turf,
Acrosiphonia arcta,filament_turf,filament,green turf,green turf,turf,turf,thin_turf,
Acrosiphonia coalita,filament_turf,filament,green turf,green turf,turf,turf,thin_turf,
Acrosiphonia combined,filament_turf,filament,green turf,green turf,turf,turf,thin_turf,
Acrosiphonia sp.,filament_turf,filament,green turf,green turf,turf,turf,thin_turf,
Agarum fimbriatum,Kelp,thick leathery,Kelp,Kelp,Kelp,Kelp,large_brown,
Ahnfeltia fastigiata,red turf,finely branching,red turf,red turf,turf,turf,turf,
Alaria,Kelp,thick leathery,Kelp,Kelp,Kelp,Kelp,large_brown,
Alaria marginata,Kelp,thick leathery,Kelp,Kelp,Kelp,Kelp,large_brown,
Analipus japonicus,brown turf,finely branching,brown turf,brown turf,turf,turf,turf,
Antithamnion defectum,filament,filament,filament,filament,filament,filament,thin_turf,
Antithamnionella floccosa,filament,filament,filament,filament,filament,filament,thin_turf,
Antithamnionella pacifica,filament,filament,filament,filament,filament,filament,thin_turf,
Antithamnionella spp.,filament,filament,filament,filament,filament,filament,thin_turf,
Bangia,filament,filament,red turf,red turf,turf,turf,thin_turf,
Bangia sp.,filament,filament,red turf,red turf,turf,turf,thin_turf,
Black spots on Fucus,filament,filament,filament,filament,filament,filament,NA,
Blidingia dawsonii,green turf,sheet,green turf,green turf,turf,turf,turf,
Blidingia minima,green turf,sheet,green turf,green turf,turf,turf,turf,
Blidingia sp.,green turf,sheet,green turf,green turf,turf,turf,turf,
Blidingia,green turf,sheet,green turf,green turf,turf,turf,turf,
Bossiella frondescens,articulated coralline,Jointed calcareous,articulated coralline,articulated coralline,articulated coralline,articulated coralline,turf,
Bossiella,articulated coralline,Jointed calcareous,articulated coralline,articulated coralline,articulated coralline,articulated coralline,turf,
Bossiella.articulate,articulated coralline,Jointed calcareous,articulated coralline,articulated coralline,articulated coralline,articulated coralline,turf,
