"","event_no","index_start","index_peak","index_end","duration","date_start","date_peak","date_end","intensity_mean","intensity_max","intensity_var","intensity_cumulative","intensity_mean_relThresh","intensity_max_relThresh","intensity_var_relThresh","intensity_cumulative_relThresh","intensity_mean_abs","intensity_max_abs","intensity_var_abs","intensity_cumulative_abs","rate_onset","rate_decline"
"1",1,346,349,353,8,1937-12-12,1937-12-15,1937-12-19,1.3218,1.6094,0.2005,10.5745,0.4385,0.7219,0.2001,3.5078,9.5,9.8,0.2138,76,0.1676,0.1421
"2",2,1128,1130,1132,5,1940-02-02,1940-02-04,1940-02-06,1.1481,1.3484,0.183,5.7404,0.3077,0.5077,0.1841,1.5387,8.6,8.8,0.1871,43,0.1454,0.2157
"3",3,1137,1147,1150,14,1940-02-11,1940-02-21,1940-02-24,1.1419,1.4778,0.1796,15.9866,0.2943,0.6226,0.1817,4.1197,8.5643,8.9,0.1781,119.9,0.072,0.2308
"4",4,1181,1185,1187,7,1940-03-26,1940-03-30,1940-04-01,1.2172,1.4451,0.1204,8.5206,0.1541,0.3813,0.119,1.0786,8.9571,9.2,0.1397,62.7,0.0849,0.1564
"5",5,1194,1197,1202,9,1940-04-08,1940-04-11,1940-04-16,1.2469,1.4233,0.1155,11.2221,0.22,0.3942,0.1155,1.9801,9.2444,9.4,0.1236,83.2,0.0939,0.0663
"6",6,1387,1390,1409,23,1940-10-18,1940-10-21,1940-11-09,2.0471,2.8042,0.4366,47.083,0.8072,1.4923,0.4027,18.5646,11.587,12.5,0.5371,266.5,0.4116,0.0805
"7",7,1471,1569,1582,112,1941-01-10,1941-04-18,1941-05-01,1.2687,1.876,0.2059,142.0954,0.3329,0.8677,0.1647,37.2816,8.9518,10,0.42,1002.6,0.0108,0.0543
"8",8,1614,1614,1618,5,1941-06-02,1941-06-02,1941-06-06,1.1373,1.3226,0.145,5.6863,0.2187,0.391,0.136,1.0936,10.46,10.6,0.114,52.3,0.5762,0.0891
"9",9,1708,1710,1712,5,1941-09-04,1941-09-06,1941-09-08,1.2072,1.3677,0.1607,6.0361,0.2437,0.4045,0.1657,1.2186,11.24,11.4,0.1673,56.2,0.1688,0.2724
"10",10,1763,1770,1772,10,1941-10-29,1941-11-05,1941-11-07,1.5257,1.8045,0.1819,15.2574,0.3239,0.6174,0.1881,3.2387,10.98,11.2,0.1751,109.8,0.0629,0.2322
"11",11,1800,1801,1804,5,1941-12-05,1941-12-06,1941-12-09,1.1447,1.3779,0.1622,5.7235,0.1923,0.4142,0.15,0.9613,9.54,9.8,0.1949,47.7,0.1944,0.1447
"12",12,1859,1873,1879,21,1942-02-02,1942-02-16,1942-02-22,0.9641,1.3809,0.1406,20.2456,0.1208,0.5419,0.1409,2.5371,8.3952,8.8,0.1359,176.3,0.0376,0.0778
"13",13,2856,2862,2863,8,1944-10-26,1944-11-01,1944-11-02,1.6672,1.9074,0.1999,13.3378,0.4402,0.6981,0.2109,3.5213,11.2125,11.4,0.1808,89.7,0.1589,0.5769
"14",14,2880,2880,2884,5,1944-11-19,1944-11-19,1944-11-23,1.2633,1.5572,0.1758,6.3166,0.2032,0.4877,0.17,1.0161,10.14,10.5,0.2191,50.7,0.5343,0.1006
"15",15,2937,2940,2942,6,1945-01-15,1945-01-18,1945-01-20,0.9316,1.0207,0.0476,5.5898,0.0987,0.1858,0.0469,0.5923,8.5167,8.6,0.0408,51.1,0.068,0.0706
"16",16,5795,5797,5800,6,1952-11-12,1952-11-14,1952-11-17,1.4862,1.6857,0.1347,8.917,0.3765,0.571,0.1332,2.2587,10.5833,10.8,0.1602,63.5,0.1743,0.1514
"17",17,6532,6536,6537,6,1954-11-19,1954-11-23,1954-11-24,1.3395,1.7887,0.2272,8.0372,0.2818,0.7361,0.2312,1.6909,10.2,10.6,0.2,61.2,0.1553,0.4348
"18",18,7527,7529,7537,11,1957-08-10,1957-08-12,1957-08-20,1.5652,2.4845,0.5273,17.2177,0.6475,1.571,0.5295,7.1225,11.7636,12.7,0.5372,129.4,0.7841,0.206
"19",19,7722,7725,7728,7,1958-02-21,1958-02-24,1958-02-27,1.1991,1.5717,0.3192,8.3938,0.3289,0.7006,0.3168,2.3025,8.6286,9,0.32,60.4,0.2123,0.2181
"20",20,7752,7754,7756,5,1958-03-23,1958-03-25,1958-03-27,1.22,1.4204,0.1246,6.0999,0.1649,0.3658,0.1255,0.8245,8.9,9.1,0.1225,44.5,0.1663,0.1347
"21",21,9497,9498,9501,5,1963-01-01,1963-01-02,1963-01-05,1.0958,1.299,0.2041,5.4791,0.2832,0.4858,0.2031,1.4162,8.88,9.1,0.228,44.4,0.2177,0.1262
"22",22,9764,9783,9800,37,1963-09-25,1963-10-14,1963-10-31,2.356,4.0337,0.92,87.1722,1.0827,2.6987,0.9031,40.0589,12.1054,13.8,0.9273,447.9,0.1478,0.165
"23",23,9854,9854,9859,6,1963-12-24,1963-12-24,1963-12-29,1.525,1.9225,0.3869,9.1501,0.693,1.0826,0.381,4.1581,9.45,9.9,0.4231,56.7,1.2222,0.1977
"24",24,10564,10566,10570,7,1965-12-03,1965-12-05,1965-12-09,1.3199,1.8503,0.3125,9.2395,0.3566,0.8755,0.3012,2.4962,9.7429,10.3,0.3457,68.2,0.4284,0.2286
"25",25,11237,11242,11245,9,1967-10-07,1967-10-12,1967-10-15,2.5926,3.421,0.6357,23.3333,1.2781,2.0955,0.6348,11.5026,12.3778,13.2,0.6379,111.4,0.3337,0.636
"26",26,11581,11586,11586,6,1968-09-15,1968-09-20,1968-09-20,1.4654,1.7679,0.2689,8.7922,0.3896,0.6568,0.2601,2.3374,11.4167,11.7,0.2639,68.5,0.2255,1.3923
"27",27,14656,14658,14661,6,1977-02-15,1977-02-17,1977-02-20,0.8804,0.881,7e-04,5.2822,0.0387,0.0419,0.0054,0.2321,8.3,8.3,0,49.8,0.0407,0.0293
"28",28,15229,15232,15234,6,1978-09-11,1978-09-14,1978-09-16,1.9707,2.8243,0.6423,11.8243,0.9466,1.7955,0.642,5.6794,11.95,12.8,0.6411,71.7,0.5497,0.6734
"29",29,15243,15246,15252,10,1978-09-25,1978-09-28,1978-10-04,2.2863,3.1257,0.615,22.8633,1.0634,1.9181,0.6198,10.6343,12.15,13,0.6205,121.5,0.5497,0.2852
"30",30,15257,15258,15261,5,1978-10-09,1978-10-10,1978-10-13,2.2348,3.0088,0.6841,11.1741,0.9179,1.6987,0.6873,4.5897,12.02,12.8,0.687,60.1,1.1399,0.4938
"31",31,15701,15709,15711,11,1979-12-27,1980-01-04,1980-01-06,1.1518,1.5331,0.2025,12.6702,0.3342,0.7213,0.2078,3.6762,8.9727,9.3,0.1679,98.7,0.0891,0.3041
"32",32,16067,16071,16072,6,1980-12-27,1980-12-31,1981-01-01,1.1013,1.1634,0.0566,6.6075,0.2794,0.3471,0.0597,1.6762,8.9667,9,0.0516,53.8,0.0639,0.1488
"33",33,16081,16093,16102,22,1981-01-10,1981-01-22,1981-01-31,1.1733,1.4569,0.1955,25.8129,0.3445,0.6277,0.1936,7.5792,8.7364,9,0.2105,192.2,0.0632,0.0556
"34",34,16844,16845,16848,5,1983-02-12,1983-02-13,1983-02-16,1.1184,1.3771,0.1671,5.5921,0.2784,0.5361,0.1671,1.3921,8.54,8.8,0.1673,42.7,0.3685,0.1418
"35",35,16860,16861,16865,6,1983-02-28,1983-03-01,1983-03-05,1.1212,1.3459,0.184,6.7269,0.2098,0.4426,0.1845,1.2588,8.5833,8.8,0.1835,51.5,0.3251,0.0838
"36",36,16870,16878,16897,28,1983-03-10,1983-03-18,1983-04-06,1.5396,2.2108,0.2381,43.1081,0.5013,1.1852,0.2491,14.0361,9.2107,9.8,0.2409,257.9,0.1141,0.0537
"37",37,16930,16932,16937,8,1983-05-09,1983-05-11,1983-05-16,1.2542,1.3947,0.1165,10.0334,0.2599,0.3974,0.1148,2.0792,10,10.1,0.1069,80,0.2138,0.0817
"38",38,16985,16988,16990,6,1983-07-03,1983-07-06,1983-07-08,1.2188,1.4596,0.1647,7.3127,0.2517,0.491,0.1605,1.5103,11.15,11.4,0.1871,66.9,0.2249,0.1974
"39",39,17020,17022,17024,5,1983-08-07,1983-08-09,1983-08-11,1.3731,1.6726,0.2248,6.8653,0.4606,0.7613,0.2262,2.3032,11.6,11.9,0.2236,58,0.3027,0.2162
"40",40,17034,17039,17041,8,1983-08-21,1983-08-26,1983-08-28,1.4366,1.7723,0.2768,11.4927,0.504,0.8387,0.2769,4.0324,11.575,11.9,0.2765,92.6,0.1798,0.332
"41",41,17125,17125,17129,5,1983-11-20,1983-11-20,1983-11-24,1.196,1.2907,0.0765,5.98,0.1406,0.2265,0.0736,0.7032,10.04,10.2,0.114,50.2,0.2335,0.0454
"42",42,17232,17234,17236,5,1984-03-06,1984-03-08,1984-03-10,1.2217,1.3019,0.0781,6.1085,0.269,0.349,0.0723,1.3452,8.72,8.8,0.0837,43.6,0.1133,0.1474
"43",43,17396,17399,17402,7,1984-08-17,1984-08-20,1984-08-23,2.0165,2.83,0.5342,14.1152,1.0903,1.9032,0.5329,7.6323,12.1857,13,0.5336,85.3,0.4915,0.5074
"44",44,17449,17451,17454,6,1984-10-09,1984-10-11,1984-10-14,1.868,2.315,0.3571,11.2078,0.5481,0.9981,0.3496,3.2884,11.65,12.1,0.3507,69.9,0.4464,0.2222
"45",45,18192,18200,18202,11,1986-10-22,1986-10-30,1986-11-01,1.8249,2.5636,0.4508,20.0741,0.575,1.34,0.4685,6.3246,11.4182,12.1,0.4262,125.6,0.2062,0.5579
"46",46,18253,18257,18261,9,1986-12-22,1986-12-26,1986-12-30,1.0525,1.2655,0.1094,9.4728,0.2189,0.4316,0.1053,1.9704,8.9889,9.2,0.1453,80.9,0.0998,0.1359
"47",47,18350,18352,18356,7,1987-03-29,1987-03-31,1987-04-04,1.3546,1.5291,0.1241,9.4823,0.2896,0.4619,0.1231,2.027,9.1429,9.3,0.1134,64,0.1843,0.095
"48",48,18360,18362,18364,5,1987-04-08,1987-04-10,1987-04-12,1.1038,1.144,0.0313,5.5191,0.0697,0.1103,0.0357,0.3485,9.06,9.1,0.0548,45.3,0.0398,0.0607
"49",49,18387,18388,18391,5,1987-05-05,1987-05-06,1987-05-09,1.1794,1.5255,0.2033,5.8969,0.1774,0.5232,0.2031,0.887,9.78,10.1,0.1924,48.9,0.4405,0.1547
"50",50,18526,18528,18530,5,1987-09-21,1987-09-23,1987-09-25,1.8706,2.3907,0.4927,9.3528,0.7174,1.2374,0.501,3.5871,11.78,12.3,0.497,58.9,0.4676,0.4928
"51",51,18576,18578,18583,8,1987-11-10,1987-11-12,1987-11-17,1.8938,2.2169,0.2494,15.1507,0.7744,1.0839,0.258,6.1955,11.025,11.4,0.2375,88.2,0.4929,0.1475
"52",52,18652,18655,18656,5,1988-01-25,1988-01-28,1988-01-29,1.0967,1.3044,0.1434,5.4833,0.269,0.4755,0.1429,1.3451,8.6,8.8,0.1414,43,0.1221,0.3261
"53",53,19286,19292,19293,8,1989-10-20,1989-10-26,1989-10-27,1.756,2.1838,0.3335,14.0484,0.4721,0.9277,0.3546,3.7769,11.4125,11.8,0.3044,91.3,0.1382,0.4143
"54",54,19352,19354,19357,6,1989-12-25,1989-12-27,1989-12-30,1.1287,1.3862,0.218,6.7723,0.3,0.5568,0.2162,1.8,9.0333,9.3,0.2338,54.2,0.2811,0.2092
"55",55,19546,19549,19554,9,1990-07-07,1990-07-10,1990-07-15,1.3197,1.7914,0.2906,11.8777,0.3464,0.8168,0.2892,3.118,11.3444,11.8,0.2744,102.1,0.2545,0.1613
"56",56,19566,19567,19575,10,1990-07-27,1990-07-28,1990-08-05,1.3509,1.6827,0.2785,13.509,0.4319,0.7613,0.2791,4.3195,11.58,11.9,0.2821,115.8,0.627,0.1022
"57",57,19596,19597,19603,8,1990-08-26,1990-08-27,1990-09-02,1.3891,1.7798,0.2676,11.1132,0.4491,0.8452,0.2693,3.593,11.4875,11.9,0.2748,91.9,0.4741,0.0758
"58",58,20122,20126,20128,7,1992-02-03,1992-02-07,1992-02-09,1.0994,1.2611,0.1365,7.696,0.257,0.4174,0.1368,1.7993,8.5429,8.7,0.1397,59.8,0.0823,0.1967
"59",59,20141,20145,20175,35,1992-02-22,1992-02-26,1992-03-27,1.26,1.5648,0.1966,44.0989,0.2935,0.6845,0.1751,10.2717,8.7914,9.2,0.2454,307.7,0.164,0.0174
"60",60,20186,20197,20198,13,1992-04-07,1992-04-18,1992-04-19,1.2042,1.576,0.1823,15.654,0.1795,0.5677,0.1857,2.333,9.2231,9.7,0.2204,119.9,0.0445,0.3557
"61",61,20212,20215,20217,6,1992-05-03,1992-05-06,1992-05-08,1.2053,1.3255,0.1096,7.2319,0.2033,0.3232,0.11,1.2199,9.7667,9.9,0.1033,58.6,0.0738,0.1661
"62",62,20222,20232,20244,23,1992-05-13,1992-05-23,1992-06-04,1.2885,2.9685,0.4512,29.6358,0.3269,2.0039,0.452,7.5186,10.3391,12,0.4859,237.8,0.1965,0.1522
"63",63,20258,20260,20263,6,1992-06-18,1992-06-20,1992-06-23,1.3266,2.0531,0.381,7.9597,0.4115,1.14,0.3807,2.469,10.9833,11.7,0.3817,65.9,0.4411,0.3191
"64",64,20281,20283,20286,6,1992-07-11,1992-07-13,1992-07-16,1.2183,1.5418,0.2182,7.3097,0.2467,0.5684,0.2179,1.4799,11.2833,11.6,0.2229,67.7,0.2835,0.1431
"65",65,20293,20294,20297,5,1992-07-23,1992-07-24,1992-07-27,1.5436,2.011,0.3495,7.7181,0.6116,1.0742,0.3458,3.058,11.74,12.2,0.3435,58.7,0.558,0.3501
"66",66,20314,20325,20327,14,1992-08-13,1992-08-24,1992-08-26,1.5359,2.4577,0.4526,21.5022,0.6111,1.5258,0.45,8.5549,11.7071,12.6,0.4446,163.9,0.1105,0.5127
"67",67,20593,20598,20629,37,1993-05-19,1993-05-24,1993-06-24,1.4789,2.1421,0.3122,54.7186,0.5513,1.1787,0.3083,20.3987,10.8297,11.4,0.3574,400.7,0.2095,0.0341
"68",68,20752,20756,20756,5,1993-10-25,1993-10-29,1993-10-29,1.4434,1.6426,0.1133,7.2171,0.1972,0.4142,0.1258,0.9858,11.04,11.2,0.0894,55.2,0.2634,0.479
"69",69,20845,20849,20849,5,1994-01-26,1994-01-30,1994-01-30,1.1042,1.3188,0.2094,5.521,0.2755,0.4884,0.2082,1.3774,8.6,8.8,0.2,43,0.1075,0.5933
"70",70,21037,21037,21043,7,1994-08-06,1994-08-06,1994-08-12,1.2592,1.5647,0.2138,8.8145,0.3461,0.6484,0.2134,2.4226,11.4857,11.8,0.2193,80.4,0.8018,0.0966
"71",71,21323,21325,21327,5,1995-05-19,1995-05-21,1995-05-23,1.042,1.1218,0.0616,5.2102,0.069,0.149,0.0572,0.3452,10.02,10.1,0.0447,50.1,0.0528,0.0666
"72",72,21371,21371,21375,5,1995-07-06,1995-07-06,1995-07-10,1.425,1.8596,0.4134,7.1249,0.4516,0.891,0.4145,2.2581,11.4,11.8,0.4,57,1.3819,0.2837
"73",73,21459,21479,21481,23,1995-10-02,1995-10-22,1995-10-24,1.9142,2.5183,0.3593,44.0267,0.6114,1.2181,0.3671,14.0614,11.6783,12.2,0.3717,268.6,0.0546,0.4643
"74",74,21517,21519,21522,6,1995-11-29,1995-12-01,1995-12-04,1.1498,1.3356,0.114,6.8986,0.1454,0.3271,0.106,0.8723,9.7,9.9,0.1549,58.2,0.1298,0.1712
"75",75,21557,21558,21564,8,1996-01-08,1996-01-09,1996-01-15,1.1806,1.6094,0.2292,9.4451,0.3563,0.789,0.2318,2.8502,8.8375,9.3,0.2504,70.7,0.4811,0.11
"76",76,21630,21631,21634,5,1996-03-21,1996-03-22,1996-03-25,1.1877,1.2613,0.0589,5.9384,0.1381,0.2142,0.0604,0.6903,8.84,8.9,0.0548,44.2,0.1538,0.0995
"77",77,21655,21679,21683,29,1996-04-15,1996-05-09,1996-05-13,1.5509,2.0471,0.32,44.977,0.5487,1.0458,0.3215,15.9114,9.9483,10.7,0.4154,288.5,0.0386,0.2265
"78",78,22041,22046,22048,8,1997-05-06,1997-05-11,1997-05-13,1.4213,2.0947,0.3259,11.3708,0.4224,1.0974,0.3262,3.3792,10.0875,10.8,0.3523,80.7,0.2102,0.4267
"79",79,22068,22070,22091,24,1997-06-02,1997-06-04,1997-06-25,1.5074,2.4769,0.4623,36.1781,0.5973,1.5587,0.4657,14.3348,11.025,11.8,0.3981,264.6,0.597,0.0827
"80",80,22097,22108,22110,14,1997-07-01,1997-07-12,1997-07-14,1.7352,3.1582,0.5956,24.2931,0.767,2.1845,0.5926,10.738,11.7,13.2,0.6373,163.8,0.1913,0.7558
"81",81,22153,22186,22206,54,1997-08-26,1997-09-28,1997-10-18,2.1797,4.3257,0.9006,117.7041,1.0508,3.1181,0.8564,56.7434,12.1037,14.2,0.8705,653.6,0.0927,0.1342
"82",82,22215,22222,22228,14,1997-10-27,1997-11-03,1997-11-09,1.5635,2.3539,0.3417,21.8893,0.3612,1.1561,0.3438,5.0568,11.0143,11.8,0.3527,154.2,0.1548,0.1876
"83",83,22236,22246,22286,51,1997-11-17,1997-11-27,1998-01-06,1.3079,2.0151,0.2348,66.704,0.3816,0.9852,0.2426,19.4615,9.6078,10.7,0.463,490,0.0899,0.0245
"84",84,22291,22353,22390,100,1998-01-11,1998-03-14,1998-04-20,1.5425,2.253,0.2833,154.248,0.6126,1.2523,0.2782,61.2616,9.156,9.8,0.3109,915.6,0.0204,0.0342
"85",85,22398,22401,22415,18,1998-04-28,1998-05-01,1998-05-15,1.1787,1.756,0.209,21.2158,0.1797,0.7555,0.2089,3.234,9.7667,10.2,0.2058,175.8,0.2312,0.0471
"86",86,22442,22447,22449,8,1998-06-11,1998-06-16,1998-06-18,1.359,1.6293,0.1791,10.8722,0.4599,0.7303,0.1797,3.6794,10.9,11.2,0.1852,87.2,0.1167,0.3392
"87",87,22466,22469,22471,6,1998-07-05,1998-07-08,1998-07-10,1.2171,1.7244,0.2761,7.3026,0.2453,0.749,0.2757,1.4716,11.1833,11.7,0.2714,67.1,0.2822,0.3965
"88",88,22519,22521,22523,5,1998-08-27,1998-08-29,1998-08-31,1.257,1.4966,0.2152,6.2848,0.3183,0.5581,0.2161,1.5917,11.36,11.6,0.2191,56.8,0.2482,0.3909
"89",89,24130,24135,24141,12,2003-01-24,2003-01-29,2003-02-04,1.1219,1.4118,0.1758,13.4627,0.2906,0.5819,0.1756,3.487,8.6083,8.9,0.173,103.3,0.135,0.0863
