Date,Quadrat,Meter.point,Sampler,Recorder,Bedrock,Boulder,Cobble,Sand.Gravel.Pebble,Water,SiteHeightYear,SUBSTRATE.ROCK,SUBSTRATE.SAND,WATER,Pebble,SAND.SCOUR,SUBSTRATE.Clam.shell,Site,Zone,Year,UID,Shore_height_cm,Lat,Long,Taxon,Abundance,taxon_revised,taxon_lumped,taxon_lumped2,taxon_lumped3,non.alga.flag,motile_sessile,Notes,kelp_fucoid_turf,littler_groups,new_cat,new_cat_simple1,new_cat_simple2,new_cat_simple3
2012-07-03,1,2,SL,SL,NA,100,0,0,0,Foggy Cove LOW 2012,NA,NA,NA,NA,NA,NA,Foggy Cove,LOW,2012,Foggy Cove LOW 2012 1,90,51.6512790755945,-128.143508817972,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-07-03,2,6,PTM,JJ,NA,0,0,0,0,Foggy Cove LOW 2012,NA,NA,NA,NA,NA,NA,Foggy Cove,LOW,2012,Foggy Cove LOW 2012 2,107,51.6512578810354,-128.143555523537,bare rock,15,bare rock,Bare rock,Bare rock,Bare rock,Substratum,NA,NA,NA,NA,NA,NA,NA,NA
2012-07-03,3,7,PTM,JJ,NA,0,0,0,0,Foggy Cove LOW 2012,NA,NA,NA,NA,NA,NA,Foggy Cove,LOW,2012,Foggy Cove LOW 2012 3,68,51.6512525801477,-128.143567200326,bare rock,15,bare rock,Bare rock,Bare rock,Bare rock,Substratum,NA,NA,NA,NA,NA,NA,NA,NA
2012-07-03,4,14,SL,SL,NA,45,50,5,0,Foggy Cove LOW 2012,NA,NA,NA,NA,NA,NA,Foggy Cove,LOW,2012,Foggy Cove LOW 2012 4,75,51.6512154828701,-128.143648934707,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-07-03,5,16,SL,SL,NA,50,50,0,10,Foggy Cove LOW 2012,NA,NA,NA,NA,NA,NA,Foggy Cove,LOW,2012,Foggy Cove LOW 2012 5,75,51.6512048810641,-128.143672286792,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-07-03,6,23,PTM,JJ,NA,0,0,0,0,Foggy Cove LOW 2012,NA,NA,NA,NA,NA,NA,Foggy Cove,LOW,2012,Foggy Cove LOW 2012 6,117,51.6511677837124,-128.143754021002,bare rock,10,bare rock,Bare rock,Bare rock,Bare rock,Substratum,NA,NA,NA,NA,NA,NA,NA,NA
2012-07-03,7,24,PTM,JJ,NA,0,0,0,0,Foggy Cove LOW 2012,NA,NA,NA,NA,NA,NA,Foggy Cove,LOW,2012,Foggy Cove LOW 2012 7,124,51.6511624828046,-128.143765697744,bare rock,4,bare rock,Bare rock,Bare rock,Bare rock,Substratum,NA,NA,NA,NA,NA,NA,NA,NA
2012-07-03,8,27,PTM,JJ,NA,0,0,0,0,Foggy Cove LOW 2012,NA,NA,NA,NA,NA,NA,Foggy Cove,LOW,2012,Foggy Cove LOW 2012 8,131,51.6511465890543,-128.14380072634,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-07-03,9,30,SL,SL,NA,55,40,5,25,Foggy Cove LOW 2012,NA,NA,NA,NA,NA,NA,Foggy Cove,LOW,2012,Foggy Cove LOW 2012 9,105,51.6511306863028,-128.14383575508,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-07-03,10,33,SL,SL,NA,100,0,0,0,Foggy Cove LOW 2012,NA,NA,NA,NA,NA,NA,Foggy Cove,LOW,2012,Foggy Cove LOW 2012 10,135,51.6511147925418,-128.143870785071,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
