Site,Zone,taxon,Abundance,rank,total,prop,csum
Fifth Beach,LOW,Alaria marginata,15.15,1,121.9,0.12,0.12
Fifth Beach,LOW,Pyropia abbottiae,13,2,121.9,0.11,0.23
Fifth Beach,LOW,Hildenbrandia sp.,11.85,3,121.9,0.1,0.33
Fifth Beach,LOW,Phyllospadix scouleri,11.8,4,121.9,0.1,0.42
Fifth Beach,LOW,Pyropia perforata,8.4,5,121.9,0.07,0.49
Fifth Beach,LOW,Plocamium violaceum,7.3,6,121.9,0.06,0.55
Fifth Beach,LOW,Neorhodomela larix,6.5,7,121.9,0.05,0.61
Fifth Beach,LOW,Mazzaella splendens,6.3,8,121.9,0.05,0.66
Fifth Beach,LOW,Ptilota filicina,5.4,9,121.9,0.04,0.7
Fifth Beach,LOW,Chamberlainium tumidum,5.05,10,121.9,0.04,0.74
Fifth Beach,LOW,Microcladia borealis,3.9,11,121.9,0.03,0.78
Fifth Beach,LOW,Corallina vancouveriensis,2.65,12,121.9,0.02,0.8
Fifth Beach,LOW,Cryptosiphonia woodii,2.4,13,121.9,0.02,0.82
Fifth Beach,LOW,Phyllospadix torreyi,2,14,121.9,0.02,0.83
Fifth Beach,LOW,Endocladia muricata,1.8,15,121.9,0.01,0.85
Fifth Beach,MID,Pyropia abbottiae,28.7,1,110.5,0.26,0.26
Fifth Beach,MID,Phyllospadix scouleri,11.6,2,110.5,0.11,0.36
Fifth Beach,MID,Hildenbrandia sp.,7.4,3,110.5,0.07,0.43
Fifth Beach,MID,Halosaccion glandiforme,5.7,4,110.5,0.05,0.48
Fifth Beach,MID,Cryptosiphonia woodii,4.5,5,110.5,0.04,0.52
Fifth Beach,MID,Corallina vancouveriensis,4.4,6,110.5,0.04,0.56
Fifth Beach,MID,Chamberlainium tumidum,4.3,7,110.5,0.04,0.6
Fifth Beach,MID,Alaria marginata,4.2,8,110.5,0.04,0.64
Fifth Beach,MID,Anemone,4.2,9,110.5,0.04,0.68
Fifth Beach,MID,Neorhodomela larix,3.4,10,110.5,0.03,0.71
Fifth Beach,MID,Fucus distichus,2.95,11,110.5,0.03,0.74
Fifth Beach,MID,Pyropia perforata,2.9,12,110.5,0.03,0.76
Fifth Beach,MID,Acrosiphonia coalita,2.3,13,110.5,0.02,0.78
Fifth Beach,MID,Ulva fenestrata,2.15,14,110.5,0.02,0.8
Fifth Beach,MID,Bossiella frondifera,1.85,15,110.5,0.02,0.82
Fifth Beach,HIGH,Barnacle,33.1,1,115.8,0.29,0.29
Fifth Beach,HIGH,Mytilus sp.,29.25,2,115.8,0.25,0.54
Fifth Beach,HIGH,Fucus distichus,16.25,3,115.8,0.14,0.68
Fifth Beach,HIGH,Hildenbrandia sp.,13.6,4,115.8,0.12,0.8
Fifth Beach,HIGH,Pyropia abbottiae,4.3,5,115.8,0.04,0.83
Fifth Beach,HIGH,Endocladia muricata,3.8,6,115.8,0.03,0.87
Fifth Beach,HIGH,Pollicipes polymerus,3.3,7,115.8,0.03,0.89
Fifth Beach,HIGH,Pyropia perforata,2.25,8,115.8,0.02,0.91
Fifth Beach,HIGH,Mastocarpus sp.,1.75,9,115.8,0.02,0.93
Fifth Beach,HIGH,Pyropia fucicola,1.6,10,115.8,0.01,0.94
Fifth Beach,HIGH,Chamberlainium tumidum,1,11,115.8,0.01,0.95
Fifth Beach,HIGH,Acrosiphonia arcta,0.9,12,115.8,0.01,0.96
Fifth Beach,HIGH,Wildmania norrisii,0.8,13,115.8,0.01,0.97
Fifth Beach,HIGH,Savoiea robusta,0.6,14,115.8,0.01,0.97
Fifth Beach,HIGH,Callithamnion pikeanum,0.55,15,115.8,0,0.98
Foggy Cove,LOW,Alaria marginata,45.9,1,140.2,0.33,0.33
Foggy Cove,LOW,Fucus distichus,18.6,2,140.2,0.13,0.46
Foggy Cove,LOW,Acrosiphonia coalita,10.1,3,140.2,0.07,0.53
Foggy Cove,LOW,Halosaccion glandiforme,6.1,4,140.2,0.04,0.58
Foggy Cove,LOW,Cryptosiphonia woodii,6.05,5,140.2,0.04,0.62
Foggy Cove,LOW,Egregia menziesii,6,6,140.2,0.04,0.66
Foggy Cove,LOW,Pyropia perforata,5.6,7,140.2,0.04,0.7
Foggy Cove,LOW,Chamberlainium tumidum,4.25,8,140.2,0.03,0.73
Foggy Cove,LOW,Phyllospadix serrulatus,3.2,9,140.2,0.02,0.75
Foggy Cove,LOW,Mastocarpus sp.,2.9,10,140.2,0.02,0.78
Foggy Cove,LOW,Bossiella frondescens,2.75,11,140.2,0.02,0.79
Foggy Cove,LOW,Corallina vancouveriensis,2.7,12,140.2,0.02,0.81
Foggy Cove,LOW,Neogastroclonium subarticulatum,2.5,13,140.2,0.02,0.83
Foggy Cove,LOW,Hildenbrandia sp.,2.05,14,140.2,0.01,0.85
Foggy Cove,LOW,Mazzaella oregona,1.9,15,140.2,0.01,0.86
Foggy Cove,MID,Hildenbrandia sp.,11.6,1,35.8,0.32,0.32
Foggy Cove,MID,Barnacle,7.7,2,35.8,0.21,0.54
Foggy Cove,MID,Endocladia muricata,5.7,3,35.8,0.16,0.7
Foggy Cove,MID,Fucus distichus,3.25,4,35.8,0.09,0.79
Foggy Cove,MID,Chamberlainium tumidum,2.85,5,35.8,0.08,0.87
Foggy Cove,MID,Mastocarpus sp.,2.05,6,35.8,0.06,0.93
Foggy Cove,MID,Lithothamnion phymatodeum,0.3,7,35.8,0.01,0.93
Foggy Cove,MID,Tube worms,0.3,8,35.8,0.01,0.94
Foggy Cove,MID,Phyllospadix serrulatus,0.2,9,35.8,0.01,0.95
Foggy Cove,MID,Tunicata/Porifera,0.2,10,35.8,0.01,0.95
Foggy Cove,MID,Anemone,0.15,11,35.8,0,0.96
Foggy Cove,MID,Blidingia sp.,0.15,12,35.8,0,0.96
Foggy Cove,MID,Gloiopeltis furcata,0.15,13,35.8,0,0.97
Foggy Cove,MID,Halosaccion glandiforme,0.15,14,35.8,0,0.97
Foggy Cove,MID,Petrocelis,0.15,15,35.8,0,0.97
