taxon,funct,fill,shift.x,year,peak,shift.y,integral,labels,first,phylum,group
Acrosiphonia,filament turf,whitesmoke,-148,2012,209,1.0732377524328256,129.12148581838085,1,Acrosiphonia,Chlorophyta,Chlorophyta
Alaria.marginata,kelp,whitesmoke,-27,2012,88,0.23810407710935566,2673.784336713561,2,Alaria,Ochrophyta,Ochrophyta
Anemone,animal,deepskyblue,-13,2012,257,2.5668292927786545,109.46439323335383,3,Anemone,animal,animal
Barnacles,animal,deepskyblue,0,2012,382,2.04415369365974,2633.520510364146,4,Barnacles,animal,animal
Bossiella_articulate,articulated coralline,whitesmoke,0,2012,61,1.372906986687985,124.35075901220155,5,Bossiella,Rhodophyta,Rhodophyta
Callithamnion.pikeanum,red turf,whitesmoke,-77,2012,293,0.8095377264188647,47.109014107423874,6,Callithamnion,Rhodophyta,Rhodophyta
Ceramium.pacificum,filament,whitesmoke,4,2012,148,1.727081881951038,12.672896796958549,7,Ceramium,Rhodophyta,Rhodophyta
Chamberlainium.tumidum,crustose coralline,whitesmoke,-24,2012,203,0.7351131942429971,813.9466404382158,8,Chamberlainium,Rhodophyta,Rhodophyta
Cladophora.columbiana,filament turf,whitesmoke,4,2012,287,1.7305552988706168,25.060987882881037,9,Cladophora,Chlorophyta,Chlorophyta
Corallina,articulated coralline,whitesmoke,-46,2012,198,0.4662212038621726,415.6506106200705,10,Corallina,Rhodophyta,Rhodophyta
coralline.crust,crustose coralline,whitesmoke,0,2012,61,0.5869915497921632,871.0224934840611,11,coralline,Rhodophyta,Rhodophyta
Cryptosiphonia.woodii,red turf,whitesmoke,-69,2012,135,1.4734839552145012,109.47002517026142,12,Cryptosiphonia,Rhodophyta,Rhodophyta
Dilsea.californica,blade,whitesmoke,25,2012,114,1.9389682436812183,12.915397609897685,13,Dilsea,Rhodophyta,Rhodophyta
Egregia.menziesii,kelp,whitesmoke,-53,2012,114,0.5395671108743961,51.30761138077506,14,Egregia,Ochrophyta,Ochrophyta
Elachista.fucicola,filament,whitesmoke,-131,2012,243,0.03911957220771434,191.09224061273991,15,Elachista,Ochrophyta,Ochrophyta
Endocladia.muricata,filament turf,whitesmoke,-36,2012,311,0.7994953104610782,636.9267717896704,16,Endocladia,Rhodophyta,Rhodophyta
Farlowia.mollis,red turf,whitesmoke,-203,2012,264,0.44187505817640677,25.17410275222445,17,Farlowia,Rhodophyta,Rhodophyta
Fucus.distichus,fucoid,whitesmoke,-38,2012,283,0.20803426544644887,6638.8586505987405,18,Fucus,Ochrophyta,Ochrophyta
Gloiopeltis.furcata,red turf,whitesmoke,-82,2012,369,0.22111997537958458,180.15143398030472,19,Gloiopeltis,Rhodophyta,Rhodophyta
Halosaccion.glandiforme,red turf,whitesmoke,-48,2012,216,0.7515711217812137,261.23853982732106,20,Halosaccion,Rhodophyta,Rhodophyta
Hedophyllum.sessile,Kelp,whitesmoke,-45,2012,156,0.8106393739217711,41.82933043701232,21,Hedophyllum,Ochrophyta,Ochrophyta
Hildenbrandia,crust,whitesmoke,-2,2012,234,0.7854573690446124,3039.5489281536234,22,Hildenbrandia,Rhodophyta,Rhodophyta
Hymenena,red turf,whitesmoke,-12,2012,134,0.3440496408214934,112.03475053811025,23,Hymenena,Rhodophyta,Rhodophyta
Leathesia.marina,brown turf,whitesmoke,-75,2012,232,0.6338108466042883,48.98328124614487,24,Leathesia,Ochrophyta,Ochrophyta
Lithothamnion.phymatodeum,crustose coralline,whitesmoke,-64,2012,139,2.456202994924877,22.50668132232516,25,Lithothamnion,Rhodophyta,Rhodophyta
Mastocarpus,red turf,whitesmoke,-49,2012,222,0.22072438697894006,791.9318957294489,26,Mastocarpus,Rhodophyta,Rhodophyta
