labels,taxon,group,,,,,,
1,Acrosiphonia,Chlorophyta,25,Lithothamnion.phymatodeum,Rhodophyta,,,
2,Alaria.marginata,Ochrophyta,26,Mastocarpus,Rhodophyta,,,animal
3,Anemone,animal,27,Mazzaella.oregona,Rhodophyta,,,Chlorophyta
4,Barnacles,animal,28,Mazzaella.parvula,Rhodophyta,,,Ochrophyta
5,Bossiella_articulate,Rhodophyta,29,Mazzaella.splendens,Rhodophyta,,,Rhodophyta
6,Callithamnion.pikeanum,Rhodophyta,30,Microcladia.borealis,Rhodophyta,,,Streptophyta
7,Ceramium.pacificum,Rhodophyta,31,Mytilus.sp.,animal,,,
8,Chamberlainium.tumidum,Rhodophyta,32,Neogastroclonium.subarticulatum,Rhodophyta,,,
9,Cladophora.columbiana,Chlorophyta,33,Neopolyporolithon.reclinatum,Rhodophyta,,,
10,Corallina,Rhodophyta,34,Neorhodomela.larix,Rhodophyta,,,
11,coralline.crust,Rhodophyta,35,Odonthalia.floccosa,Rhodophyta,,,
12,Cryptosiphonia.woodii,Rhodophyta,36,Palmaria.hecatensis,Rhodophyta,,,
13,Dilsea.californica,Rhodophyta,37,Petrocelis,Rhodophyta,,,
14,Egregia.menziesii,Ochrophyta,38,Phyllospadix.sp.,Streptophyta,,,
15,Elachista.fucicola,Ochrophyta,39,Plocamium.violaceum,Rhodophyta,,,
16,Endocladia.muricata,Rhodophyta,40,Polyneura.latissima,Rhodophyta,,,
17,Farlowia.mollis,Rhodophyta,41,Polysiphonia,Rhodophyta,,,
18,Fucus.distichus,Ochrophyta,42,Prionitis,Rhodophyta,,,
19,Gloiopeltis.furcata,Rhodophyta,43,Ptilota,Rhodophyta,,,
20,Halosaccion.glandiforme,Rhodophyta,44,Pyropia,Rhodophyta,,,
21,Hedophyllum.sessile,Ochrophyta,45,Ralfsioid,Ochrophyta,,,
22,Hildenbrandia,Rhodophyta,46,Savoiea.robusta,Rhodophyta,,,
23,Hymenena,Rhodophyta,47,Ulva,Chlorophyta,,,
24,Leathesia.marina,Ochrophyta,,,,,,
