UID,Taxon,Abundance
Fifth Beach LOW 2019 2,Cryptopleura multiloba,1
Fifth Beach LOW 2019 7,Cryptopleura multiloba,7
North Beach LOW 2019 1,Cryptopleura multiloba,0.5
North Beach LOW 2019 3,Cryptopleura multiloba,1
North Beach LOW 2019 4,Cryptopleura multiloba,3
North Beach LOW 2019 6,Cryptopleura multiloba,3
West Beach LOW 2019 5,Devaleraea mollis,0.5
Meay Channel LOW 2019 6,Dictyosiphon sinicola,2
Meay Channel MID 2019 1,Dictyosiphon sinicola,1
Meay Channel MID 2019 10,Dictyosiphon sinicola,0.5
Meay Channel MID 2019 2,Dictyosiphon sinicola,4
Meay Channel MID 2019 5,Dictyosiphon sinicola,0.5
Meay Channel MID 2019 6,Dictyosiphon sinicola,0.5
Meay Channel MID 2019 9,Dictyosiphon sinicola,2
Meay Channel HIGH 2019 2,Eugomontia sacculata,3
Meay Channel HIGH 2019 8,Eugomontia sacculata,1
Meay Channel HIGH 2019 9,Eugomontia sacculata,2
North Beach LOW 2019 4,Hedophyllum recruits,5
Meay Channel LOW 2019 10,"Hot pink, thin crustose coraline",0.5
Meay Channel LOW 2019 1,Mastocarpus jardinii,3
Meay Channel LOW 2019 10,Mastocarpus jardinii,1
Meay Channel LOW 2019 5,Mastocarpus jardinii,3
Meay Channel HIGH 2019 2,Polyostea robusta,0.5
Meay Channel HIGH 2019 9,Polyostea robusta,2
North Beach HIGH 2019 7,Polyostea robusta,1
Fifth Beach MID 2019 10,Prionitis lanceolata,1
North Beach LOW 2019 3,Prionitis lanceolata,0.5
North Beach LOW 2019 9,Prionitis lanceolata,3
Fifth Beach LOW 2019 1,Ptilota filicina,30
Fifth Beach LOW 2019 2,Ptilota filicina,9
Fifth Beach LOW 2019 3,Ptilota filicina,14
Fifth Beach LOW 2019 4,Ptilota filicina,1
West Beach LOW 2019 10,Ptilota filicina,3
