Alaria.marginata,Anemone,Barnacles,Bossiella_articulate,Callithamnion.pikeanum,Ceramium.pacificum,Chamberlainium.tumidum,Cladophora.columbiana,Corallina,coralline.crust,Cryptosiphonia.woodii,Dilsea.californica,Egregia.menziesii,Elachista.fucicola,Endocladia.muricata,Farlowia.mollis,Fucus.distichus,Gloiopeltis.furcata,Halosaccion.glandiforme,Hedophyllum.sessile,Hildenbrandia,Hymenena.spp.,Leathesia.marina,Lithothamnion.phymatodeum,Mastocarpus,Mazzaella.oregona,Mazzaella.parvula,Mazzaella.splendens,Microcladia.borealis,Mytilus.sp.,Neogastroclonium.subarticulatum,Neopolyporolithon.reclinatum,Neorhodomela.larix,Odonthalia.floccosa,Palmaria.hecatensis,Petrocelis,Phyllospadix.spp.,Plocamium.violaceum,Polyneura.latissima,Polysiphonia,Prionitis,Ptilota.filicina,Pyropia,Ralfsioid,Savoiea.robusta,Ulva
0,0,1,0,0,0,5,0,2,1,4,5,0,0,0,0,0,0,3,0,5,0,2,0,0,1,0,0,1,1,0,1,55,0,0,0,0,7,0,0,0,25,0,0,0,0
83,1,1,4,1,0,7,0,3,1,0,0,0,0,1,0,0,0,0,10,3,20,0,0,11,2,0,3,1,0,0,0,0,0,0,7,0,20,0,0,0,0,1,0,0,0
0,0,1,4,1,0,3,0,0,3,7,2,0,0,0,0,0,0,0,0,3,0,1,0,1,6,0,0,0,1,0,0,25,0,0,1,17,3,0,0,0,40,0,0,0,1
5,1,1,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,12,2,0,0,0,0,5,2,35,2,0,0,1,4,0,0,0,35,1,0,0,0,70,0,0,0,1
15,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,6,0,0,0,87,0,0,0,0,30,0,0,0,1
6,0,0,0,3,0,1,0,1,0,4,0,0,0,0,0,0,0,1,0,0,4,0,0,13,8,0,12,2,0,0,0,4,8,0,0,0,15,5,0,0,8,0,0,0,0
90,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,2,12,0,0,1,0,0,0,0,1,0,0,0,0,4,0,0,6,0,0,0,0
95,0,0,6,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,5,8,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,10,12,0,0,5,0,0,0,0
93,4,3,10,1,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,14,14,0,0,0,2,0,18,0,0,0,0,0,6,0,0,0,0,4,0,0,0,0,0,0,0
80,3,0,10,3,0,10,0,6,4,0,0,0,0,8,0,0,0,0,10,8,8,0,0,12,4,0,0,3,0,0,0,0,0,0,4,0,40,0,0,0,0,4,0,0,0
