Year,FunGroup,Functional Group,mean
2012,blade,blade (12),11.330246913580247
2012,canopy,canopy (12),51.76962962962963
2012,crust,crust (13),31.07716049382716
2012,invert,invert (10),18.72148148148148
2012,thin turf,thin turf (28),14.124814814814815
2012,turf,turf (41),25.35320987654321
2013,blade,blade (12),14.055555555555555
2013,canopy,canopy (12),40.25555555555555
2013,crust,crust (13),25.16111111111111
2013,invert,invert (10),9.938888888888888
2013,thin turf,thin turf (28),20.494444444444444
2013,turf,turf (41),33.727777777777774
2014,blade,blade (12),14.776543209876543
2014,canopy,canopy (12),38.91851851851852
2014,crust,crust (13),29.016049382716048
2014,invert,invert (10),10.981481481481481
2014,thin turf,thin turf (28),13.408641975308642
2014,turf,turf (41),20.733333333333334
2015,blade,blade (12),9.711111111111112
2015,canopy,canopy (12),38.672222222222224
2015,crust,crust (13),22.211111111111112
2015,invert,invert (10),12.883333333333333
2015,thin turf,thin turf (28),14.46111111111111
2015,turf,turf (41),20.716666666666665
2016,blade,blade (12),3.5500000000000003
2016,canopy,canopy (12),22.633333333333333
2016,crust,crust (13),20.86111111111111
2016,invert,invert (10),18.822222222222223
2016,thin turf,thin turf (28),13.277777777777779
2016,turf,turf (41),17.47222222222222
2017,blade,blade (12),10.880864197530864
2017,canopy,canopy (12),22.06975308641975
2017,crust,crust (13),19.168518518518518
2017,invert,invert (10),19.769135802469137
2017,thin turf,thin turf (28),13.420370370370371
2017,turf,turf (41),16.746913580246915
2018,blade,blade (12),7.733333333333333
2018,canopy,canopy (12),31.61111111111111
2018,crust,crust (13),22.072222222222223
2018,invert,invert (10),25.322222222222223
2018,thin turf,thin turf (28),12.116666666666667
2018,turf,turf (41),16.349999999999998
2019,blade,blade (12),13.472222222222221
2019,canopy,canopy (12),34.800000000000004
2019,crust,crust (13),17.105555555555554
2019,invert,invert (10),17.594444444444445
2019,thin turf,thin turf (28),8.700000000000001
2019,turf,turf (41),15.119444444444444
