year,source,duration,intensity_max
2016,Pine Island,300,3.536
2014,Pine Island,274,3.8115
2016,PCA,209,2.4949
2015,PCA,204,2.3394
2019,Pine Island,198,3.9308
2015,Pine Island,173,3.0887
2018,Pine Island,170,2.5642
1997,Pine Island,131,4.2944
1941,Pine Island,119,1.8423
1998,Pine Island,116,2.2364
2017,Pine Island,102,2.9064
1992,Pine Island,83,2.9474
2019,PCA,58,2.469
1983,Pine Island,52,2.1928
1940,Pine Island,43,2.7747
1963,Pine Island,42,4.0042
1996,Pine Island,37,2.0184
1993,Pine Island,34,2.1209
1993,PCA,30,2.0775
1997,PCA,30,1.9884
1995,PCA,29,1.6309
2017,PCA,27,2.0234
2003,Pine Island,25,2.4887
1995,Pine Island,23,2.4887
1981,Pine Island,22,1.3984
1978,Pine Island,21,3.0944
2013,Pine Island,21,3.8896
1990,Pine Island,20,1.7611
1986,Pine Island,19,2.5341
1994,PCA,19,1.6473
1984,Pine Island,18,2.797
2018,PCA,16,1.6763
1987,Pine Island,15,2.1917
1990,PCA,15,1.4491
1998,PCA,15,1.3841
2014,PCA,14,1.955
1958,Pine Island,11,1.5414
2005,Pine Island,11,1.8814
2013,PCA,11,2.5895
1979,Pine Island,10,1.4944
1988,Pine Island,10,1.8511
2002,PCA,10,2.0036
1967,Pine Island,9,3.3912
1937,Pine Island,8,1.592
1942,Pine Island,8,1.3392
1944,Pine Island,8,1.8785
1957,Pine Island,7,2.4525
1986,PCA,7,1.7486
1952,Pine Island,6,1.6606
1954,Pine Island,6,1.763
1979,PCA,6,1.1544
1980,Pine Island,6,1.1315
1994,Pine Island,6,1.5339
2010,Pine Island,6,2.3944
1980,PCA,5,1.5888
1981,PCA,5,1.664
1989,Pine Island,5,1.36
2001,PCA,5,1.7172
2004,PCA,5,1.7346
2005,PCA,5,1.5266
