year,source,duration,intensity_max
2016,Pine Island,300,3.536
2014,Pine Island,274,3.8115
2019,Pine Island,198,3.9308
2015,Pine Island,173,3.0887
2018,Pine Island,170,2.5642
1997,Pine Island,131,4.2944
1941,Pine Island,119,1.8423
1998,Pine Island,116,2.2364
2017,Pine Island,102,2.9064
2015,PCA,94,1.8753
1992,Pine Island,83,2.9474
2019,PCA,58,2.1927
1983,Pine Island,52,2.1928
1996,PCA,46,1.9154
1940,Pine Island,43,2.7747
1963,Pine Island,42,4.0042
1997,PCA,40,2.2673
1996,Pine Island,37,2.0184
1992,PCA,35,1.414
1993,Pine Island,34,2.1209
1995,PCA,33,1.3267
1998,PCA,26,1.2612
2003,Pine Island,25,2.4887
2016,PCA,25,1.695
1995,Pine Island,23,2.4887
1981,Pine Island,22,1.3984
1993,PCA,22,1.262
1978,Pine Island,21,3.0944
2013,Pine Island,21,3.8896
1990,Pine Island,20,1.7611
1986,Pine Island,19,2.5341
2014,PCA,19,2.4697
1984,Pine Island,18,2.797
1994,PCA,18,1.2264
1983,PCA,16,1.6186
1987,Pine Island,15,2.1917
2013,PCA,15,2.1667
2017,PCA,13,1.5483
1958,Pine Island,11,1.5414
1984,PCA,11,1.5634
2005,Pine Island,11,1.8814
1979,Pine Island,10,1.4944
1988,Pine Island,10,1.8511
2003,PCA,10,1.2859
1967,Pine Island,9,3.3912
1985,PCA,9,1.9769
1937,Pine Island,8,1.592
1942,Pine Island,8,1.3392
1944,Pine Island,8,1.8785
1957,Pine Island,7,2.4525
1952,Pine Island,6,1.6606
1954,Pine Island,6,1.763
1980,Pine Island,6,1.1315
1987,PCA,6,1.5438
1988,PCA,6,1.3873
1994,Pine Island,6,1.5339
2010,Pine Island,6,2.3944
1978,PCA,5,1.3063
1980,PCA,5,1.6195
1981,PCA,5,1.1326
1982,PCA,5,1.1074
1989,Pine Island,5,1.36
2002,PCA,5,1.4054
2018,PCA,5,0.8016
