"","Taxon","occurrences","mean_cover_when_present","proportional_occurrence","proportional_cover"
"1","Barnacle",411,19.30900243309,0.77988614800759,0.291702331790243
"2","Chthamalus dalli",48,14.28125,0.0910815939278937,0.21574775498191
"3","Balanus glandula",38,17.7039473684211,0.0721062618595825,0.267454662515868
"4","Semibalanus cariosus",15,8.06666666666667,0.0284629981024668,0.121863648036463
"5","Pollicipes polymerus",12,6.16666666666667,0.0227703984819734,0.0931602268047343
"6","Balanus sp.",3,0.666666666666667,0.00569259962049336,0.0100713758707821
"7","Anemone",184,4.12228260869565,0.736,0.341901181195128
"8","Anthopleura sp.",32,2.71875,0.128,0.225492506121111
"9","Anthopleura elegantissima",22,2.84090909090909,0.088,0.235624353313596
"10","Anthopleura xanthogrammica",12,2.375,0.048,0.196981959370166
"11","Mytilus sp.",116,15.5439655172414,0.983050847457627,0.968835634839611
"12","Mytilus trossulus",2,0.5,0.0169491525423729,0.031164365160389
