quadrat,post,pre,both,Site,Zone
Fifth Beach HIGH 10,2,1,TRUE,Fifth Beach,HIGH
Fifth Beach HIGH 12,1,1,TRUE,Fifth Beach,HIGH
Fifth Beach HIGH 14,1,1,TRUE,Fifth Beach,HIGH
Fifth Beach HIGH 16,1,1,TRUE,Fifth Beach,HIGH
Fifth Beach HIGH 17,1,1,TRUE,Fifth Beach,HIGH
Fifth Beach HIGH 18,1,1,TRUE,Fifth Beach,HIGH
Fifth Beach HIGH 20,1,1,TRUE,Fifth Beach,HIGH
Fifth Beach HIGH 21,1,1,TRUE,Fifth Beach,HIGH
Fifth Beach HIGH 22,1,1,TRUE,Fifth Beach,HIGH
Fifth Beach HIGH 24,2,1,TRUE,Fifth Beach,HIGH
Fifth Beach HIGH 25,1,1,TRUE,Fifth Beach,HIGH
Fifth Beach HIGH 5,1,1,TRUE,Fifth Beach,HIGH
Fifth Beach LOW 13,1,1,TRUE,Fifth Beach,LOW
Fifth Beach LOW 14,1,1,TRUE,Fifth Beach,LOW
Fifth Beach LOW 2,1,1,TRUE,Fifth Beach,LOW
Fifth Beach LOW 22,1,1,TRUE,Fifth Beach,LOW
Fifth Beach LOW 23,1,1,TRUE,Fifth Beach,LOW
Fifth Beach LOW 24,1,2,TRUE,Fifth Beach,LOW
Fifth Beach LOW 3,1,1,TRUE,Fifth Beach,LOW
Fifth Beach LOW 4,1,2,TRUE,Fifth Beach,LOW
Fifth Beach LOW 5,2,1,TRUE,Fifth Beach,LOW
Fifth Beach LOW 7,1,1,TRUE,Fifth Beach,LOW
Fifth Beach MID 10,1,2,TRUE,Fifth Beach,MID
Fifth Beach MID 13,1,1,TRUE,Fifth Beach,MID
Fifth Beach MID 14,1,2,TRUE,Fifth Beach,MID
Fifth Beach MID 17,1,1,TRUE,Fifth Beach,MID
Fifth Beach MID 18,1,1,TRUE,Fifth Beach,MID
Fifth Beach MID 19,2,1,TRUE,Fifth Beach,MID
Fifth Beach MID 26,1,2,TRUE,Fifth Beach,MID
Fifth Beach MID 3,1,1,TRUE,Fifth Beach,MID
Fifth Beach MID 8,1,1,TRUE,Fifth Beach,MID
Fifth Beach MID 9,2,1,TRUE,Fifth Beach,MID
Foggy Cove HIGH 11,1,1,TRUE,Foggy Cove,HIGH
Foggy Cove HIGH 16,1,1,TRUE,Foggy Cove,HIGH
Foggy Cove HIGH 17,2,1,TRUE,Foggy Cove,HIGH
Foggy Cove HIGH 22,1,1,TRUE,Foggy Cove,HIGH
Foggy Cove HIGH 26,1,1,TRUE,Foggy Cove,HIGH
Foggy Cove HIGH 29,1,1,TRUE,Foggy Cove,HIGH
Foggy Cove LOW 16,1,1,TRUE,Foggy Cove,LOW
Foggy Cove LOW 17,1,1,TRUE,Foggy Cove,LOW
Foggy Cove LOW 2,1,2,TRUE,Foggy Cove,LOW
Foggy Cove LOW 23,1,1,TRUE,Foggy Cove,LOW
Foggy Cove LOW 26,1,1,TRUE,Foggy Cove,LOW
Foggy Cove LOW 33,1,1,TRUE,Foggy Cove,LOW
Foggy Cove LOW 34,1,1,TRUE,Foggy Cove,LOW
Foggy Cove LOW 6,1,1,TRUE,Foggy Cove,LOW
Foggy Cove LOW 7,1,1,TRUE,Foggy Cove,LOW
Foggy Cove MID 1,1,1,TRUE,Foggy Cove,MID
Foggy Cove MID 15,1,1,TRUE,Foggy Cove,MID
Foggy Cove MID 17,1,1,TRUE,Foggy Cove,MID
Foggy Cove MID 20,2,1,TRUE,Foggy Cove,MID
Foggy Cove MID 38,1,1,TRUE,Foggy Cove,MID
Foggy Cove MID 45,1,1,TRUE,Foggy Cove,MID
North Beach HIGH 11,1,1,TRUE,North Beach,HIGH
North Beach HIGH 13,1,1,TRUE,North Beach,HIGH
North Beach HIGH 14,1,1,TRUE,North Beach,HIGH
North Beach HIGH 15,1,2,TRUE,North Beach,HIGH
North Beach HIGH 16,1,1,TRUE,North Beach,HIGH
North Beach HIGH 17,1,2,TRUE,North Beach,HIGH
North Beach HIGH 20,2,1,TRUE,North Beach,HIGH
North Beach HIGH 21,1,1,TRUE,North Beach,HIGH
North Beach HIGH 3,2,1,TRUE,North Beach,HIGH
North Beach HIGH 5,1,2,TRUE,North Beach,HIGH
North Beach HIGH 9,1,1,TRUE,North Beach,HIGH
North Beach LOW 11,1,1,TRUE,North Beach,LOW
North Beach LOW 15,1,1,TRUE,North Beach,LOW
North Beach LOW 17,1,1,TRUE,North Beach,LOW
North Beach LOW 18,1,2,TRUE,North Beach,LOW
North Beach LOW 19,1,1,TRUE,North Beach,LOW
North Beach LOW 2,2,1,TRUE,North Beach,LOW
North Beach LOW 3,2,2,TRUE,North Beach,LOW
North Beach LOW 4,2,1,TRUE,North Beach,LOW
North Beach LOW 5,1,1,TRUE,North Beach,LOW
North Beach LOW 9,1,1,TRUE,North Beach,LOW
North Beach MID 1,1,2,TRUE,North Beach,MID
North Beach MID 11,1,1,TRUE,North Beach,MID
North Beach MID 12,1,2,TRUE,North Beach,MID
North Beach MID 13,1,2,TRUE,North Beach,MID
North Beach MID 17,1,1,TRUE,North Beach,MID
North Beach MID 18,2,1,TRUE,North Beach,MID
North Beach MID 19,2,1,TRUE,North Beach,MID
North Beach MID 20,2,1,TRUE,North Beach,MID
North Beach MID 21,1,1,TRUE,North Beach,MID
North Beach MID 24,2,1,TRUE,North Beach,MID
North Beach MID 8,1,1,TRUE,North Beach,MID
