taxon,funct,littler_groups,fill
Acmaea.mitra,animal,animal,deepskyblue
Acrochaetium.sp.,filament,filament,whitesmoke
Acrosiphonia,filament turf,filament,whitesmoke
Ahnfeltia.fastigiata,red turf,finely branching,whitesmoke
Alaria.marginata,kelp,thick leathery,whitesmoke
Amphipoda,animal,animal,deepskyblue
Amphiporus,animal,animal,deepskyblue
Amphissa.sp.,animal,animal,deepskyblue
Analipus.japonicus,brown turf,finely branching,whitesmoke
Anemone,animal,animal,deepskyblue
Antithamnion.defectum,filament,filament,whitesmoke
Antithamnionella.pacifica,filament,filament,whitesmoke
Barnacles,animal,animal,deepskyblue
Bangia.sp.,filament,filament,whitesmoke
Bittium,animal,animal,deepskyblue
Black.spots.on.Fucus,filament,filament,whitesmoke
Blidingia,filament_turf,sheet,whitesmoke
Bossiella_articulate,articulated coralline,jointed calcareous,whitesmoke
coralline.crust,articulated coralline,jointed calcareous,whitesmoke
coralline.crust,crustose coralline,crustose,whitesmoke
Brittle.star,animal,animal,deepskyblue
Ralfsioid,crust,crustose,whitesmoke
Bryozoan,animal,animal,deepskyblue
Calliarthron.tuberculosum,articulated coralline,jointed calcareous,whitesmoke
Calliostoma,animal,animal,deepskyblue
Callithamnion.pikeanum,red turf,filament,whitesmoke
Callophyllis.sp.,red turf,sheet,whitesmoke
Ceramium.codicola,filament,filament,whitesmoke
Ceramium.pacificum,filament,filament,whitesmoke
Chaetomorpha.cannabina,filament,filament,whitesmoke
Chiharaea.bodegensis,articulated coralline,jointed calcareous,whitesmoke
Chiharaea.rhododactyla,articulated coralline,jointed calcareous,whitesmoke
Chiharaea.silvae,articulated coralline,jointed calcareous,whitesmoke
Chiton,animal,animal,deepskyblue
Chlorostoma.sp.,animal,animal,deepskyblue
Cladophora.columbiana,filament turf,filament,whitesmoke
Cladophora.sericea,filament turf,filament,whitesmoke
Cladophora.stimpsonii,filament turf,filament,whitesmoke
Clam,animal,animal,deepskyblue
Clam.hole,animal,animal,deepskyblue
Codium.fragile,other,finely branching,whitesmoke
Codium.setchellii,other,crustose,whitesmoke
Collinsiella.tuberculata,filament_turf,sheet,whitesmoke
Colonial.Diatoms,filament,filament,whitesmoke
Colpomenia.bullosa,brown turf,sheet,whitesmoke
Colpomenia.peregrina,brown turf,sheet,whitesmoke
Constantinea.subulifera,blade,thick leathery,whitesmoke
Corallina,articulated coralline,jointed calcareous,whitesmoke
coralline.crust,crust,crustose,whitesmoke
Costaria.costata,kelp,thick leathery,whitesmoke
Cottoidea,animal,animal,deepskyblue
Crab,animal,animal,deepskyblue
Cryptochiton,animal,animal,deepskyblue
Cryptosiphonia.woodii,red turf,finely branching,whitesmoke
Cucumaria.miniata,animal,animal,deepskyblue
Cumathamnion.decipiens,red turf,sheet,whitesmoke
Dermasterias,animal,animal,deepskyblue
Desmarestia.aculeata,desmarestiales,thick leathery,whitesmoke
Desmarestia.ligulata,desmarestiales,thick leathery,whitesmoke
Dictyosiphon.foeniculaceus,brown turf,finely branching,whitesmoke
Dilsea.californica,blade,thick leathery,whitesmoke
Ectocarpus.commensalis,filament,filament,whitesmoke
Ectocarpus.siliculosus,filament,filament,whitesmoke
Ectocarpus.sp.,filament,filament,whitesmoke
Egregia.menziesii,kelp,thick leathery,whitesmoke
Elachista.fucicola,filament,filament,whitesmoke
Endocladia.muricata,filament turf,filament,whitesmoke
Erythrotrichia.carnea,filament,filament,whitesmoke
Farlowia.mollis,red turf,finely branching,whitesmoke
Fauchea.sp.,red turf,sheet,whitesmoke
Tube.worms,animal,animal,deepskyblue
Feldmannia.irregularis,filament,filament,whitesmoke
Fish,animal,animal,deepskyblue
Flustralidra,animal,animal,deepskyblue
Frederikia.sp.,red turf,finely branching,whitesmoke
Fucus.distichus,fucoid,thick leathery,whitesmoke
Gammaridae,animal,animal,deepskyblue
Gelidium.sp.,red turf,finely branching,whitesmoke
Gloiopeltis.furcata,red turf,finely branching,whitesmoke
Gobiesox,animal,animal,deepskyblue
Gracilaria.pacifica,red turf,finely branching,whitesmoke
Halichondria,animal,animal,deepskyblue
Haliclona,animal,animal,deepskyblue
Halosaccion.glandiforme,red turf,sheet,whitesmoke
Haplogaster.sp.,animal,animal,deepskyblue
Hemigrapsis.sp.,animal,animal,deepskyblue
Henricia,animal,animal,deepskyblue
Herposiphonia.plumula,filament turf,filament,whitesmoke
Hildenbrandia,crust,crustose,whitesmoke
Hollenbergia.subulata,filament,filament,whitesmoke
Hydroid,animal,animal,deepskyblue
Hymenena,red turf,sheet,whitesmoke
Isopoda,animal,animal,deepskyblue
Jingle,animal,animal,deepskyblue
Johansenia.macmillanii,articulated coralline,jointed calcareous,whitesmoke
Katharina.tunicata,animal,animal,deepskyblue
Kornmannia.leptoderma,blade,sheet,whitesmoke
Lacuna.sp.,animal,animal,deepskyblue
Laminaria.setchellii,large brown,thick leathery,whitesmoke
Laminaria.yezoensis,large brown,thick leathery,whitesmoke
Leathesia.marina,brown turf,finely branching,whitesmoke
Leptasterias.sp.,animal,animal,deepskyblue
Leptofauchea.sp.,red turf,finely branching,whitesmoke
Ligia.sp.,animal,animal,deepskyblue
Limpet,animal,animal,deepskyblue
Lithothamnion.glaciale,crustose coralline,crustose,whitesmoke
Lithothamnion.phymatodeum,crustose coralline,crustose,whitesmoke
Littorina.scutulata,animal,animal,deepskyblue
Littorina.sp.,animal,animal,deepskyblue
Lomentaria.hakodatensis,red turf,finely branching,whitesmoke
Lophopanopeus.bellus,animal,animal,deepskyblue
Lottia.sp.,animal,animal,deepskyblue
Macrocystis.pyrifera,kelp,thick leathery,whitesmoke
Mastocarpus,red turf,thick leathery,whitesmoke
Mazzaella.oregona,blade,thick leathery,whitesmoke
Mazzaella.parksii,blade,thick leathery,whitesmoke
Mazzaella.parvula,blade,thick leathery,whitesmoke
Mazzaella.rigidus,blade,thick leathery,whitesmoke
Mazzaella.splendens,blade,thick leathery,whitesmoke
Melanosiphon.intestinalis,brown turf,sheet,whitesmoke
Melobesia.sp.,crustose coralline,coralline,whitesmoke
Mesocentrotus.franciscanus,animal,animal,deepskyblue
Mesophyllum.vancouveriense,crustose coralline,crustose,whitesmoke
Microcladia.borealis,red turf,filament,whitesmoke
Monostroma.grevillei,blade,sheet,whitesmoke
Mopalia.sp.,animal,animal,deepskyblue
Mysid,animal,animal,deepskyblue
Mytilus.sp.,animal,animal,deepskyblue
Nemalion.helminthoides,red turf,NA,whitesmoke
Nemertea,animal,animal,deepskyblue
Neoagarum.fimbriatum,kelp,thick leathery,whitesmoke
Neodilsea.borealis,blade,thick leathery,whitesmoke
Neogastroclonium.subarticulatum,red turf,finely branching,whitesmoke
Neopolyporolithon.reclinatum,crustose coralline,crustose,whitesmoke
Neorhodomela.aculeata,red turf,finely branching,whitesmoke
Neorhodomela.larix,red turf,finely branching,whitesmoke
Neorhodomela.oregona,red turf,finely branching,whitesmoke
Nereid,animal,animal,deepskyblue
Nereocystis.luetkeana,kelp,thick leathery,whitesmoke
Nucella,animal,animal,deepskyblue
Nudipleura,animal,animal,deepskyblue
Odonthalia.floccosa,red turf,finely branching,whitesmoke
Odonthalia.floccosa.f..comosa,red turf,finely branching,whitesmoke
Onchidella,animal,animal,deepskyblue
Opuntiella.californica,blade,thick leathery,whitesmoke
Osmundea.spectabilis,red turf,thick leathery,whitesmoke
Pagarus.sp.,animal,animal,deepskyblue
Palmaria.hecatensis,red turf,thick leathery,whitesmoke
Palmaria.mollis,red turf,thick leathery,whitesmoke
Pentidotea.sp.,animal,animal,deepskyblue
Petalonia.fascia,brown turf,sheet,whitesmoke
Petrocelis,crust,crustose,whitesmoke
Peyssonnelia.sp.,crust,crustose,whitesmoke
Pholidae,animal,animal,deepskyblue
Phycodrys.sp.,red turf,finely branching,whitesmoke
Phyllospadix.sp.,seagrass,seagrass,whitesmoke
Pisaster.ochraceus,animal,animal,deepskyblue
Pleonosporium.vancouverianum,filament,filament,whitesmoke
Plocamium.pacificum,red turf,finely branching,whitesmoke
Plocamium.violaceum,red turf,finely branching,whitesmoke
Pododesmus.sp.,animal,animal,deepskyblue
Pollicipes.polymerus,animal,animal,deepskyblue
Polychaete,animal,animal,deepskyblue
Polyneura.latissima,red turf,sheet,whitesmoke
Polysiphonia,filament turf,filament,whitesmoke
Tunicata/Porifera,animal,animal,deepskyblue
Prionitis,red turf,finely branching,whitesmoke
Pterocladiella.caloglossoides,red turf,finely branching,whitesmoke
Savoiea.robusta,filament_turf,filament,whitesmoke
Symphyocladia.plumosa,filament_turf,filament,whitesmoke
Pterygophora.californica,kelp,thick leathery,whitesmoke
Ptilota,red turf,finely branching,whitesmoke
Pugetia.firma,blade,thick leathery,whitesmoke
Pugettia,animal,animal,deepskyblue
Punctaria.sp.,blade,thick leathery,whitesmoke
Pycnopodia.helianthoides,animal,animal,deepskyblue
Pylaiella.littoralis,filament,filament,whitesmoke
Pyropia,blade,sheet,whitesmoke
Rhizoclonium.tortuosum,filament turf,filament,whitesmoke
Rhodochorton.purpureum,filament turf,filament,whitesmoke
Rhodymenia.sp.,red turf,finely branching,whitesmoke
Riterella.pulchra,animal,animal,deepskyblue
Saccharina.latissima,kelp,thick leathery,whitesmoke
Hedophyllum.nigripes,Kelp,thick leathery,whitesmoke
Hedophyllum.sessile,Kelp,thick leathery,whitesmoke
Salishia.firma,blade,thick leathery,whitesmoke
Sargassum.muticum,fucoid,thick leathery,whitesmoke
Scagelia.occidentale,filament,filament,whitesmoke
Schizymenia.pacifica,blade,thick leathery,whitesmoke
Scytosiphon.dotyi,brown turf,sheet,whitesmoke
Scytosiphon.lomentaria,brown turf,sheet,whitesmoke
Sea.star,animal,animal,deepskyblue
Smithora.naiadum,red turf,sheet,whitesmoke
Snail,animal,animal,deepskyblue
Soranthera.ulvoidea,brown turf,sheet,whitesmoke
Sparlingia.pertusa,blade,thick leathery,whitesmoke
Sphacelaria.rigidula,filament,filament,whitesmoke
Chamberlainium.tumidum,crustose coralline,coralline,whitesmoke
